Name: “Table 1 of 1 on page 210 of 219”,Name: “Table 1 of 1 on page 210 of 219”,Name: “Table 1 of 1 on page 210 of 219”,Name: “Table 1 of 1 on page 210 of 219”,Name: “Table 1 of 1 on page 210 of 219”,Name: “Table 1 of 1 on page 210 of 219”,Name: “Table 1 of 1 on page 210 of 219”,Name: “Table 1 of 1 on page 210 of 219”,Name: “Table 1 of 1 on page 210 of 219”,Name: “Table 1 of 1 on page 210 of 219”,Name: “Table 1 of 1 on page 210 of 219”,Name: “Table 1 of 1 on page 210 of 219”
,2010,2010,"$2,793,453","$2,793,453","$33,612,873","$33,612,873","$33,612,873",8.3%,8.3%,,
,2011,2011,"$2,076,896","$2,076,896","$32,463,405","$32,463,405","$32,463,405",6.4%,6.4%,,
,Source:,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,Annual edition of the City of Poquoson’s Comprehensive Annual Financial Report.,
,,,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,Ratio of Debt Service to Total Expenditures,,,
,9.0%,,,,,,,,,,
,8.0%,,,,,,,,,,
,7.0%,,,,,,,,,,
,6.0%,,,,,,,,,,
,5.0%,,,,,,,,,,
,4.0%,,,,,,,,,,
,3.0%,,,,,,,,,,
,2.0%,,,,,,,,,,
,1.0%,,,,,,,,,,
,0.0%,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
,,,,,A-21,,,,,,
