City of Portsmouth,,
Fiscal Year 2012 Adopted Budget,,
Non-Departmental,,
Business Center Index,,
Business Center Summary,2,
Non-departmental,3,
Transfers and Contingencies,4,
Public Transportation,5,
Debt Service,6,
Support to Civic Organizations,7,
Other Post Employment Benefits,8,
Fiscal Year 2012,1,Non-Departmental
,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,
,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,Non-Departmental,Non-Departmental,Non-Departmental,,,
,Transfers and Contingencies,Transfers and Contingencies,Transfers and Contingencies,,,
Business Unit Mission Statement,,,,,,
This section of the budget acts as a financial transaction conduit between the General Fund and other funds.,This section of the budget acts as a financial transaction conduit between the General Fund and other funds.,This section of the budget acts as a financial transaction conduit between the General Fund and other funds.,This section of the budget acts as a financial transaction conduit between the General Fund and other funds.,,,
Description of Services Provided,,,,,,
"In order to provide for the City's share of funding for certain programs, the Transfers and Contingencies section contains","In order to provide for the City's share of funding for certain programs, the Transfers and Contingencies section contains","In order to provide for the City's share of funding for certain programs, the Transfers and Contingencies section contains","In order to provide for the City's share of funding for certain programs, the Transfers and Contingencies section contains","In order to provide for the City's share of funding for certain programs, the Transfers and Contingencies section contains","In order to provide for the City's share of funding for certain programs, the Transfers and Contingencies section contains",
"transfers from the General Fund to other funds such as Behavioral Healthcare, Social Services, Comprehensive Services, the","transfers from the General Fund to other funds such as Behavioral Healthcare, Social Services, Comprehensive Services, the","transfers from the General Fund to other funds such as Behavioral Healthcare, Social Services, Comprehensive Services, the","transfers from the General Fund to other funds such as Behavioral Healthcare, Social Services, Comprehensive Services, the","transfers from the General Fund to other funds such as Behavioral Healthcare, Social Services, Comprehensive Services, the","transfers from the General Fund to other funds such as Behavioral Healthcare, Social Services, Comprehensive Services, the",
"Capital Improvement Program, and the largest contribution to Portsmouth Public Schools for the City's local share","Capital Improvement Program, and the largest contribution to Portsmouth Public Schools for the City's local share","Capital Improvement Program, and the largest contribution to Portsmouth Public Schools for the City's local share","Capital Improvement Program, and the largest contribution to Portsmouth Public Schools for the City's local share","Capital Improvement Program, and the largest contribution to Portsmouth Public Schools for the City's local share",,
committment for public education.,,,,,,
To provide for the necessary resources to pay for the costs of goods and services not contemplated during the budget,To provide for the necessary resources to pay for the costs of goods and services not contemplated during the budget,To provide for the necessary resources to pay for the costs of goods and services not contemplated during the budget,To provide for the necessary resources to pay for the costs of goods and services not contemplated during the budget,To provide for the necessary resources to pay for the costs of goods and services not contemplated during the budget,To provide for the necessary resources to pay for the costs of goods and services not contemplated during the budget,
"preparation, a General Fund budget contingency is also included in this section","preparation, a General Fund budget contingency is also included in this section","preparation, a General Fund budget contingency is also included in this section",,,,
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
Expenditure Categories,,Actual,Adopted,Amended,Adopted,Planned
Contingency-Other Operating,,"20,000","531,199",-,"593,442","477,231"
,Net Budget,"20,000","531,199",-,"593,442","477,231"
Trans to Public Schools Oper,,"48,171,651","48,171,651",-,"49,571,413","48,871,532"
,Trans to CIP Fund,"2,374,847",-,-,"2,000,000","2,000,000"
Transfer to Courts Cap Reserve,,"758,769","1,818,803",-,"1,818,803","1,818,803"
,Trans to BHS Fund,"504,708","518,608",-,"237,356","234,743"
Trans to Social Services Fund,,"4,381,737","5,884,148",-,"5,172,070","5,077,167"
Trans to Community Services,,"1,728,998","3,151,095",-,"2,764,093","2,764,093"
Trans to Grants Fund,,"3,568",-,-,-,-
Trans to Donations Fund,,"17,000","47,000",-,"47,000","47,000"
Trans to Retirement Fund,,"87,723",-,-,-,-
,Trans to Golf Fund,"1,100,000","834,310",-,"594,328","834,896"
Trans to Parking Authority,,"426,609","377,331",-,"190,972","264,832"
Trans to Health Insurance Fund,,"361,323",-,-,-,-
,Total Budget,"59,936,933","61,334,145",-,"62,989,477","62,390,297"
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
,Funding Sources,Actual,Adopted,Amended,Adopted,Planned
,100 General Fund,"59,936,933","61,334,145",-,"62,989,477","62,390,297"
,Total Funding,"59,936,933","61,334,145",-,"62,989,477","62,390,297"
,Fiscal Year 2012,4,,,,Non-Departmental
,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,
,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,Non-Departmental,Non-Departmental,Non-Departmental,,,
,Public Transportation,Public Transportation,Public Transportation,,,
Business Unit Mission Statement,,,,,,
"HRT's mission is to be an innovative regional provider of inter-modal transportation opportunities at a high level of quality,","HRT's mission is to be an innovative regional provider of inter-modal transportation opportunities at a high level of quality,","HRT's mission is to be an innovative regional provider of inter-modal transportation opportunities at a high level of quality,","HRT's mission is to be an innovative regional provider of inter-modal transportation opportunities at a high level of quality,","HRT's mission is to be an innovative regional provider of inter-modal transportation opportunities at a high level of quality,","HRT's mission is to be an innovative regional provider of inter-modal transportation opportunities at a high level of quality,",
"safety, and efficiency.",,,,,,
Description of Services Provided,,,,,,
The City contracts public transportation services with the Transportation District Commission of Hampton Roads (TDCHR).,The City contracts public transportation services with the Transportation District Commission of Hampton Roads (TDCHR).,The City contracts public transportation services with the Transportation District Commission of Hampton Roads (TDCHR).,The City contracts public transportation services with the Transportation District Commission of Hampton Roads (TDCHR).,The City contracts public transportation services with the Transportation District Commission of Hampton Roads (TDCHR).,The City contracts public transportation services with the Transportation District Commission of Hampton Roads (TDCHR).,
"TDCHR, operating as Hampton Roads Transit (HRT), provides public transportation in the cities of Chesapeake, Norfolk,","TDCHR, operating as Hampton Roads Transit (HRT), provides public transportation in the cities of Chesapeake, Norfolk,","TDCHR, operating as Hampton Roads Transit (HRT), provides public transportation in the cities of Chesapeake, Norfolk,","TDCHR, operating as Hampton Roads Transit (HRT), provides public transportation in the cities of Chesapeake, Norfolk,","TDCHR, operating as Hampton Roads Transit (HRT), provides public transportation in the cities of Chesapeake, Norfolk,","TDCHR, operating as Hampton Roads Transit (HRT), provides public transportation in the cities of Chesapeake, Norfolk,",
"Suffolk, Virginia Beach, Hampton, Newport News and Portsmouth. Each city has two TDCHR Board seats. At the request of","Suffolk, Virginia Beach, Hampton, Newport News and Portsmouth. Each city has two TDCHR Board seats. At the request of","Suffolk, Virginia Beach, Hampton, Newport News and Portsmouth. Each city has two TDCHR Board seats. At the request of","Suffolk, Virginia Beach, Hampton, Newport News and Portsmouth. Each city has two TDCHR Board seats. At the request of","Suffolk, Virginia Beach, Hampton, Newport News and Portsmouth. Each city has two TDCHR Board seats. At the request of","Suffolk, Virginia Beach, Hampton, Newport News and Portsmouth. Each city has two TDCHR Board seats. At the request of",
"the City, the Commission provides Portsmouth residents various transportation systems and services. First, operating in the","the City, the Commission provides Portsmouth residents various transportation systems and services. First, operating in the","the City, the Commission provides Portsmouth residents various transportation systems and services. First, operating in the","the City, the Commission provides Portsmouth residents various transportation systems and services. First, operating in the","the City, the Commission provides Portsmouth residents various transportation systems and services. First, operating in the","the City, the Commission provides Portsmouth residents various transportation systems and services. First, operating in the",
"City and connecting with Norfolk and the Peninsula, HRT provides a public bus route mix; ferry services connecting","City and connecting with Norfolk and the Peninsula, HRT provides a public bus route mix; ferry services connecting","City and connecting with Norfolk and the Peninsula, HRT provides a public bus route mix; ferry services connecting","City and connecting with Norfolk and the Peninsula, HRT provides a public bus route mix; ferry services connecting","City and connecting with Norfolk and the Peninsula, HRT provides a public bus route mix; ferry services connecting","City and connecting with Norfolk and the Peninsula, HRT provides a public bus route mix; ferry services connecting",
Portsmouth and Norfolk; vanpools operated by commuters; disabled transit services; children safety and senior transit,Portsmouth and Norfolk; vanpools operated by commuters; disabled transit services; children safety and senior transit,Portsmouth and Norfolk; vanpools operated by commuters; disabled transit services; children safety and senior transit,Portsmouth and Norfolk; vanpools operated by commuters; disabled transit services; children safety and senior transit,Portsmouth and Norfolk; vanpools operated by commuters; disabled transit services; children safety and senior transit,Portsmouth and Norfolk; vanpools operated by commuters; disabled transit services; children safety and senior transit,
programs; tours and downtown circulation services; neighborhood van services; and carpooling and ridesharing information,programs; tours and downtown circulation services; neighborhood van services; and carpooling and ridesharing information,programs; tours and downtown circulation services; neighborhood van services; and carpooling and ridesharing information,programs; tours and downtown circulation services; neighborhood van services; and carpooling and ridesharing information,programs; tours and downtown circulation services; neighborhood van services; and carpooling and ridesharing information,programs; tours and downtown circulation services; neighborhood van services; and carpooling and ridesharing information,
services. Federal and state funds provide for approximately one third of the total HRT costs and are generally used for capital,services. Federal and state funds provide for approximately one third of the total HRT costs and are generally used for capital,services. Federal and state funds provide for approximately one third of the total HRT costs and are generally used for capital,services. Federal and state funds provide for approximately one third of the total HRT costs and are generally used for capital,services. Federal and state funds provide for approximately one third of the total HRT costs and are generally used for capital,services. Federal and state funds provide for approximately one third of the total HRT costs and are generally used for capital,
equipment purchases and special operations such as express bus service and handicap service. The passenger “Fare Box”,equipment purchases and special operations such as express bus service and handicap service. The passenger “Fare Box”,equipment purchases and special operations such as express bus service and handicap service. The passenger “Fare Box”,equipment purchases and special operations such as express bus service and handicap service. The passenger “Fare Box”,equipment purchases and special operations such as express bus service and handicap service. The passenger “Fare Box”,equipment purchases and special operations such as express bus service and handicap service. The passenger “Fare Box”,
receipts cover about one third of the total service cost leaving the City of Portsmouth to pay the remaining third of the costs,receipts cover about one third of the total service cost leaving the City of Portsmouth to pay the remaining third of the costs,receipts cover about one third of the total service cost leaving the City of Portsmouth to pay the remaining third of the costs,receipts cover about one third of the total service cost leaving the City of Portsmouth to pay the remaining third of the costs,receipts cover about one third of the total service cost leaving the City of Portsmouth to pay the remaining third of the costs,receipts cover about one third of the total service cost leaving the City of Portsmouth to pay the remaining third of the costs,
incurred within Portsmouth.,,,,,,
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
,Expenditure Categories,Actual,Adopted,Amended,Adopted,Planned
,Civ Orgs-HRT,"2,494,498","2,775,754",-,"2,400,602","2,400,602"
,Net Budget,"2,494,498","2,775,754",-,"2,400,602","2,400,602"
,Total Budget,"2,494,498","2,775,754",-,"2,400,602","2,400,602"
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
,Funding Sources,Actual,Adopted,Amended,Adopted,Planned
,100 General Fund,"2,494,498","2,775,754",-,"2,400,602","2,400,602"
,Total Funding,"2,494,498","2,775,754",-,"2,400,602","2,400,602"
,Strategic Goals,,,,,
• Analyze ridership to determine which routes are being inefficiently utilized and which need improvement.,• Analyze ridership to determine which routes are being inefficiently utilized and which need improvement.,• Analyze ridership to determine which routes are being inefficiently utilized and which need improvement.,• Analyze ridership to determine which routes are being inefficiently utilized and which need improvement.,,,
• Incorporate extended services from the traditional 6:00 - 6:30 p.m. to 7:30 p.m.,• Incorporate extended services from the traditional 6:00 - 6:30 p.m. to 7:30 p.m.,• Incorporate extended services from the traditional 6:00 - 6:30 p.m. to 7:30 p.m.,,,,
Outcomes and Accomplishments,,,,,,
A new shuttle service was launched in 2008 to replace the “Park and Sail” service by expanding the service to a downtown,A new shuttle service was launched in 2008 to replace the “Park and Sail” service by expanding the service to a downtown,A new shuttle service was launched in 2008 to replace the “Park and Sail” service by expanding the service to a downtown,A new shuttle service was launched in 2008 to replace the “Park and Sail” service by expanding the service to a downtown,A new shuttle service was launched in 2008 to replace the “Park and Sail” service by expanding the service to a downtown,A new shuttle service was launched in 2008 to replace the “Park and Sail” service by expanding the service to a downtown,
area shuttle service serving both the ferry docks and the downtown core. This new service will continue to discourage,area shuttle service serving both the ferry docks and the downtown core. This new service will continue to discourage,area shuttle service serving both the ferry docks and the downtown core. This new service will continue to discourage,area shuttle service serving both the ferry docks and the downtown core. This new service will continue to discourage,area shuttle service serving both the ferry docks and the downtown core. This new service will continue to discourage,area shuttle service serving both the ferry docks and the downtown core. This new service will continue to discourage,
commuters from using the Downtown tunnel and use more energy and time conserving alternatives. The ferry service will tie,commuters from using the Downtown tunnel and use more energy and time conserving alternatives. The ferry service will tie,commuters from using the Downtown tunnel and use more energy and time conserving alternatives. The ferry service will tie,commuters from using the Downtown tunnel and use more energy and time conserving alternatives. The ferry service will tie,commuters from using the Downtown tunnel and use more energy and time conserving alternatives. The ferry service will tie,commuters from using the Downtown tunnel and use more energy and time conserving alternatives. The ferry service will tie,
into the new Downtown Shuttle service offered between the Portsmouth Naval Hospital and the High Street area. The,into the new Downtown Shuttle service offered between the Portsmouth Naval Hospital and the High Street area. The,into the new Downtown Shuttle service offered between the Portsmouth Naval Hospital and the High Street area. The,into the new Downtown Shuttle service offered between the Portsmouth Naval Hospital and the High Street area. The,into the new Downtown Shuttle service offered between the Portsmouth Naval Hospital and the High Street area. The,into the new Downtown Shuttle service offered between the Portsmouth Naval Hospital and the High Street area. The,
Downtown Shuttle service will be provided with the objective of offering convenient and quick transportation to High Street.,Downtown Shuttle service will be provided with the objective of offering convenient and quick transportation to High Street.,Downtown Shuttle service will be provided with the objective of offering convenient and quick transportation to High Street.,Downtown Shuttle service will be provided with the objective of offering convenient and quick transportation to High Street.,Downtown Shuttle service will be provided with the objective of offering convenient and quick transportation to High Street.,Downtown Shuttle service will be provided with the objective of offering convenient and quick transportation to High Street.,
The outcome of this budget item is to furnish a way where anyone wishing to use the Public Transportation System can,The outcome of this budget item is to furnish a way where anyone wishing to use the Public Transportation System can,The outcome of this budget item is to furnish a way where anyone wishing to use the Public Transportation System can,The outcome of this budget item is to furnish a way where anyone wishing to use the Public Transportation System can,The outcome of this budget item is to furnish a way where anyone wishing to use the Public Transportation System can,The outcome of this budget item is to furnish a way where anyone wishing to use the Public Transportation System can,
access the services they need.,,,,,,
Major Budget Variances,,,,,,
The oil market is very volatile which makes it difficult to predict the cost of fuel for two and a half years in advance of actual,The oil market is very volatile which makes it difficult to predict the cost of fuel for two and a half years in advance of actual,The oil market is very volatile which makes it difficult to predict the cost of fuel for two and a half years in advance of actual,The oil market is very volatile which makes it difficult to predict the cost of fuel for two and a half years in advance of actual,The oil market is very volatile which makes it difficult to predict the cost of fuel for two and a half years in advance of actual,The oil market is very volatile which makes it difficult to predict the cost of fuel for two and a half years in advance of actual,
usage. Experience shows that HRT costs to the city increase at the rate of approximately 10 per cent per year. The city can try,usage. Experience shows that HRT costs to the city increase at the rate of approximately 10 per cent per year. The city can try,usage. Experience shows that HRT costs to the city increase at the rate of approximately 10 per cent per year. The city can try,usage. Experience shows that HRT costs to the city increase at the rate of approximately 10 per cent per year. The city can try,usage. Experience shows that HRT costs to the city increase at the rate of approximately 10 per cent per year. The city can try,usage. Experience shows that HRT costs to the city increase at the rate of approximately 10 per cent per year. The city can try,
and control the increasing cost by joining with HRT to increase passenger ridership. The amount of support costs that HRT,and control the increasing cost by joining with HRT to increase passenger ridership. The amount of support costs that HRT,and control the increasing cost by joining with HRT to increase passenger ridership. The amount of support costs that HRT,and control the increasing cost by joining with HRT to increase passenger ridership. The amount of support costs that HRT,and control the increasing cost by joining with HRT to increase passenger ridership. The amount of support costs that HRT,and control the increasing cost by joining with HRT to increase passenger ridership. The amount of support costs that HRT,
apportions to the City of Portsmouth is based on the expected fare box revenue. Increased ridership and increased fare box,apportions to the City of Portsmouth is based on the expected fare box revenue. Increased ridership and increased fare box,apportions to the City of Portsmouth is based on the expected fare box revenue. Increased ridership and increased fare box,apportions to the City of Portsmouth is based on the expected fare box revenue. Increased ridership and increased fare box,apportions to the City of Portsmouth is based on the expected fare box revenue. Increased ridership and increased fare box,apportions to the City of Portsmouth is based on the expected fare box revenue. Increased ridership and increased fare box,
revenue lowers the amount that the City of Portsmouth has to pay directly.,revenue lowers the amount that the City of Portsmouth has to pay directly.,revenue lowers the amount that the City of Portsmouth has to pay directly.,,,,
,Fiscal Year 2012,5,,,,Non-Departmental
,City of Portsmouth,City of Portsmouth,City of Portsmouth,,,
,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,Fiscal Year 2012 Adopted Budget,,,
,Non-Departmental,Non-Departmental,Non-Departmental,,,
,Debt Service,Debt Service,Debt Service,,,
Business Unit Mission Statement,,,,,,
"In order to meet the City's goals as presented in the Operating budget and the Capital Improvement Program (CIP), the","In order to meet the City's goals as presented in the Operating budget and the Capital Improvement Program (CIP), the","In order to meet the City's goals as presented in the Operating budget and the Capital Improvement Program (CIP), the","In order to meet the City's goals as presented in the Operating budget and the Capital Improvement Program (CIP), the","In order to meet the City's goals as presented in the Operating budget and the Capital Improvement Program (CIP), the","In order to meet the City's goals as presented in the Operating budget and the Capital Improvement Program (CIP), the",
Finance Department plans for long term financing arrangements.,Finance Department plans for long term financing arrangements.,,,,,
Description of Services Provided,,,,,,
"The Finance Department manages and processes all outstanding debt service payments, acquires bonding sources, and","The Finance Department manages and processes all outstanding debt service payments, acquires bonding sources, and","The Finance Department manages and processes all outstanding debt service payments, acquires bonding sources, and","The Finance Department manages and processes all outstanding debt service payments, acquires bonding sources, and","The Finance Department manages and processes all outstanding debt service payments, acquires bonding sources, and","The Finance Department manages and processes all outstanding debt service payments, acquires bonding sources, and",
restructures debt to best accommodate the city's needs in accordance with its financial policies.,restructures debt to best accommodate the city's needs in accordance with its financial policies.,restructures debt to best accommodate the city's needs in accordance with its financial policies.,restructures debt to best accommodate the city's needs in accordance with its financial policies.,,,
,,FY 2010,FY 2011,FY 2011,FY 2012,FY 2013
