General Fund Revenues
G ENERAL FUND REVENUE S UMMARY,G ENERAL FUND REVENUE S UMMARY,G ENERAL FUND REVENUE S UMMARY,G ENERAL FUND REVENUE S UMMARY,,
Rent - Attucks Theater,Rent - Attucks Theater,0,"1,000",0,0
Sale Of Salvage Materials,Sale Of Salvage Materials,0,0,"2,000","1,000"
Rent - Equipment,Rent - Equipment,"26,514","90,000","14,000","90,000"
Ticket System-Cultural Center,Ticket System-Cultural Center,"530,342","350,000","500,000","500,000"
Ticket System-Attucks Theater,Ticket System-Attucks Theater,0,"7,500",0,0
Rent - Picnic Shelters,Rent - Picnic Shelters,"20,325","20,400","20,400","20,400"
Commissions-Jail Telephone,Commissions-Jail Telephone,"922,000","672,000","672,000","672,000"
Commissions-Purchasing Card,Commissions-Purchasing Card,0,"45,000",0,0
Total Use of Money and Property,Total Use of Money and Property,"6,044,924","6,387,000","6,477,900","5,811,300"
Charges for Services,Charges for Services,,,,
Court Costs,Court Costs,"104,543","87,500","110,000","110,000"
Courthouse Security Assessment,Courthouse Security Assessment,"365,909","338,500","380,000","380,000"
Courthouse Construction Fee,Courthouse Construction Fee,"141,395","210,000","240,000","240,000"
DNA Charges,DNA Charges,"2,011","1,900","1,900","1,600"
Fees-High Constable,Fees-High Constable,"449,747","460,000","475,000","500,000"
62,General Fund Revenue Summary,,,,
,,,FY 2011,
,FY 2010,FY 2011,,FY 2012
Description,,,Year End,
,Actual,Approved,,Approved
,,,Projection,
Jail Processing Fees,"24,425","26,500","22,000","22,500"
Charges-Information Systems,"1,600",0,0,0
Fees-Court Officers,"10,434","10,000","11,000","11,000"
Fees-Excess,0,"125,000","88,400","90,000"
Fees-City Sheriff,"38,128","38,100","38,100","38,100"
Detention Home Charge For Ward,"86,904","145,300","60,000","145,300"
Fees-Jail Booking,"3,252","3,000","3,000","2,000"
Miscellaneous School Fees,"3,656,200","4,820,300","4,820,300","3,977,200"
Youth Development Fees,"7,745","16,500","8,000","4,000"
Paramedical Rescue Service,"4,464,470","2,600,000","3,600,000","3,600,000"
Charges-Insurance,"100,000","100,000","100,000","100,000"
Charges-Animal Protection,"29,286","41,000","35,000","45,000"
Police Records And Reports,"65,545","67,000","67,000","67,000"
Public Vehicle Inspection Certif.,"23,346","24,000","22,000","24,000"
Non-Emergency Traffic Escort,"17,195","24,000","20,000","20,000"
Fees-Library Fines,"178,660","208,400","190,000","198,000"
Charges-Public Works,"659,929","901,700","876,700","901,700"
Charges-Mat-Street& Bridges,"116,712","56,000","56,000","56,000"
Zoo Admission,"1,238,071","1,804,200","1,500,000","2,038,000"
Charges-Transient Yacht,"154,740","120,000","130,000","130,000"
Sale Of Publications,"1,000","1,000",500,500
Sales Surveys-Blueprints-Maps,"12,993","27,000","20,000","20,000"
Fees-Refuse Disposal,"21,115,059","20,107,400","20,900,000","21,206,000"
Fees-Small Animal Cremation,0,800,0,500
Fees-Tax Abatement,"2,400","3,000","1,500","1,500"
Total Charges for Services,"33,071,699","32,368,100","33,776,400","33,929,900"
MISCELLANEOUS REVENUE,,,,
Payments In Lieu Of Taxes,"3,822,665","3,984,200","3,984,200","4,130,000"
Navy PPV Payment,0,"2,437,000","2,935,547","3,101,400"
DMV Select Fees,"97,191","90,000","80,000","92,500"
Fees-Dup Real Prop Bills,"14,005","6,800","2,000","2,000"
Sale of Other Property,"8,419","7,800","8,000","8,400"
Admin. Fees - Delinquent Tax,"-1,285","56,000","56,000","200,000"
Sale Of Unclaimed Property,0,"9,000",0,0
Other Miscellaneous Revenue,"1,170,860","1,078,400","1,100,000","762,900"
Other Revenue - Community Development,"1,345","1,100","1,100","1,100"
Proceeds from Sale Of Land,0,0,"130,800",0
Total Miscellaneous Revenue,"5,113,200","7,670,300","8,297,647","8,298,300"
RECOVERED COSTS,,,,
Transport of Prisoner,"64,017","100,000","50,000","50,000"
Zoo,"3,214","2,800","5,000","6,600"
Nuisance Abatement,"356,734","305,600","305,600","280,000"
Retirement Bureau,"453,438","480,000","526,000","526,000"
Insurance,"48,224","2,000","130,573","2,000"
,,General Fund Revenue Summary,General Fund Revenue Summary,63
,,,,FY 2011,
,,FY 2010,FY 2011,,FY 2012
Description,Description,,,Year End,
,,Actual,Approved,,Approved
,,,,Projection,
Benefits Program Administration,Benefits Program Administration,136,"2,000","2,000","4,500"
Miscellaneous Salaries-Police,Miscellaneous Salaries-Police,"727,092","519,000","607,600","607,600"
Employer Hospitalization Contribution,Employer Hospitalization Contribution,"42,314","184,300","184,300","207,000"
Community Development,Community Development,"1,906",0,0,0
General Overhead - Water Fund,General Overhead - Water Fund,"1,314,500","1,994,800","1,994,800","1,563,400"
Debt Service,Debt Service,"206,478","2,395,800","2,699,139","2,188,800"
Telephone Charges,Telephone Charges,"362,194","372,200","372,200","372,200"
Urban Allocation (Light Rail),Urban Allocation (Light Rail),"898,884",0,0,0
Public Information,Public Information,"3,890","3,500","4,000","4,300"
Recoveries & Rebates,Recoveries & Rebates,"130,672","124,000","309,717","938,000"
General Overhead-Wastewater Fund,General Overhead-Wastewater Fund,"324,200","334,000","334,000","320,600"
Information System Support,Information System Support,"1,195,945","1,350,000","1,350,000","1,350,000"
Jail Meals,Jail Meals,"375,545","575,000","445,000","445,000"
Mail Distribution,Mail Distribution,19,"2,000",0,0
ACR Assessments,ACR Assessments,"8,500","11,000","8,000","8,500"
General Overhead-Parking Fund,General Overhead-Parking Fund,"506,103","459,800","459,800","396,200"
Storm Water,Storm Water,"615,600","746,400","746,400","746,400"
Solid Waste-Public Housing,Solid Waste-Public Housing,"432,808","432,800","432,800","427,100"
Selden Rental Income,Selden Rental Income,"135,222","110,000","135,000","135,000"
Workforce Development,Workforce Development,0,0,0,0
Total Recovered Costs,Total Recovered Costs,"8,207,635","10,507,000","11,101,929","10,579,200"
REVENUES FROM THE COMMONWEALTH,REVENUES FROM THE COMMONWEALTH,,,,
Non-Categorical Aid,Non-Categorical Aid,,,,
Taxes-Rolling Stock,Taxes-Rolling Stock,"181,825","178,000","178,000","178,000"
Taxes-Mobile Home Title,Taxes-Mobile Home Title,"10,478","8,000","8,000","8,000"
Rental of Passenger Cars,Rental of Passenger Cars,"2,977,124","3,175,000","3,175,000","3,175,000"
Law Enforcement,Law Enforcement,"11,719,281","11,580,700","11,580,700","11,175,000"
Grantors Tax on Deeds,Grantors Tax on Deeds,"405,092","450,000","400,000","450,000"
PPT State Reimbursement,PPT State Reimbursement,"16,871,055","16,871,000","16,871,000","16,871,000"
Total Non-Categorical Aid,Total Non-Categorical Aid,"32,164,855","32,262,700","32,212,700","31,857,000"
Shared Expenses,Shared Expenses,,,,
City Treasurer,City Treasurer,"529,473","483,800","424,000","454,200"
Clerk of the Circuit Court,Clerk of the Circuit Court,"1,381,393","1,579,600","1,486,000","1,516,100"
Commissioner of the Revenue,Commissioner of the Revenue,"560,452","555,500","484,000","521,400"
Commonwealth Attorney,Commonwealth Attorney,"2,549,843","2,517,600","2,511,240","2,460,100"
Registrar/Electoral Board,Registrar/Electoral Board,"86,439","87,200","72,955","123,000"
Sheriff,Sheriff,"14,924,414","15,031,000","14,488,735","14,078,200"
Total Shared Expenses,Total Shared Expenses,"20,032,014","20,254,700","19,466,930","19,153,000"
Categorical Aid,Categorical Aid,,,,
Public Assistance Grants,Public Assistance Grants,"12,793,239","16,871,200","13,500,200","15,487,200"
Social Services Administration,Social Services Administration,"22,241,849","22,308,200","22,200,000","22,441,400"
Sales & Use Tax Return,Sales & Use Tax Return,"27,514,467","27,776,500","28,917,122","28,926,400"
State School Funds,State School Funds,"180,393,570","152,168,200","149,850,679","142,399,100"
Street Construction & Maintenance,Street Construction & Maintenance,"19,411,826","19,411,800","20,169,220","20,976,000"
64,General Fund Revenue Summary,,,,
,,,FY 2011,
,FY 2010,FY 2011,,FY 2012
Description,,,Year End,
,Actual,Approved,,Approved
,,,Projection,
Group Life Ins. - State Employee,"1,880","2,500","2,500","2,500"
Retirement - Other State Employee,"53,585","94,500","50,000","50,000"
Social Security-Other State Employee,"70,299","61,500","61,500","62,000"
State Library Grant,"211,788","178,200","178,358","176,000"
Div. of Youth Services Facilities,"1,957,400","1,957,400","1,956,760","1,957,400"
VA Dept. of Juvenile Justice-VJCCCA,"323,727",0,"30,618",0
Shared Expenses-Prisoner Housing,"3,976,989","2,782,800","2,630,660","2,273,500"
Port Funding,"609,665","609,700","609,700","609,700"
Taxes-Recordation,"727,667","700,000","425,000","942,500"
Total Categorical Aid,"270,287,951","244,922,500","240,582,317","236,303,700"
REVENUES FROM THE COMMONWEALTH,"322,484,820","297,439,900","292,261,947","287,313,700"
FEDERAL AID,,,,
Disaster Relief Aid,"145,557",0,"1,042,913","1,800,000"
Federal School Funds,"6,169,251","5,581,600","5,581,600","10,536,600"
Social Security Payments-Prisoners,"14,400","8,000","10,000","8,600"
Federal Stimulus Funds,"1,277,241",0,"500,000",0
Total Federal Aid,"7,606,449","5,589,600","7,134,513","12,345,200"
OTHER SOURCES AND TRANSFERS,,,,
Rollover from Last Year,"740,756","5,790,000","5,790,000","16,057,700"
Transfer from Wastewater Fund,"1,500,000","1,500,000","1,500,000","1,500,000"
Return from Water Utility Fund,"8,500,000","8,500,000","8,500,000","8,500,000"
Transfer from Special Revenue,"2,566,907","4,913,000","4,763,000","2,202,900"
Total Other Sources and Transfers,"13,307,663","20,703,000","20,553,000","28,260,600"
Subtotal*,"802,153,128","785,638,700","780,379,034","789,353,800"
* Several accounting adjustments are made below to reflect GASB 54 requirement for governmental fund,* Several accounting adjustments are made below to reflect GASB 54 requirement for governmental fund,* Several accounting adjustments are made below to reflect GASB 54 requirement for governmental fund,* Several accounting adjustments are made below to reflect GASB 54 requirement for governmental fund,* Several accounting adjustments are made below to reflect GASB 54 requirement for governmental fund
type definitions:,,,,
Adjustment to reflect the reporting of fund-,,,,
to-fund transfer no longer required under,"-3,520,903","-3,220,903","-3,220,903","-2,286,200"
GASB 54,,,,
National Maritime Center (Nauticus),"4,076,448","5,797,100","5,797,100","5,310,200"
Cruise Ship Terminal,"2,208,547","3,154,400","3,154,400","2,638,400"
General Fund Total,"804,917,220","791,369,297","786,109,631","795,016,200"
,,General Fund Revenue Summary,General Fund Revenue Summary,65
This page intentionally left blank.
