Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”,Name: “Table 1 of 1 on page 11 of 174”
•,"$77,000 for County HVAC automation system upgrades.","$77,000 for County HVAC automation system upgrades.","$77,000 for County HVAC automation system upgrades.","$77,000 for County HVAC automation system upgrades.","$77,000 for County HVAC automation system upgrades.","$77,000 for County HVAC automation system upgrades.","$77,000 for County HVAC automation system upgrades.","$77,000 for County HVAC automation system upgrades.","$77,000 for County HVAC automation system upgrades.",Funding for this project will be,Funding for this project will be,Funding for this project will be,Funding for this project will be,Funding for this project will be,Funding for this project will be
,provided from excess fund balance in the General Fund.,provided from excess fund balance in the General Fund.,provided from excess fund balance in the General Fund.,provided from excess fund balance in the General Fund.,provided from excess fund balance in the General Fund.,provided from excess fund balance in the General Fund.,provided from excess fund balance in the General Fund.,provided from excess fund balance in the General Fund.,provided from excess fund balance in the General Fund.,,,,,,
•,"$34,398",for,site,design,and,engineering,engineering,for,Woodville,Park,to,prepare,for,installing,installing
,infrastructure.,infrastructure.,The funding for this project will be provided from excess fund balance in the,The funding for this project will be provided from excess fund balance in the,The funding for this project will be provided from excess fund balance in the,The funding for this project will be provided from excess fund balance in the,The funding for this project will be provided from excess fund balance in the,The funding for this project will be provided from excess fund balance in the,The funding for this project will be provided from excess fund balance in the,The funding for this project will be provided from excess fund balance in the,The funding for this project will be provided from excess fund balance in the,The funding for this project will be provided from excess fund balance in the,The funding for this project will be provided from excess fund balance in the,The funding for this project will be provided from excess fund balance in the,The funding for this project will be provided from excess fund balance in the
,General Fund.,General Fund.,,,,,,,,,,,,,
•,"$600,000 for electrical infrastructure and athletic lights at Woodville Park.","$600,000 for electrical infrastructure and athletic lights at Woodville Park.","$600,000 for electrical infrastructure and athletic lights at Woodville Park.","$600,000 for electrical infrastructure and athletic lights at Woodville Park.","$600,000 for electrical infrastructure and athletic lights at Woodville Park.","$600,000 for electrical infrastructure and athletic lights at Woodville Park.","$600,000 for electrical infrastructure and athletic lights at Woodville Park.","$600,000 for electrical infrastructure and athletic lights at Woodville Park.","$600,000 for electrical infrastructure and athletic lights at Woodville Park.","$600,000 for electrical infrastructure and athletic lights at Woodville Park.","$600,000 for electrical infrastructure and athletic lights at Woodville Park.",,Funding for the,Funding for the,Funding for the
,"project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance","project will be provided from $85,000 from the County Administrator’s Assigned Fund Balance"
,"for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the","for Park Projects, $300,000 from a state grant, and $215,000 from excess fund balance in the"
,General Fund.,General Fund.,,,,,,,,,,,,,
•,"$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally","$250,000 for new computer aided dispatch software, which will make Gloucester totally"
,interoperable with other radio system partners in the regional communications system.,interoperable with other radio system partners in the regional communications system.,interoperable with other radio system partners in the regional communications system.,interoperable with other radio system partners in the regional communications system.,interoperable with other radio system partners in the regional communications system.,interoperable with other radio system partners in the regional communications system.,interoperable with other radio system partners in the regional communications system.,interoperable with other radio system partners in the regional communications system.,interoperable with other radio system partners in the regional communications system.,interoperable with other radio system partners in the regional communications system.,interoperable with other radio system partners in the regional communications system.,interoperable with other radio system partners in the regional communications system.,interoperable with other radio system partners in the regional communications system.,interoperable with other radio system partners in the regional communications system.,The
,funding for this project will be provided from excess fund balance in the General Fund.,funding for this project will be provided from excess fund balance in the General Fund.,funding for this project will be provided from excess fund balance in the General Fund.,funding for this project will be provided from excess fund balance in the General Fund.,funding for this project will be provided from excess fund balance in the General Fund.,funding for this project will be provided from excess fund balance in the General Fund.,funding for this project will be provided from excess fund balance in the General Fund.,funding for this project will be provided from excess fund balance in the General Fund.,funding for this project will be provided from excess fund balance in the General Fund.,funding for this project will be provided from excess fund balance in the General Fund.,funding for this project will be provided from excess fund balance in the General Fund.,funding for this project will be provided from excess fund balance in the General Fund.,funding for this project will be provided from excess fund balance in the General Fund.,funding for this project will be provided from excess fund balance in the General Fund.,
•,$5.0 million for the School Division’s HVAC and roof replacement program.,$5.0 million for the School Division’s HVAC and roof replacement program.,$5.0 million for the School Division’s HVAC and roof replacement program.,$5.0 million for the School Division’s HVAC and roof replacement program.,$5.0 million for the School Division’s HVAC and roof replacement program.,$5.0 million for the School Division’s HVAC and roof replacement program.,$5.0 million for the School Division’s HVAC and roof replacement program.,$5.0 million for the School Division’s HVAC and roof replacement program.,$5.0 million for the School Division’s HVAC and roof replacement program.,$5.0 million for the School Division’s HVAC and roof replacement program.,$5.0 million for the School Division’s HVAC and roof replacement program.,$5.0 million for the School Division’s HVAC and roof replacement program.,The School,The School,The School
,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected,Division has identified the most critical need as Petsworth Elementary School with a projected
,cost of $3.4 million.,cost of $3.4 million.,cost of $3.4 million.,"Additionally, some urgency exists at Botetourt and Achilles Elementary","Additionally, some urgency exists at Botetourt and Achilles Elementary","Additionally, some urgency exists at Botetourt and Achilles Elementary","Additionally, some urgency exists at Botetourt and Achilles Elementary","Additionally, some urgency exists at Botetourt and Achilles Elementary","Additionally, some urgency exists at Botetourt and Achilles Elementary","Additionally, some urgency exists at Botetourt and Achilles Elementary","Additionally, some urgency exists at Botetourt and Achilles Elementary","Additionally, some urgency exists at Botetourt and Achilles Elementary","Additionally, some urgency exists at Botetourt and Achilles Elementary","Additionally, some urgency exists at Botetourt and Achilles Elementary","Additionally, some urgency exists at Botetourt and Achilles Elementary"
,Schools.,The funding for this project will be provided from general obligation debt ($5.0,The funding for this project will be provided from general obligation debt ($5.0,The funding for this project will be provided from general obligation debt ($5.0,The funding for this project will be provided from general obligation debt ($5.0,The funding for this project will be provided from general obligation debt ($5.0,The funding for this project will be provided from general obligation debt ($5.0,The funding for this project will be provided from general obligation debt ($5.0,The funding for this project will be provided from general obligation debt ($5.0,The funding for this project will be provided from general obligation debt ($5.0,The funding for this project will be provided from general obligation debt ($5.0,The funding for this project will be provided from general obligation debt ($5.0,The funding for this project will be provided from general obligation debt ($5.0,The funding for this project will be provided from general obligation debt ($5.0,The funding for this project will be provided from general obligation debt ($5.0
,million) of the County.,million) of the County.,million) of the County.,,,,,,,,,,,,
•,"$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High","$233,820 to refurbish the running track and associated competitive areas at Gloucester High"
,School.,The funding for this project will be provided from excess fund balance in the General,The funding for this project will be provided from excess fund balance in the General,The funding for this project will be provided from excess fund balance in the General,The funding for this project will be provided from excess fund balance in the General,The funding for this project will be provided from excess fund balance in the General,The funding for this project will be provided from excess fund balance in the General,The funding for this project will be provided from excess fund balance in the General,The funding for this project will be provided from excess fund balance in the General,The funding for this project will be provided from excess fund balance in the General,The funding for this project will be provided from excess fund balance in the General,The funding for this project will be provided from excess fund balance in the General,The funding for this project will be provided from excess fund balance in the General,The funding for this project will be provided from excess fund balance in the General,The funding for this project will be provided from excess fund balance in the General
,Fund.,,,,,,,,,,,,,,
•,"$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems.","$130,000 for voice over Internet protocol (VoIP) to replace various school phone systems."
,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in,Funding for this project will be provided from operational savings and excess fund balance in
,the General Fund.,the General Fund.,the General Fund.,,,,,,,,,,,,
The following items are projects that were begun in prior years:,The following items are projects that were begun in prior years:,The following items are projects that were begun in prior years:,The following items are projects that were begun in prior years:,The following items are projects that were begun in prior years:,The following items are projects that were begun in prior years:,The following items are projects that were begun in prior years:,The following items are projects that were begun in prior years:,The following items are projects that were begun in prior years:,The following items are projects that were begun in prior years:,,,,,,
•,"$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the","$590,000 for the vehicle/equipment replacement fund, which is funded from a portion of the"
,personal property tax.,personal property tax.,personal property tax.,These funds will be split 50-50 between the School Division and the,These funds will be split 50-50 between the School Division and the,These funds will be split 50-50 between the School Division and the,These funds will be split 50-50 between the School Division and the,These funds will be split 50-50 between the School Division and the,These funds will be split 50-50 between the School Division and the,These funds will be split 50-50 between the School Division and the,These funds will be split 50-50 between the School Division and the,These funds will be split 50-50 between the School Division and the,These funds will be split 50-50 between the School Division and the,These funds will be split 50-50 between the School Division and the,These funds will be split 50-50 between the School Division and the
,County.,"These funds can be used for replacing school buses, County and School Division","These funds can be used for replacing school buses, County and School Division","These funds can be used for replacing school buses, County and School Division","These funds can be used for replacing school buses, County and School Division","These funds can be used for replacing school buses, County and School Division","These funds can be used for replacing school buses, County and School Division","These funds can be used for replacing school buses, County and School Division","These funds can be used for replacing school buses, County and School Division","These funds can be used for replacing school buses, County and School Division","These funds can be used for replacing school buses, County and School Division","These funds can be used for replacing school buses, County and School Division","These funds can be used for replacing school buses, County and School Division","These funds can be used for replacing school buses, County and School Division","These funds can be used for replacing school buses, County and School Division"
,"vehicles, police cars, and other large equipment needs.","vehicles, police cars, and other large equipment needs.","vehicles, police cars, and other large equipment needs.","vehicles, police cars, and other large equipment needs.","vehicles, police cars, and other large equipment needs.","vehicles, police cars, and other large equipment needs.","vehicles, police cars, and other large equipment needs.","vehicles, police cars, and other large equipment needs.","vehicles, police cars, and other large equipment needs.",,,,,,
•,"$3,000,000",for,the,Federal,Emergency,Emergency,Emergency,Management,Management,Agency,Hazard,,Mitigation,Mitigation,Grant
,"Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or","Program, which are funds used to acquire or elevate properties that have sustained damage or"
,can expect to sustain damage as a result of coastal storms.,can expect to sustain damage as a result of coastal storms.,can expect to sustain damage as a result of coastal storms.,can expect to sustain damage as a result of coastal storms.,can expect to sustain damage as a result of coastal storms.,can expect to sustain damage as a result of coastal storms.,can expect to sustain damage as a result of coastal storms.,can expect to sustain damage as a result of coastal storms.,can expect to sustain damage as a result of coastal storms.,"Since 2005, FEMA has awarded","Since 2005, FEMA has awarded","Since 2005, FEMA has awarded","Since 2005, FEMA has awarded","Since 2005, FEMA has awarded","Since 2005, FEMA has awarded"
,"grants totaling $11,093,615 to Gloucester.","grants totaling $11,093,615 to Gloucester.","grants totaling $11,093,615 to Gloucester.","grants totaling $11,093,615 to Gloucester.","grants totaling $11,093,615 to Gloucester.","grants totaling $11,093,615 to Gloucester.","grants totaling $11,093,615 to Gloucester.",The Mitigation Grant Programs seeks to protect,The Mitigation Grant Programs seeks to protect,The Mitigation Grant Programs seeks to protect,The Mitigation Grant Programs seeks to protect,The Mitigation Grant Programs seeks to protect,The Mitigation Grant Programs seeks to protect,The Mitigation Grant Programs seeks to protect,The Mitigation Grant Programs seeks to protect
,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to,and reduce the damages associated with natural disasters by returning acquired properties to
,green space and raising homes to a desired flood protection elevation.,green space and raising homes to a desired flood protection elevation.,green space and raising homes to a desired flood protection elevation.,green space and raising homes to a desired flood protection elevation.,green space and raising homes to a desired flood protection elevation.,green space and raising homes to a desired flood protection elevation.,green space and raising homes to a desired flood protection elevation.,green space and raising homes to a desired flood protection elevation.,green space and raising homes to a desired flood protection elevation.,green space and raising homes to a desired flood protection elevation.,green space and raising homes to a desired flood protection elevation.,No County match is,No County match is,No County match is,No County match is
,needed for this grant program.,needed for this grant program.,needed for this grant program.,needed for this grant program.,,,,,,,,,,,
•,"$48,333 for the second of three payments for the Feral Cat Project.","$48,333 for the second of three payments for the Feral Cat Project.","$48,333 for the second of three payments for the Feral Cat Project.","$48,333 for the second of three payments for the Feral Cat Project.","$48,333 for the second of three payments for the Feral Cat Project.","$48,333 for the second of three payments for the Feral Cat Project.","$48,333 for the second of three payments for the Feral Cat Project.","$48,333 for the second of three payments for the Feral Cat Project.","$48,333 for the second of three payments for the Feral Cat Project.","$48,333 for the second of three payments for the Feral Cat Project.",,,,,
•,"$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and","$100,000 to continue projects previously committed for County office building repairs and"
