Miscellaneous Statistical
Information
This page intentionally left blank
P RIORITIES,,,,,
The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as,The purpose of this section is to illustrate how resources are allocated across each of the six (6) priority areas as
reported by the departments.,This chart displays the percent breakdown of funding to each priority area.,This chart displays the percent breakdown of funding to each priority area.,This chart displays the percent breakdown of funding to each priority area.,Going,Going
forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct,forward the categorized activities will continue to be reviewed to ensure they are representative of the correct
priority.,,,,,
,&z ϮϬϭϯ,ůů &ƵŶĚƐ,,,
,ůůŽĐĂƚŝŽŶ ďLJ WƌŝŽƌŝƚLJ,ůůŽĐĂƚŝŽŶ ďLJ WƌŝŽƌŝƚLJ,ƌĞĂ,,
,ĐĐĞƐƐŝďŝůŝƚLJ͕,,,,
,DŽďŝůŝƚLJ ĂŶĚ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ,,
,ŽŶŶĞĐƚŝǀŝƚLJ͕ Ϯ͘ρй,ĂŶĚ tŽƌŬĨŽƌĐĞ,ĂŶĚ tŽƌŬĨŽƌĐĞ,,
,,ĞǀĞůŽƉŵĞŶƚ͕ ϯ͘ςй,ĞǀĞůŽƉŵĞŶƚ͕ ϯ͘ςй,,
,,,ŶǀŝƌŽŶŵĞŶƚĂů,,
,,,^ƵƐƚĂŝŶĂďŝůŝƚLJ͕ ϭ͘εй,,
,tĞůůͲDĂŶĂŐĞĚ,,,,
,'ŽǀĞƌŶŵĞŶƚ͕ Ϯϳй,,,,
,,>ŝĨĞůŽŶŐ >ĞĂƌŶŝŶŐ͕,,,
,,ϯϮ͘Θй,,,
,"^ĂĨĞ͕ ,ĞĂůƚŚLJ ĂŶĚ",,,,
,/ŶĐůƵƐŝǀĞ,,,,
,ŽŵŵƵŶŝƚŝĞƐ͕ ϯϮ͘Ϭй,,,,
,ĐĐĞƐƐŝďŝůŝƚLJ͕ DŽďŝůŝƚLJ ĂŶĚ ŽŶŶĞĐƚŝǀŝƚLJ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ ĂŶĚ tŽƌŬĨŽƌĐĞ ĞǀĞůŽƉŵĞŶƚ,ĐŽŶŽŵŝĐ sŝƚĂůŝƚLJ ĂŶĚ tŽƌŬĨŽƌĐĞ ĞǀĞůŽƉŵĞŶƚ,,
,ŶǀŝƌŽŶŵĞŶƚĂů ^ƵƐƚĂŝŶĂďŝůŝƚLJ,>ŝĨĞůŽŶŐ >ĞĂƌŶŝŶŐ,,,
,"^ĂĨĞ͕ ,ĞĂůƚŚLJ ĂŶĚ /ŶĐůƵƐŝǀĞ ŽŵŵƵŶŝƚŝĞƐ",tĞůůͲDĂŶĂŐĞĚ 'ŽǀĞƌŶŵĞŶƚ,tĞůůͲDĂŶĂŐĞĚ 'ŽǀĞƌŶŵĞŶƚ,,
,,,,Priorities,485
The following tables display every activity or service provided by the departments.,The following tables display every activity or service provided by the departments.,The following tables display every activity or service provided by the departments.,They are separated into six
EV.6,Virginia Workers Compensation,Departmental Support,"4,307,000"
EV.7,Business Development,Development,"615,268"
EV.8,Cultural Programs Management,Development,"(7,350)"
EV.9,Marketing,Development,"144,612"
EV.10,Special District Management,Development,"(3,563)"
EV.11,Real Estate,General Services,"131,185"
EV.12,Repair Projects,General Services,"1,250,250"
EV.13,Chrysler Museum,Outside Agencies,"2,819,636"
EV.14,DID Public & Performing Arts Group,Outside Agencies,"103,000"
EV.15,Downtown Norfolk Council,Outside Agencies,"60,000"
,Downtown Norfolk Council - pass thru,,
EV.16,,Outside Agencies,"1,545,500"
,revenue,,
EV.17,Economic Development Authority,Outside Agencies,"1,992,343"
EV.18,Friends of Fred Heutte,Outside Agencies,"17,500"
,Hampton Roads Chamber of,,
EV.19,,Outside Agencies,"12,000"
,Commerce,,
,Hampton Roads Economic,,
EV.20,,Outside Agencies,"230,663"
,Development Alliance,,
488,Priorities,,
Economic Vitality and Workforce Development,Economic Vitality and Workforce Development,Economic Vitality and Workforce Development,,
Activity Name,Activity Name,Department,FY 2013 Approved,FY 2013 Approved
,Hampton Roads Military and Federal,,,
EV.21,,Outside Agencies,"121,402","121,402"
,Facilities Alliance,,,
EV.22,Hampton Roads Partnership,Outside Agencies,"15,210","15,210"
,Hampton Roads Planning District,,,
EV.23,,Outside Agencies,"194,242","194,242"
,Commission,,,
EV.24,Hampton Roads Sports Commission,Outside Agencies,"35,100","35,100"
EV.25,Housing First Program,Outside Agencies,"140,000","140,000"
EV.26,HRRI - World Changers,Outside Agencies,"100,000","100,000"
,Norfolk Convention and Visitors',,,
EV.27,,Outside Agencies,"1,000,000","1,000,000"
,Bureau - Bed Tax,,,
EV.28,NRHA Administrative Support,Outside Agencies,"1,000,000","1,000,000"
EV.29,NRHA Economic Development Grants,Outside Agencies,"1,488,229","1,488,229"
EV.30,NRHA Rental Supplement,Outside Agencies,"33,317","33,317"
EV.31,Tourism Infrastructure Repairs,Outside Agencies,"958,513","958,513"
EV.32,Virginia Arts Festival,Outside Agencies,"804,570","804,570"
EV.33,Virginia First Cities,Outside Agencies,"43,261","43,261"
EV.34,Virginia Municipal League,Outside Agencies,"54,643","54,643"
EV.35,Virginia Zoo Society,Outside Agencies,"325,000","325,000"
EV.36,Virginia Zoo Society - Revenue sharing Outside Agencies,Virginia Zoo Society - Revenue sharing Outside Agencies,"479,104","479,104"
EV.37,Waterside Convention Center,Outside Agencies,"195,000","195,000"
EV.38,Norfolk Consortium - Bed Tax,Outside Agencies,"1,000,000","1,000,000"
EV.39,Conference Center Project,Public Amenities,"4,274,200","4,274,200"
EV.40,Cultural Facilities Project,Public Amenities,"1,000,000","1,000,000"
EV.41,Public Amenities,Public Amenities,"250,000","250,000"
EV.42,Surveys,Public Works,"834,072","834,072"
,,,Priorities,489
Economic Vitality and Workforce Development,Economic Vitality and Workforce Development,Economic Vitality and Workforce Development,
Activity Name,Activity Name,Department,FY 2013 Approved
EV.43,Development,The National Maritime Center,"239,514"
EV.44,Gift Shops,The National Maritime Center,"447,365"
EV.45,Visitor Services,The National Maritime Center,"987,245"
EV.46,Cruise Ship Terminal,The National Maritime Center,"745,441"
EV.47,Animal Services,Zoological Park,"2,999,432"
EV.48,Horticulture Services,Zoological Park,"563,059"
,,Total:,"$35,845,702"
490,Priorities,,
Environmental Sustainability,Environmental Sustainability,,,
Activity Name,Activity Name,Department,FY 2013 Approved,FY 2013 Approved
,,Planning and Community,,
ES.1,Bureau of Environmental Services,,"202,236","202,236"
,,Development,,
ES.2,Collection,Public Works,"19,322,467","19,322,467"
,,Total:,"$19,524,703","$19,524,703"
,,,Priorities,491
Lifelong Learning,Lifelong Learning,,
Activity Name,Activity Name,Department,FY 2013 Approved
,,"Cultural Facilities, Arts &",
L.1,Museum Services,,"28,444"
,,Entertainment,
L.2,Self-Sufficiency,Human Services,"17,333,605"
L.3,Special Support Allocations,Human Services,"995,719"
L.4,Automation,Libraries,"598,137"
L.5,Norfolk Public Library,Libraries,"600,125"
L.6,Program Development & Promotion,Libraries,"162,514"
L.7,Public Services,Libraries,"4,562,065"
L.8,Public Schools,Norfolk Public Schools,"302,033,320"
L.9,Eastern Virginia Medical School (EVMS) Outside Agencies,Eastern Virginia Medical School (EVMS) Outside Agencies,"709,348"
L.10,Second Chances,Outside Agencies,"435,000"
,Southeast Tidewater Opportunity,,
L.11,,Outside Agencies,"12,900"
,Project (STOP),,
L.12,Square One,Outside Agencies,"37,336"
L.13,St. Mary's Home for the Disabled,Outside Agencies,"55,000"
L.14,The Literacy Partnership,Outside Agencies,"50,000"
L.15,Tidewater Community College (TCC),Outside Agencies,"6,000"
L.16,Computer Resource Centers,"Recreation, Parks and Open Space","271,729"
L.17,Model Middle,"Recreation, Parks and Open Space","74,666"
L.18,Stanhope House,"Recreation, Parks and Open Space","8,000"
L.19,NEL Internship Program,"Recreation, Parks and Open Space","60,000"
L.20,Youth Leadership,"Recreation, Parks and Open Space","37,100"
492,Priorities,,
Lifelong Learning,Lifelong Learning,,,
Activity Name,Activity Name,Department,FY 2013 Approved,FY 2013 Approved
,Norfolk Coalition for Educational,,,
L.21,,"Recreation, Parks and Open Space","25,000","25,000"
,Excellence,,,
L.22,NEL Programs,"Recreation, Parks and Open Space","550,000","550,000"
L.23,Education,The National Maritime Center,"421,935","421,935"
L.24,Special Events,The National Maritime Center,"131,840","131,840"
L.25,USS Wisconsin,The National Maritime Center,"488,622","488,622"
,,Total:,"329,688,405","329,688,405"
,,,Priorities,493
"Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities",,
Activity Name,Activity Name,Department,,FY 2013 Approved
S.1,Cemetery Maintenance,Cemeteries,,"933,143"
S.2,Circuit Court Administration,Circuit Court Judges,Circuit Court Judges,"640,628"
,,Communications and Public,Communications and Public,
S.3,Community Enrichment,,,"610,563"
,,Information,,
,Office Of Cultural Affairs & Special,"Cultural Facilities, Arts &","Cultural Facilities, Arts &",
S.4,,,,"391,924"
,Events,Entertainment,,
,,"Cultural Facilities, Arts &","Cultural Facilities, Arts &",
S.5,Operations & Engineering,,,"2,728,194"
,,Entertainment,,
S.6,Cemeteries Support,Departmental Support,Departmental Support,"464,540"
S.7,EOC Support,Departmental Support,Departmental Support,"1,125,995"
S.8,Golf Fund Support,Departmental Support,Departmental Support,"439,137"
S.9,Health Improvement Program,Departmental Support,Departmental Support,"231,444"
,Nauticus Support for Schooner,,,
,,This page intentionally,left blank,
S.10,,Departmental Support,Departmental Support,"125,000"
,Virginia,,,
S.11,Norfolk Drug Court Program,Departmental Support,Departmental Support,"291,200"
S.12,Special Programs and Sponsorships,Departmental Support,Departmental Support,"200,000"
S.13,CSB Operating Expense,Departmental Support,Departmental Support,"2,851,000"
S.14,CSB Transition Assistance,Departmental Support,Departmental Support,"1,272,000"
,,Emergency Preparedness And,Emergency Preparedness And,
S.15,Emergency Management,,,"501,551"
,,Response,,
,,Emergency Preparedness And,Emergency Preparedness And,
S.16,EOC / 911,,,"5,459,449"
,,Response,,
S.17,Bio Medical Shop,Fire-Rescue,,"62,000"
S.18,Communications Shop,Fire-Rescue,,"12,222"
S.19,Extinguisher Shop,Fire-Rescue,,"1,000"
S.20,Hose/Nozzle Shop,Fire-Rescue,,"2,000"
S.21,Ladder Shop,Fire-Rescue,,"1,800"
S.22,Nozzle Shop,Fire-Rescue,,500
"Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities",,
Activity Name,Activity Name,Department,FY 2013 Approved,FY 2013 Approved
S.23,Operations,Fire-Rescue,"34,261,140","34,261,140"
S.24,PPE Shop,Fire-Rescue,"22,705","22,705"
S.25,Prevention & Investigation,Fire-Rescue,"1,304,710","1,304,710"
S.26,SCBA Shop,Fire-Rescue,"8,000","8,000"
S.27,Small Tools Shop,Fire-Rescue,"3,550","3,550"
S.28,Training,Fire-Rescue,"1,327,391","1,327,391"
S.29,Uniform Shop,Fire-Rescue,"103,705","103,705"
S.30,Vehicle Maintenance/Repair,Fleet Management,"7,275,341","7,275,341"
S.31,General District Court,General District Court,"266,598","266,598"
S.32,Animal Care Center,General Services,"1,164,748","1,164,748"
S.33,Jail Repair,General Services,"90,000","90,000"
S.34,Public Infrastructure,General Services,"7,216,600","7,216,600"
S.35,Security Services,General Services,"870,665","870,665"
S.36,IMPACT Norfolk,General Services,"(1,734)","(1,734)"
S.37,Lake Wright,Golf Operations,"800,139","800,139"
S.38,Lamberts Point,Golf Operations,"613,461","613,461"
S.39,Oceanview,Golf Operations,"84,000","84,000"
S.40,Occupational Health and Safety,Human Resources,"274,728","274,728"
S.41,Adult Services,Human Services,"1,055,186","1,055,186"
S.42,Child Welfare,Human Services,"11,330,493","11,330,493"
S.43,Comprehensive Services Act,Human Services,"2,809,836","2,809,836"
S.44,Norfolk Interagency Consortium,Human Services,"238,242","238,242"
S.45,Secure Detention,Human Services,"5,254,079","5,254,079"
,,,Priorities,495
"Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities",
Activity Name,Activity Name,Department,FY 2013 Approved
S.46,VA Crime Control,Human Services,"639,899"
S.47,IMPACT Norfolk,Information Technology,"283,549"
S.48,Juvenile & Domestic Relations,Juvenile & Domestic Relations Court,"80,290"
S.49,Magistrate,Magistrate,"34,917"
S.50,Office to End Homelessness,Office to End Homelessness,"326,290"
S.51,Hampton Roads Medical Response,Outside Agencies,"47,014"
S.52,Legal Aid Society of Eastern Virginia,Outside Agencies,"8,364"
S.53,NATO Festival,Outside Agencies,"139,226"
S.54,Norfolk Botanical Gardens,Outside Agencies,"1,174,910"
,Norfolk Commission on the Arts and,,
S.55,,Outside Agencies,"884,838"
,Humanities,,
,Norfolk Convention and Visitors,,
S.56,,Outside Agencies,"3,579,325"
,Bureau (Visit Norfolk),,
S.57,Norfolk Criminal Justice Services,Outside Agencies,"155,100"
,Norfolk Dept of Human Services,,
S.58,,Outside Agencies,"520,300"
,Grants,,
S.59,Norfolk Festevents,Outside Agencies,"1,642,934"
,Norfolk Festevents - Jazz Festival/,,
S.60,,Outside Agencies,"71,188"
,Fleetweek,,
S.61,Caribfest,Outside Agencies,"50,000"
S.62,Maintenance,Parking Facilities Fund,"1,869,174"
S.63,Security,Parking Facilities Fund,"371,000"
,,Planning and Community,
S.64,Inspections,,"1,766,951"
,,Development,
,,Planning and Community,
S.65,Neighborhood Quality,,"1,996,652"
,,Development,
,,Planning and Community,
S.66,Nuisance Abatement,,"676,900"
,,Development,
,,Planning and Community,
S.67,Office of Housing,,"53,028"
,,Development,
,,Planning and Community,
S.68,Operations,,"437,270"
,,Development,
496,Priorities,,
"Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities",,
Activity Name,Activity Name,Department,FY 2013 Approved,FY 2013 Approved
,,Planning and Community,,
S.69,Property Maintenance,,"20,913","20,913"
,,Development,,
S.70,Animal Protection,Police,"16,950","16,950"
S.71,Booking Unit,Police,"12,121","12,121"
S.72,Chief of Police,Police,"300,637","300,637"
S.73,Crime Prevention,Police,"7,802","7,802"
S.74,Criminal Intelligence,Police,"8,717","8,717"
S.75,Detective,Police,"98,347","98,347"
S.76,Detective Extradition,Police,"33,882","33,882"
S.77,First Patrol,Police,"37,840","37,840"
S.78,Homeland Security,Police,"117,827","117,827"
S.79,Honor Guard,Police,"2,800","2,800"
S.80,K-9,Police,"60,764","60,764"
S.81,Leadership Support,Police,"3,264,113","3,264,113"
S.82,Pistol Range,Police,"184,980","184,980"
S.83,Property and Evidence,Police,"328,042","328,042"
S.84,Record Management & Training,Police,"9,259,413","9,259,413"
S.85,Second Patrol,Police,"36,555","36,555"
S.86,Third Patrol,Police,"38,049","38,049"
S.87,Traffic,Police,"43,364","43,364"
S.88,Training,Police,"104,875","104,875"
S.89,Uniformed Patrol Services,Police,"33,319,737","33,319,737"
S.90,Vice and Narcotics,Police,"115,390","115,390"
,Vice/Narcotics & Criminal,,,
S.91,,Police,"14,456,302","14,456,302"
,Investigations,,,
,,,Priorities,497
"Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities",
Activity Name,Activity Name,Department,FY 2013 Approved
S.92,Probation Services,Probation Services,"208,310"
S.93,City Supplemental,Public Health,"160,226"
S.94,Vector Control,Public Health,"613,430"
S.95,Neighborhood & Safety Program,Public Works,"894,790"
S.96,Right of Way,Public Works,"669,095"
S.97,Signs & Pavement Marking Program,Public Works,"938,493"
S.98,Street Lighting,Public Works,"4,836,230"
S.99,Street Maintenance,Public Works,"6,383,624"
S.100,Street Maintenance Projects (VDOT),Public Works,"4,186,600"
S.101,Traffic Signal Maintenance Program,Public Works,"855,511"
S.102,Utility Cut Repairs,Public Works,"1,095,107"
S.103,Aquatics Management,"Recreation, Parks and Open Space","1,256,113"
S.104,Athletics,"Recreation, Parks and Open Space","878,308"
S.105,Bayview Center,"Recreation, Parks and Open Space","121,849"
S.106,Berkeley Center,"Recreation, Parks and Open Space","161,666"
S.107,Berkley Service Center,"Recreation, Parks and Open Space","106,541"
S.108,Boxing,"Recreation, Parks and Open Space","98,320"
S.109,Campostella Center,"Recreation, Parks and Open Space","64,654"
S.110,Captain's Quarters,"Recreation, Parks and Open Space","64,372"
S.111,Crossroads Center,"Recreation, Parks and Open Space","134,699"
S.112,Dance/Music,"Recreation, Parks and Open Space","278,947"
S.113,East Ocean View Center,"Recreation, Parks and Open Space","101,399"
S.114,Fairlawn Center,"Recreation, Parks and Open Space","113,949"
498,Priorities,,
"Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities",,
Activity Name,Activity Name,Department,FY 2013 Approved,FY 2013 Approved
S.115,Grandy Village Center,"Recreation, Parks and Open Space","48,359","48,359"
S.116,Huntersville Center,"Recreation, Parks and Open Space","115,545","115,545"
S.117,Huntersville Service Center,"Recreation, Parks and Open Space","78,970","78,970"
S.118,Ingleside Center,"Recreation, Parks and Open Space","8,843","8,843"
S.119,Lambert's Point,"Recreation, Parks and Open Space","302,408","302,408"
S.120,Landscape Services,"Recreation, Parks and Open Space","5,274,826","5,274,826"
S.121,Merrimack Center,"Recreation, Parks and Open Space","52,120","52,120"
S.122,NFWC,"Recreation, Parks and Open Space","930,344","930,344"
S.123,Norview Center,"Recreation, Parks and Open Space","284,500","284,500"
S.124,Park Place Center,"Recreation, Parks and Open Space","116,421","116,421"
S.125,Park Place Service Center,"Recreation, Parks and Open Space","109,855","109,855"
S.126,Recreation Centers,"Recreation, Parks and Open Space","67,061","67,061"
S.127,Seniors,"Recreation, Parks and Open Space","216,317","216,317"
S.128,Sherwood Forest Center,"Recreation, Parks and Open Space","150,511","150,511"
S.129,SkatePark,"Recreation, Parks and Open Space","139,230","139,230"
S.130,Tarrallton Center,"Recreation, Parks and Open Space","113,583","113,583"
S.131,Therapeutics,"Recreation, Parks and Open Space","318,361","318,361"
S.132,Titustown Center,"Recreation, Parks and Open Space","154,130","154,130"
S.133,Urban Forestry,"Recreation, Parks and Open Space","1,626,744","1,626,744"
S.134,Visual Arts,"Recreation, Parks and Open Space","231,296","231,296"
S.135,Vivian C. Mason,"Recreation, Parks and Open Space","(13,471)","(13,471)"
S.136,Young Terrace Center,"Recreation, Parks and Open Space","104,815","104,815"
S.137,Youth Development,"Recreation, Parks and Open Space","667,742","667,742"
,,,Priorities,499
"Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities","Safe, Healthy, and Inclusive Communities",
Activity Name,Activity Name,Department,FY 2013 Approved
S.138,Corrections,Sheriff and Jail,"6,543,138"
S.139,Investigations,Sheriff and Jail,"6,795"
S.140,Operations/court security,Sheriff and Jail,"287,898"
S.141,Regional Jail,Sheriff and Jail,"4,471,271"
S.142,Sheriff and Jail,Sheriff and Jail,"24,347,536"
S.143,Keep Norfolk Beautiful,Storm Water Management,"237,720"
S.144,Storm Water System Operation,Storm Water Management,"10,507,772"
S.145,Street Sweeping,Storm Water Management,"1,885,006"
S.146,Towing Facility Operations,Towing & Recovery Operations Fund,"1,569,330"
S.147,Vacant Lot Clean Up Program,Towing & Recovery Operations Fund,"134,670"
S.148,Cross Connection,Water,"230,987"
S.149,Division of Engineering,Water,"3,745,468"
S.150,Division of Water Accounts,Water,"1,880,478"
S.151,Division of Water Distribution,Water,"8,548,085"
S.152,Treated Water,Water,"21,633,165"
S.153,Water Distribution (Water Quality),Water,"19,416"
S.154,Division of Water Production,Water,(265)
S.155,Zoo,Zoological Park,"596,709"
S.156,Norfolk Community Service Board,Norfolk Community Service Board,"25,986,097"
,,Total:,"321,349,192"
500,Priorities,,
Well-Managed Government,Well-Managed Government,,,
Activity Name,Activity Name,Department,FY 2013 Approved,FY 2013 Approved
W.1,Funeral Service,Cemeteries,"1,280,457","1,280,457"
W.2,City Attorney's Office,City Attorney,"3,930,466","3,930,466"
W.3,City Auditor,City Auditor,"793,252","793,252"
W.4,City Clerk,City Clerk,"1,113,030","1,113,030"
