,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
Community and Economic Development,Community and Economic Development,
,Business Center Index,
Organizational Chart,,12 - 2
Business Center Summary,Business Center Summary,12 - 3
Permits and Inspections,Permits and Inspections,12 - 4
Economic Development,Economic Development,12 - 5
Planning,,12 - 6
Willett Hall,,12 - 7
Community Planning and Development Program,Community Planning and Development Program,12 - 8
New Port Community Development Authority,New Port Community Development Authority,12 - 9
Fiscal Year 2014,12 - 1,Community and Economic Development
,City of Portsmouth,
,Fiscal Year 2014 Adopted Budget,
Community and Economic Development,Community and Economic Development,
Business Center Organizational Chart,Business Center Organizational Chart,
Total Permanent Positions,,
Positions =,49,
,Permits and Inspections,
,Positions =,29
,Economic Development,
,Positions =,6
,Planning,
,Positions =,12
,Willett Hall,
,Positions =,2
Fiscal Year 2014,12 - 2,Community and Economic Development
City of Portsmouth,City of Portsmouth,,,,
Our mission is to administer and enforce the Virginia Uniform Statewide Building Code and its related laws and ordinances as,Our mission is to administer and enforce the Virginia Uniform Statewide Building Code and its related laws and ordinances as,Our mission is to administer and enforce the Virginia Uniform Statewide Building Code and its related laws and ordinances as,Our mission is to administer and enforce the Virginia Uniform Statewide Building Code and its related laws and ordinances as,Our mission is to administer and enforce the Virginia Uniform Statewide Building Code and its related laws and ordinances as,
"mandated by state and local regulations. The Department will endeavor to provide services in a professional, courteous, and","mandated by state and local regulations. The Department will endeavor to provide services in a professional, courteous, and","mandated by state and local regulations. The Department will endeavor to provide services in a professional, courteous, and","mandated by state and local regulations. The Department will endeavor to provide services in a professional, courteous, and","mandated by state and local regulations. The Department will endeavor to provide services in a professional, courteous, and",
"timely manner, as well as provide efficient response to citizen concerns and requests for information.","timely manner, as well as provide efficient response to citizen concerns and requests for information.","timely manner, as well as provide efficient response to citizen concerns and requests for information.",,,
"Our business is to enforce the code in a fair and equitable manner while providing for consumer protection, public safety,","Our business is to enforce the code in a fair and equitable manner while providing for consumer protection, public safety,","Our business is to enforce the code in a fair and equitable manner while providing for consumer protection, public safety,","Our business is to enforce the code in a fair and equitable manner while providing for consumer protection, public safety,","Our business is to enforce the code in a fair and equitable manner while providing for consumer protection, public safety,",
"sustainable new construction, and preservation of the city’s neighborhoods and historic character. Through fair and equitable","sustainable new construction, and preservation of the city’s neighborhoods and historic character. Through fair and equitable","sustainable new construction, and preservation of the city’s neighborhoods and historic character. Through fair and equitable","sustainable new construction, and preservation of the city’s neighborhoods and historic character. Through fair and equitable","sustainable new construction, and preservation of the city’s neighborhoods and historic character. Through fair and equitable",
"enforcement of the code, adhering to our core values of honesty, integrity, and competency, we will transform our neighborhoods","enforcement of the code, adhering to our core values of honesty, integrity, and competency, we will transform our neighborhoods","enforcement of the code, adhering to our core values of honesty, integrity, and competency, we will transform our neighborhoods","enforcement of the code, adhering to our core values of honesty, integrity, and competency, we will transform our neighborhoods","enforcement of the code, adhering to our core values of honesty, integrity, and competency, we will transform our neighborhoods",
"and make Portsmouth the ""City of Choice"" in which to live, work, visit, and invest.","and make Portsmouth the ""City of Choice"" in which to live, work, visit, and invest.",,,,
Description of Services Provided,,,,,
"The Department of Permits & Inspections encompasses the divisions of Building, Environmental/Zoning, and Rental Inspections.","The Department of Permits & Inspections encompasses the divisions of Building, Environmental/Zoning, and Rental Inspections.","The Department of Permits & Inspections encompasses the divisions of Building, Environmental/Zoning, and Rental Inspections.","The Department of Permits & Inspections encompasses the divisions of Building, Environmental/Zoning, and Rental Inspections.","The Department of Permits & Inspections encompasses the divisions of Building, Environmental/Zoning, and Rental Inspections.",
"The Building Inspections Division enforces the Virginia Uniform Statewide Building Code (USBC) as it relates to the construction,","The Building Inspections Division enforces the Virginia Uniform Statewide Building Code (USBC) as it relates to the construction,","The Building Inspections Division enforces the Virginia Uniform Statewide Building Code (USBC) as it relates to the construction,","The Building Inspections Division enforces the Virginia Uniform Statewide Building Code (USBC) as it relates to the construction,","The Building Inspections Division enforces the Virginia Uniform Statewide Building Code (USBC) as it relates to the construction,",
"alteration, renovation, or the change of use of buildings. It is this division’s responsibility to ensure that a structure is sound and","alteration, renovation, or the change of use of buildings. It is this division’s responsibility to ensure that a structure is sound and","alteration, renovation, or the change of use of buildings. It is this division’s responsibility to ensure that a structure is sound and","alteration, renovation, or the change of use of buildings. It is this division’s responsibility to ensure that a structure is sound and","alteration, renovation, or the change of use of buildings. It is this division’s responsibility to ensure that a structure is sound and",
"reasonably safe from structural failure, accidental fire, and other hazards. The Building Inspections Division determines permit","reasonably safe from structural failure, accidental fire, and other hazards. The Building Inspections Division determines permit","reasonably safe from structural failure, accidental fire, and other hazards. The Building Inspections Division determines permit","reasonably safe from structural failure, accidental fire, and other hazards. The Building Inspections Division determines permit","reasonably safe from structural failure, accidental fire, and other hazards. The Building Inspections Division determines permit",
"applicant qualifications, reviews construction documents, issues permits, and performs inspections for compliance with USBC","applicant qualifications, reviews construction documents, issues permits, and performs inspections for compliance with USBC","applicant qualifications, reviews construction documents, issues permits, and performs inspections for compliance with USBC","applicant qualifications, reviews construction documents, issues permits, and performs inspections for compliance with USBC","applicant qualifications, reviews construction documents, issues permits, and performs inspections for compliance with USBC",
"standards and local ordinances, as well as other related activity, as set forth in the Code of Virginia.","standards and local ordinances, as well as other related activity, as set forth in the Code of Virginia.","standards and local ordinances, as well as other related activity, as set forth in the Code of Virginia.",,,
"The Environmental/Zoning and Rental Inspections Division enforces Part III of the USBC, referred to as the Virginia Maintenance","The Environmental/Zoning and Rental Inspections Division enforces Part III of the USBC, referred to as the Virginia Maintenance","The Environmental/Zoning and Rental Inspections Division enforces Part III of the USBC, referred to as the Virginia Maintenance","The Environmental/Zoning and Rental Inspections Division enforces Part III of the USBC, referred to as the Virginia Maintenance","The Environmental/Zoning and Rental Inspections Division enforces Part III of the USBC, referred to as the Virginia Maintenance",
"Code, as well as pertinent local ordinances as set forth in the Code of Virginia. This division performs inspections of all existing","Code, as well as pertinent local ordinances as set forth in the Code of Virginia. This division performs inspections of all existing","Code, as well as pertinent local ordinances as set forth in the Code of Virginia. This division performs inspections of all existing","Code, as well as pertinent local ordinances as set forth in the Code of Virginia. This division performs inspections of all existing","Code, as well as pertinent local ordinances as set forth in the Code of Virginia. This division performs inspections of all existing",
"properties, owner-occupied or rental, to ensure that they meet the minimum code requirements and standards for premises,","properties, owner-occupied or rental, to ensure that they meet the minimum code requirements and standards for premises,","properties, owner-occupied or rental, to ensure that they meet the minimum code requirements and standards for premises,","properties, owner-occupied or rental, to ensure that they meet the minimum code requirements and standards for premises,","properties, owner-occupied or rental, to ensure that they meet the minimum code requirements and standards for premises,",
"structures, ventilation, space, heating, sanitation, protection from the elements, inoperable motor vehicles, weeds and debris,","structures, ventilation, space, heating, sanitation, protection from the elements, inoperable motor vehicles, weeds and debris,","structures, ventilation, space, heating, sanitation, protection from the elements, inoperable motor vehicles, weeds and debris,","structures, ventilation, space, heating, sanitation, protection from the elements, inoperable motor vehicles, weeds and debris,","structures, ventilation, space, heating, sanitation, protection from the elements, inoperable motor vehicles, weeds and debris,",
"safety from fire, and other hazards to protect the health, safety and welfare of our citizens. Inspectors also perform zoning","safety from fire, and other hazards to protect the health, safety and welfare of our citizens. Inspectors also perform zoning","safety from fire, and other hazards to protect the health, safety and welfare of our citizens. Inspectors also perform zoning","safety from fire, and other hazards to protect the health, safety and welfare of our citizens. Inspectors also perform zoning","safety from fire, and other hazards to protect the health, safety and welfare of our citizens. Inspectors also perform zoning",
investigations. Through this program the division provides oversight of the City’s Historic Districts and Downtown Design,investigations. Through this program the division provides oversight of the City’s Historic Districts and Downtown Design,investigations. Through this program the division provides oversight of the City’s Historic Districts and Downtown Design,investigations. Through this program the division provides oversight of the City’s Historic Districts and Downtown Design,investigations. Through this program the division provides oversight of the City’s Historic Districts and Downtown Design,
"Districts, citing owners who perform exterior alterations without proper approval and/or building permits.","Districts, citing owners who perform exterior alterations without proper approval and/or building permits.","Districts, citing owners who perform exterior alterations without proper approval and/or building permits.",This division also,This division also,
enforces the sign ordinance. Properties that have been illegally converted also come under the purview of this division for,enforces the sign ordinance. Properties that have been illegally converted also come under the purview of this division for,enforces the sign ordinance. Properties that have been illegally converted also come under the purview of this division for,enforces the sign ordinance. Properties that have been illegally converted also come under the purview of this division for,enforces the sign ordinance. Properties that have been illegally converted also come under the purview of this division for,
notification of violations of the City’s zoning code.,,,,,
,,FY 2012,FY 2013,FY 2013,FY 2014
Expenditure Categories,,Actual,Adopted,Amended,Adopted
Salaries,,"919,414","1,171,361","871,361","1,100,477"
Allowances,,-,"11,997","11,997",-
Benefits,,"368,350","491,580","491,580","446,156"
Other Operating Expenses,,"619,220","417,100","717,100","435,439"
Internal Service Charges,,"400,504","413,760","413,760","417,886"
,Net Budget,"2,307,488","2,505,798","2,505,798","2,399,958"
,Total Budget,"2,307,488","2,505,798","2,505,798","2,399,958"
,,FY 2012,FY 2013,FY 2013,FY 2014
Funding Sources,,Actual,Adopted,Amended,Adopted
100 General Fund,,"2,307,488","2,505,798","2,505,798","2,399,958"
,Total Funding,"2,307,488","2,505,798","2,505,798","2,399,958"
Strategic Goals,,,,,
"* Continue to enhance the functions of the zoning component, in addition to the enhancement of the efficiency of the building","* Continue to enhance the functions of the zoning component, in addition to the enhancement of the efficiency of the building","* Continue to enhance the functions of the zoning component, in addition to the enhancement of the efficiency of the building","* Continue to enhance the functions of the zoning component, in addition to the enhancement of the efficiency of the building","* Continue to enhance the functions of the zoning component, in addition to the enhancement of the efficiency of the building",
permit process.,,,,,
Outcomes and Accomplishments,,,,,
"*Issued 4,454 building, electrical, mechanical and plumbing permits. This generated revenues of approximately $554 thousand","*Issued 4,454 building, electrical, mechanical and plumbing permits. This generated revenues of approximately $554 thousand","*Issued 4,454 building, electrical, mechanical and plumbing permits. This generated revenues of approximately $554 thousand","*Issued 4,454 building, electrical, mechanical and plumbing permits. This generated revenues of approximately $554 thousand","*Issued 4,454 building, electrical, mechanical and plumbing permits. This generated revenues of approximately $554 thousand",
and represents $70 million aggregate in construction value.,and represents $70 million aggregate in construction value.,,,,
"*The department completed 465 building, electrical, mechanical and plumbing plan reviews and 10,482 building, electrical,","*The department completed 465 building, electrical, mechanical and plumbing plan reviews and 10,482 building, electrical,","*The department completed 465 building, electrical, mechanical and plumbing plan reviews and 10,482 building, electrical,","*The department completed 465 building, electrical, mechanical and plumbing plan reviews and 10,482 building, electrical,","*The department completed 465 building, electrical, mechanical and plumbing plan reviews and 10,482 building, electrical,",
mechanical and plumbing inspections.,,,,,
"*The Environmental/Zoning Inspections Division conducted 62,745 initial inspections. It closed 18,599 cases all in an effort to","*The Environmental/Zoning Inspections Division conducted 62,745 initial inspections. It closed 18,599 cases all in an effort to","*The Environmental/Zoning Inspections Division conducted 62,745 initial inspections. It closed 18,599 cases all in an effort to","*The Environmental/Zoning Inspections Division conducted 62,745 initial inspections. It closed 18,599 cases all in an effort to","*The Environmental/Zoning Inspections Division conducted 62,745 initial inspections. It closed 18,599 cases all in an effort to",
preserve neighborhoods.,,,,,
Fiscal Year 2014,12 - 4,,Community and Economic Development,Community and Economic Development,Community and Economic Development
,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
Community and Economic Development,Community and Economic Development,Community and Economic Development,Community and Economic Development,,
Economic Development,Economic Development,Economic Development,,,
Business Unit Mission Statement,,,,,
To foster an environment that creates a superior quality of life for its corporate citizens and residents by being receptive and,To foster an environment that creates a superior quality of life for its corporate citizens and residents by being receptive and,To foster an environment that creates a superior quality of life for its corporate citizens and residents by being receptive and,To foster an environment that creates a superior quality of life for its corporate citizens and residents by being receptive and,To foster an environment that creates a superior quality of life for its corporate citizens and residents by being receptive and,
responsive to the changing landscape of the local community and global economy.,responsive to the changing landscape of the local community and global economy.,responsive to the changing landscape of the local community and global economy.,,,
Description of Services Provided,,,,,
The Department of Economic Development has created a strategic plan that strives to build upon and continue the success by,The Department of Economic Development has created a strategic plan that strives to build upon and continue the success by,The Department of Economic Development has created a strategic plan that strives to build upon and continue the success by,The Department of Economic Development has created a strategic plan that strives to build upon and continue the success by,The Department of Economic Development has created a strategic plan that strives to build upon and continue the success by,
"focusing attention on three key activities: Business development, product development and market development","focusing attention on three key activities: Business development, product development and market development","focusing attention on three key activities: Business development, product development and market development","focusing attention on three key activities: Business development, product development and market development",,
* Business development is defined as programs that nurture business growth and investment. This is the core of economic,* Business development is defined as programs that nurture business growth and investment. This is the core of economic,* Business development is defined as programs that nurture business growth and investment. This is the core of economic,* Business development is defined as programs that nurture business growth and investment. This is the core of economic,* Business development is defined as programs that nurture business growth and investment. This is the core of economic,
"development activities, which include business attraction, retention and expansion, and startup and emerging businesses.","development activities, which include business attraction, retention and expansion, and startup and emerging businesses.","development activities, which include business attraction, retention and expansion, and startup and emerging businesses.","development activities, which include business attraction, retention and expansion, and startup and emerging businesses.","development activities, which include business attraction, retention and expansion, and startup and emerging businesses.",
* Market development involves activities that focus on recruiting individuals who will enhance the economy and enlarge the,* Market development involves activities that focus on recruiting individuals who will enhance the economy and enlarge the,* Market development involves activities that focus on recruiting individuals who will enhance the economy and enlarge the,* Market development involves activities that focus on recruiting individuals who will enhance the economy and enlarge the,* Market development involves activities that focus on recruiting individuals who will enhance the economy and enlarge the,
market area in which they could receive products and services.,market area in which they could receive products and services.,,,,
"* Product development includes investments that are maintained, upgraded or developed by labor and capital to improve the","* Product development includes investments that are maintained, upgraded or developed by labor and capital to improve the","* Product development includes investments that are maintained, upgraded or developed by labor and capital to improve the","* Product development includes investments that are maintained, upgraded or developed by labor and capital to improve the","* Product development includes investments that are maintained, upgraded or developed by labor and capital to improve the",
"community. This may include downtown areas, gateways, business parks, or speculative buildings.","community. This may include downtown areas, gateways, business parks, or speculative buildings.","community. This may include downtown areas, gateways, business parks, or speculative buildings.",,,
,,FY 2012,FY 2013,FY 2013,FY 2014
Expenditure Categories,,Actual,Adopted,Amended,Adopted
Salaries,,"323,903","379,392","379,392","361,325"
Benefits,,"93,570","116,746","116,746","106,169"
Other Operating Expenses,,"229,644","362,000","362,000","362,000"
Internal Service Charges,,"54,843","65,485","65,485","55,797"
,Net Budget,"701,960","923,623","923,623","885,291"
,Total Budget,"701,960","923,623","923,623","885,291"
,,FY 2012,FY 2013,FY 2013,FY 2014
Funding Sources,,Actual,Adopted,Amended,Adopted
100 General Fund,,"701,960","923,623","923,623","885,291"
,Total Funding,"701,960","923,623","923,623","885,291"
Strategic Goals,,,,,
"* Midtown Retail Redevelopment - The primary focus is developing the sites currently owned by EDA, Greater Portsmouth","* Midtown Retail Redevelopment - The primary focus is developing the sites currently owned by EDA, Greater Portsmouth","* Midtown Retail Redevelopment - The primary focus is developing the sites currently owned by EDA, Greater Portsmouth","* Midtown Retail Redevelopment - The primary focus is developing the sites currently owned by EDA, Greater Portsmouth","* Midtown Retail Redevelopment - The primary focus is developing the sites currently owned by EDA, Greater Portsmouth",
"Development Corporation, and Portsmouth Redevelopment & Housing Authority.","Development Corporation, and Portsmouth Redevelopment & Housing Authority.",,,,
* Other goals will be to identify land that can be acquired to facilite commercial developments similar to those that have taken,* Other goals will be to identify land that can be acquired to facilite commercial developments similar to those that have taken,* Other goals will be to identify land that can be acquired to facilite commercial developments similar to those that have taken,* Other goals will be to identify land that can be acquired to facilite commercial developments similar to those that have taken,* Other goals will be to identify land that can be acquired to facilite commercial developments similar to those that have taken,
place in Port Centre Commerce Park. This area has accommodated the expansion of businesses in an area that is rich with,place in Port Centre Commerce Park. This area has accommodated the expansion of businesses in an area that is rich with,place in Port Centre Commerce Park. This area has accommodated the expansion of businesses in an area that is rich with,place in Port Centre Commerce Park. This area has accommodated the expansion of businesses in an area that is rich with,place in Port Centre Commerce Park. This area has accommodated the expansion of businesses in an area that is rich with,
incentives related to the zone designations. Additional space for commercial developments are essential to the growth and,incentives related to the zone designations. Additional space for commercial developments are essential to the growth and,incentives related to the zone designations. Additional space for commercial developments are essential to the growth and,incentives related to the zone designations. Additional space for commercial developments are essential to the growth and,incentives related to the zone designations. Additional space for commercial developments are essential to the growth and,
expansion of small to mid-size companies in the City.,,,,,
Outcomes and Accomplishments,,,,,
"* Staff has enhanced partnerships with its primary economic development partners: VEDP, VDBA, VDHCD, HREDA, VPA and","* Staff has enhanced partnerships with its primary economic development partners: VEDP, VDBA, VDHCD, HREDA, VPA and","* Staff has enhanced partnerships with its primary economic development partners: VEDP, VDBA, VDHCD, HREDA, VPA and","* Staff has enhanced partnerships with its primary economic development partners: VEDP, VDBA, VDHCD, HREDA, VPA and","* Staff has enhanced partnerships with its primary economic development partners: VEDP, VDBA, VDHCD, HREDA, VPA and",
the consulting and brokerage communities. Building on these partnerships will continue.,the consulting and brokerage communities. Building on these partnerships will continue.,the consulting and brokerage communities. Building on these partnerships will continue.,,,
* Target industries were developed and numerous marketing outreach initiatives and missions took place focused on these.,* Target industries were developed and numerous marketing outreach initiatives and missions took place focused on these.,* Target industries were developed and numerous marketing outreach initiatives and missions took place focused on these.,* Target industries were developed and numerous marketing outreach initiatives and missions took place focused on these.,* Target industries were developed and numerous marketing outreach initiatives and missions took place focused on these.,
* A media campaign has been implemented focusing on highlighting the City's accomplishments over the past decade. This,* A media campaign has been implemented focusing on highlighting the City's accomplishments over the past decade. This,* A media campaign has been implemented focusing on highlighting the City's accomplishments over the past decade. This,* A media campaign has been implemented focusing on highlighting the City's accomplishments over the past decade. This,* A media campaign has been implemented focusing on highlighting the City's accomplishments over the past decade. This,
effort continues with the initiation of a billboard campaign and commercial television campaign aimed at residential consumers.,effort continues with the initiation of a billboard campaign and commercial television campaign aimed at residential consumers.,effort continues with the initiation of a billboard campaign and commercial television campaign aimed at residential consumers.,effort continues with the initiation of a billboard campaign and commercial television campaign aimed at residential consumers.,effort continues with the initiation of a billboard campaign and commercial television campaign aimed at residential consumers.,
Fiscal Year 2014,12 - 5,,Community and Economic Development,Community and Economic Development,Community and Economic Development
,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,Fiscal Year 2014 Adopted Budget,,,
Community and Economic Development,Community and Economic Development,Community and Economic Development,Community and Economic Development,,
,Planning,,,,
Business Unit Mission Statement,,,,,
The Department of Planning’s mission is to perform and provide support for programs and activities related to the physical,The Department of Planning’s mission is to perform and provide support for programs and activities related to the physical,The Department of Planning’s mission is to perform and provide support for programs and activities related to the physical,The Department of Planning’s mission is to perform and provide support for programs and activities related to the physical,The Department of Planning’s mission is to perform and provide support for programs and activities related to the physical,
"development and use of the land in the City. These activities include, but are not limited to, the development of the City’s","development and use of the land in the City. These activities include, but are not limited to, the development of the City’s","development and use of the land in the City. These activities include, but are not limited to, the development of the City’s","development and use of the land in the City. These activities include, but are not limited to, the development of the City’s","development and use of the land in the City. These activities include, but are not limited to, the development of the City’s",
"Comprehensive Plan and the continual implementation of that plan, as well as reviewing and permitting land uses such as","Comprehensive Plan and the continual implementation of that plan, as well as reviewing and permitting land uses such as","Comprehensive Plan and the continual implementation of that plan, as well as reviewing and permitting land uses such as","Comprehensive Plan and the continual implementation of that plan, as well as reviewing and permitting land uses such as","Comprehensive Plan and the continual implementation of that plan, as well as reviewing and permitting land uses such as",
rezoning and use permits.,,,,,
Description of Services Provided,,,,,
The Department of Planning makes recommendations and implementing policies and programs that assist in the administration,The Department of Planning makes recommendations and implementing policies and programs that assist in the administration,The Department of Planning makes recommendations and implementing policies and programs that assist in the administration,The Department of Planning makes recommendations and implementing policies and programs that assist in the administration,The Department of Planning makes recommendations and implementing policies and programs that assist in the administration,
"of the City’s land use, development, and environmental ordinances.","of the City’s land use, development, and environmental ordinances.",,,,
The department provides seven (7) core services to Portsmouth residents. These include:,The department provides seven (7) core services to Portsmouth residents. These include:,The department provides seven (7) core services to Portsmouth residents. These include:,,,
"Current Planning, Zoning Administration and Enforcement, Transportation Planning, Environmental Planning and Enforcement,","Current Planning, Zoning Administration and Enforcement, Transportation Planning, Environmental Planning and Enforcement,","Current Planning, Zoning Administration and Enforcement, Transportation Planning, Environmental Planning and Enforcement,","Current Planning, Zoning Administration and Enforcement, Transportation Planning, Environmental Planning and Enforcement,","Current Planning, Zoning Administration and Enforcement, Transportation Planning, Environmental Planning and Enforcement,",
"Historic Preservation, Community Planning and Development Programs. Long Range, or Comprehensive Planning, is also","Historic Preservation, Community Planning and Development Programs. Long Range, or Comprehensive Planning, is also","Historic Preservation, Community Planning and Development Programs. Long Range, or Comprehensive Planning, is also","Historic Preservation, Community Planning and Development Programs. Long Range, or Comprehensive Planning, is also","Historic Preservation, Community Planning and Development Programs. Long Range, or Comprehensive Planning, is also",
provided.,,,,,
,,FY 2012,FY 2013,FY 2013,FY 2014
Expenditure Categories,,Actual,Adopted,Amended,Adopted
Salaries,,"706,962","696,416","696,416","644,756"
Benefits,,"225,696","230,124","230,124","214,217"
Other Operating Expenses,,"453,676","650,500","778,400","650,500"
Internal Service Charges,,"105,511","114,327","114,327","109,142"
,Net Budget,"1,491,845","1,691,367","1,819,267","1,618,615"
,Total Budget,"1,491,845","1,691,367","1,819,267","1,618,615"
,,FY 2012,FY 2013,FY 2013,FY 2014
Funding Sources,,Actual,Adopted,Amended,Adopted
100 General Fund,,"1,491,845","1,691,367","1,819,267","1,618,615"
,Total Funding,"1,491,845","1,691,367","1,819,267","1,618,615"
Strategic Goals,,,,,
"On-going strategic initiatives, in conjunction with other City Departments include the following:","On-going strategic initiatives, in conjunction with other City Departments include the following:","On-going strategic initiatives, in conjunction with other City Departments include the following:",,,
* Maintain the stability of viable land use patterns.,,,,,
* Pursue revitalization/redevelopment initiatives to reverse obsolescence and reduce land use conflicts,* Pursue revitalization/redevelopment initiatives to reverse obsolescence and reduce land use conflicts,* Pursue revitalization/redevelopment initiatives to reverse obsolescence and reduce land use conflicts,,,
* Continue planning for on-going Special FOCUS area initiatives,* Continue planning for on-going Special FOCUS area initiatives,,,,
"* Promote mixed-use, pedestrian-friendly land use patterns","* Promote mixed-use, pedestrian-friendly land use patterns",,,,
"* ""Raise the bar"" on development quality",,,,,
* Seek opportunities to convert tax exempt lands to productive uses that strengthen the City's tax base,* Seek opportunities to convert tax exempt lands to productive uses that strengthen the City's tax base,* Seek opportunities to convert tax exempt lands to productive uses that strengthen the City's tax base,,,
"* Continuously assess historic district regulations (boundaries, standards, procedures, potential additional","* Continuously assess historic district regulations (boundaries, standards, procedures, potential additional","* Continuously assess historic district regulations (boundaries, standards, procedures, potential additional","* Continuously assess historic district regulations (boundaries, standards, procedures, potential additional",,
designations),,,,,
* Investigate opportunities to relocate community facilities to less valuable location to support high value private,* Investigate opportunities to relocate community facilities to less valuable location to support high value private,* Investigate opportunities to relocate community facilities to less valuable location to support high value private,* Investigate opportunities to relocate community facilities to less valuable location to support high value private,,
development,,,,,
Outcomes and Accomplishments,,,,,
* Implementation of activities outlined in the 2010 Floodplain Management Plan,* Implementation of activities outlined in the 2010 Floodplain Management Plan,,,,
* Assisted 18 households in the Cradock and Truxtun neighborhoods with rehab as part of the World Changers,* Assisted 18 households in the Cradock and Truxtun neighborhoods with rehab as part of the World Changers,* Assisted 18 households in the Cradock and Truxtun neighborhoods with rehab as part of the World Changers,* Assisted 18 households in the Cradock and Truxtun neighborhoods with rehab as part of the World Changers,,
"program expending about $64,700 of Community Development Block Grant (CDBG) funds.","program expending about $64,700 of Community Development Block Grant (CDBG) funds.","program expending about $64,700 of Community Development Block Grant (CDBG) funds.",,,
