511120,Bene-Dental Insurance,156,156,156,132
511125,Bene-VRS Life Insurance,492,491,491,"2,210"
511140,Bene-Retirement VRS,"23,274","23,274","23,274","15,355"
511145,Bene-Retirement PSRS,"10,551","10,211","10,211","11,356"
511166,Bene-Allowance for Vacancy,0,-698,-698,0
,Sav,,,,
531914,Supp-Office and Printing,"4,420","9,877","9,877","9,877"
536110,Dues-Memberships,430,465,465,465
542020,Tele-Telephone Cellular,0,650,650,650
554010,Advertising,"8,584","10,550","10,550","10,550"
555100,Training,"2,375","2,204","2,204","2,204"
555210,Travel,"2,917","6,060","6,060","6,060"
555228,Purchase Card,466,0,0,0
610101,Computer Service Charges,"19,047","22,728","22,728","20,052"
610102,Telecommunications Charges,"6,821","4,555","4,555","5,234"
620102,Motor Pool Charges,271,0,0,0
630101,Risk Management Charges,"2,926","2,940","2,940","2,969"
100-10-101-1010-000000-000 City Clerk,100-10-101-1010-000000-000 City Clerk,"308,291","313,121","313,121","320,013"
,0102 City Clerk,"308,291","313,121","313,121","320,013"
0103 City Manager,,,,,
100-10-102-1020-000000-000 City Manager,100-10-102-1020-000000-000 City Manager,,,,
501000,Sal-Full-time,"424,445","573,881","573,881","496,608"
GovMax V5,,,,18-1,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0103 City Manager,0103 City Manager,,,,
100-10-102-1020-000000-000 City Manager,100-10-102-1020-000000-000 City Manager,,,,
501100,Sal-Part-time,0,"5,200","5,200","60,004"
501200,Accrued Payroll,"3,644",0,0,0
510001,Allow-Automotive,"9,600","9,600","9,600","9,600"
510003,Allow-Deferred Compensation,"14,206","17,200","17,200",0
510006,Allow-Other,"3,600","3,600","3,600",0
510099,Sal-Allow for Salary Savings,0,"-24,745","-24,745","-24,831"
511100,Bene-FICA,"27,676","37,360","37,360","35,845"
511115,Bene-Health Insurance,"20,003","44,508","44,508","35,275"
511120,Bene-Dental Insurance,222,252,252,120
511125,Bene-VRS Life Insurance,"1,177","1,529","1,529","4,124"
511140,Bene-Retirement VRS,"55,726","72,351","72,351","28,665"
511145,Bene-Retirement PSRS,"62,967","62,170","62,170","71,749"
511166,Bene-Allowance for Vacancy,0,"-1,741","-1,741","-1,929"
,Sav,,,,
521905,Contractual-Other,"6,865","45,569","25,566","40,000"
522115,Maint-Office Equipment,0,100,100,100
531914,Supp-Office and Printing,22,"10,884","10,884","10,884"
531921,Supp-Sympathy Flowers,"3,659",0,0,0
531922,Supp-Productions,0,"10,000","10,000","2,500"
531999,Supp-Other,"6,401","3,550","3,550","13,000"
535100,Books and Publications,-350,"3,000","3,000","1,000"
536110,Dues-Memberships,"19,366","9,600","9,600","20,000"
542010,Tele-Telephone,0,300,300,300
542020,Tele-Telephone Cellular,6,"6,044","6,044",0
555100,Training,0,"2,040","2,040","2,040"
555210,Travel,"3,429","10,250","10,250","10,000"
555228,Purchase Card,149,0,0,0
555399,Mtgs-Other,"24,002","23,650","43,653","24,000"
610101,Computer Service Charges,"12,866","30,119","30,119","16,606"
610102,Telecommunications Charges,"8,919","5,603","5,603","7,773"
630101,Risk Management Charges,"4,388","4,410","4,410","5,196"
,100-10-102-1020-000000-000 City,"712,990","966,284","966,284","868,629"
,0103 City Manager,"712,990","966,284","966,284","868,629"
0104 Management and Legislative Affairs,0104 Management and Legislative Affairs,0104 Management and Legislative Affairs,,,
100-10-102-1021-000000-000 Management and Legislative Affairs,100-10-102-1021-000000-000 Management and Legislative Affairs,100-10-102-1021-000000-000 Management and Legislative Affairs,100-10-102-1021-000000-000 Management and Legislative Affairs,,
501000,Sal-Full-time,"98,429","140,074","140,074","141,007"
501200,Accrued Payroll,"1,060",0,0,0
510099,Sal-Allow for Salary Savings,0,"-6,794","-6,794","-7,051"
511100,Bene-FICA,"7,200","10,394","10,394","10,787"
511115,Bene-Health Insurance,"10,483","18,577","18,577","16,101"
511120,Bene-Dental Insurance,28,12,12,12
511125,Bene-VRS Life Insurance,265,380,380,"1,678"
511140,Bene-Retirement VRS,"11,481","18,004","18,004","11,661"
511166,Bene-Allowance for Vacancy,0,-538,-538,-624
,Sav,,,,
521905,Contractual-Other,"105,176","87,840","87,840","87,840"
531914,Supp-Office and Printing,441,"3,462","3,462","3,462"
535100,Books and Publications,0,530,530,530
536110,Dues-Memberships,515,954,954,954
542020,Tele-Telephone Cellular,588,"1,261","1,261","1,261"
555100,Training,"1,441","3,290","3,290","3,290"
555210,Travel,0,"1,020","1,020","1,020"
555228,Purchase Card,"3,710",0,0,0
556125,Civ Orgs-Va Institute Of Govt,0,"10,000","10,000","10,000"
GovMax V5,,,,18-2,
,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0104 Management and Legislative Affairs,0104 Management and Legislative Affairs,0104 Management and Legislative Affairs,,,
100-10-102-1021-000000-000 Management and Legislative Affairs,100-10-102-1021-000000-000 Management and Legislative Affairs,100-10-102-1021-000000-000 Management and Legislative Affairs,100-10-102-1021-000000-000 Management and Legislative Affairs,,
556140,Civ Orgs-Hampton Rds,"15,210","21,028","21,028","21,028"
,Partnersh,,,,
556141,Civ Orgs-Virginia Municipal Lg,"27,180","27,239","27,239","28,342"
556142,Civ Orgs-VA First Cities Coali,"24,828","24,829","24,829","24,829"
559040,General Assembly Expenses,"14,427","25,330","25,330","25,330"
610101,Computer Service Charges,"13,959","14,299","14,299","15,099"
610102,Telecommunications Charges,"1,887","1,651","1,651","1,995"
630101,Risk Management Charges,"1,463","1,470","1,470","1,485"
,100-10-102-1021-000000-000,"339,771","404,312","404,312","400,036"
,0104 Management and Legislative,"339,771","404,312","404,312","400,036"
0105 Registrar,,,,,
100-10-103-1030-000000-000 General Registrar,100-10-103-1030-000000-000 General Registrar,100-10-103-1030-000000-000 General Registrar,,,
501000,Sal-Full-time,"186,134","188,550","188,550","194,071"
501100,Sal-Part-time,"119,322","180,417","180,417","160,417"
501200,Accrued Payroll,"10,137",0,0,0
510000,Sal-Overtime,788,0,0,0
510012,Allow-Other Supplements,"17,982","17,982","17,982","17,982"
510099,Sal-Allow for Salary Savings,0,"-8,750","-8,750",0
511100,Bene-FICA,"21,399","13,645","13,645","16,222"
511115,Bene-Health Insurance,"17,412","26,197","26,197","19,816"
511120,Bene-Dental Insurance,180,216,216,80
511125,Bene-VRS Life Insurance,550,499,499,"2,028"
511140,Bene-Retirement VRS,"26,018","23,636","23,636","17,537"
511145,Bene-Retirement PSRS,"3,840","3,118","3,118",0
511166,Bene-Allowance for Vacancy,0,-706,-706,0
,Sav,,,,
521009,Contractual-Electoral Board,"1,638",0,0,0
521918,Contractual-Security,0,"1,247","1,247",0
522115,Maint-Office Equipment,"24,067","16,723","16,723","16,723"
523145,Rentals-Land and Buildings,"9,450","9,450","9,450","8,100"
523999,Rentals-Other,"3,553","2,486","2,486","2,486"
531914,Supp-Office and Printing,"45,870","68,000","68,000","60,000"
536110,Dues-Memberships,295,275,275,275
542020,Tele-Telephone Cellular,57,0,0,0
554010,Advertising,"1,136","2,000","2,000","1,000"
555100,Training,896,"1,010","1,010","1,010"
555210,Travel,"2,976","2,550","2,550","2,550"
610101,Computer Service Charges,"14,581","6,899","6,899","23,591"
610102,Telecommunications Charges,"2,824","2,477","2,477","2,992"
620101,Garage Equip Rental Charges,"3,996","5,775","5,775","5,775"
630101,Risk Management Charges,"3,860","3,879","3,879","3,918"
100-10-103-1030-000000-000 General,100-10-103-1030-000000-000 General,"518,961","567,575","567,575","556,573"
,0105 Registrar,"518,961","567,575","567,575","556,573"
0106 City Attorney,,,,,
100-10-104-1040-000000-000 City Attorney,100-10-104-1040-000000-000 City Attorney,,,,
501000,Sal-Full-time,"859,831","901,455","901,455","913,124"
501100,Sal-Part-time,"44,693",0,0,"71,971"
501200,Accrued Payroll,"-3,102",0,0,0
510001,Allow-Automotive,"3,000","9,600","9,600","3,000"
510006,Allow-Other,"7,320","15,344","15,344","16,320"
510099,Sal-Allow for Salary Savings,0,"-42,863","-42,863","-45,658"
511100,Bene-FICA,"63,324","60,083","60,083","64,259"
GovMax V5,,,,18-3,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0106 City Attorney,0106 City Attorney,,,,
100-10-104-1040-000000-000 City Attorney,100-10-104-1040-000000-000 City Attorney,,,,
511115,Bene-Health Insurance,"61,252","65,047","65,047","95,775"
511120,Bene-Dental Insurance,356,324,324,320
511125,Bene-VRS Life Insurance,"2,273","2,373","2,373","10,903"
511140,Bene-Retirement VRS,"107,548","112,260","112,260","75,763"
511145,Bene-Retirement PSRS,"26,242","24,817","24,817","30,247"
511166,Bene-Allowance for Vacancy,0,"-3,124","-3,124","-3,680"
,Sav,,,,
521014,Contractual-Legal,"742,614","95,788","95,788","95,788"
521902,Contractual-Equalization Board,"1,200","1,277","1,277","1,277"
521905,Contractual-Other,"22,079","74,672","74,672","74,672"
531914,Supp-Office and Printing,370,"1,515","1,515","1,515"
531999,Supp-Other,"6,942","4,485","4,485","4,485"
535100,Books and Publications,"7,391","6,061","6,061","6,061"
536110,Dues-Memberships,"2,915","4,040","4,040","4,040"
542020,Tele-Telephone Cellular,562,656,656,656
554010,Advertising,0,480,480,480
555100,Training,"4,928","9,091","9,091","9,091"
555210,Travel,"2,254","2,020","2,020","2,020"
555228,Purchase Card,31,0,0,0
555399,Mtgs-Other,720,"3,030","3,030","3,030"
610101,Computer Service Charges,"24,416","14,342","14,342","21,203"
610102,Telecommunications Charges,"5,790","4,982","4,982","6,062"
630101,Risk Management Charges,"8,045","8,084","8,084","8,165"
,100-10-104-1040-000000-000 City,"2,002,994","1,375,839","1,375,839","1,470,889"
,0106 City Attorney,"2,002,994","1,375,839","1,375,839","1,470,889"
0107 Human Resource Management,0107 Human Resource Management,,,,
100-10-105-1050-000000-000 Human Resource Management,100-10-105-1050-000000-000 Human Resource Management,100-10-105-1050-000000-000 Human Resource Management,100-10-105-1050-000000-000 Human Resource Management,,
501000,Sal-Full-time,"343,598","467,424","437,424","482,230"
501100,Sal-Part-time,"28,902","11,253","41,253","11,253"
501200,Accrued Payroll,"2,611",0,0,0
510099,Sal-Allow for Salary Savings,0,"-22,573","-22,573","-27,613"
511100,Bene-FICA,"26,426","32,587","32,587","36,090"
511110,Bene-Flexible Benefits,"22,964",0,0,0
511115,Bene-Health Insurance,"19,638","36,628","36,628","50,961"
511120,Bene-Dental Insurance,126,108,108,120
511125,Bene-VRS Life Insurance,869,"1,212","1,212","5,739"
511140,Bene-Retirement VRS,"39,635","55,721","55,721","39,882"
511145,Bene-Retirement PSRS,"8,525","8,161","8,161","8,959"
511160,Tuition Assistance,0,0,0,"50,000"
511166,Bene-Allowance for Vacancy,0,"-1,690","-1,690","-2,012"
,Sav,,,,
521008,Contractual-EAP,"14,678","20,000","20,000","20,000"
521304,Contractual-Drug Testing,"44,563","42,033","42,033","42,033"
521602,Contractual-Fit for Duty,0,"10,000","10,000","10,000"
521905,Contractual-Other,"175,731","203,400","403,400","203,400"
522115,Maint-Office Equipment,0,300,300,300
531902,Supp-Awards,"17,104","24,000","24,000","24,000"
531914,Supp-Office and Printing,"5,561","7,527","7,527","7,527"
531999,Supp-Other,177,"7,500","7,500","7,500"
535100,Books and Publications,0,400,400,400
536110,Dues-Memberships,"1,420","1,000","1,000","1,000"
542020,Tele-Telephone Cellular,0,"1,101","1,101","1,101"
554010,Advertising,"13,688","48,000","48,000","48,000"
555100,Training,"1,008","6,500","6,500","6,500"
GovMax V5,,,,18-4,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0107 Human Resource Management,0107 Human Resource Management,,,,
100-10-105-1050-000000-000 Human Resource Management,100-10-105-1050-000000-000 Human Resource Management,100-10-105-1050-000000-000 Human Resource Management,,,
555110,Training-Personnel Sponsored,"1,100","11,000","11,000","11,000"
555210,Travel,494,"2,000","2,000","2,000"
555228,Purchase Card,7,0,0,0
610101,Computer Service Charges,"72,932","75,747","75,747","76,535"
610102,Telecommunications Charges,"5,415","4,271","4,271","5,376"
630101,Risk Management Charges,"7,041","7,075","7,075","7,890"
100-10-105-1050-000000-000 Human,100-10-105-1050-000000-000 Human,"854,213","1,060,685","1,260,685","1,130,171"
0107 Human Resource Management,0107 Human Resource Management,"854,213","1,060,685","1,260,685","1,130,171"
0108 Civil Service Commission,0108 Civil Service Commission,,,,
100-10-105-1051-000000-000 Civil Service Commission,100-10-105-1051-000000-000 Civil Service Commission,100-10-105-1051-000000-000 Civil Service Commission,,,
521905,Contractual-Other,"20,536","65,600","65,600","75,600"
521914,Contractual-Temp Work,0,"3,000","3,000","3,000"
531914,Supp-Office and Printing,767,"1,280","1,280","1,780"
554010,Advertising,"11,742","11,600","11,600","11,600"
555210,Travel,0,"5,200","5,200","5,200"
,100-10-105-1051-000000-000 Civil,"33,046","86,680","86,680","97,180"
,0108 Civil Service Commission,"33,046","86,680","86,680","97,180"
0109 Commissioner of the Revenue,0109 Commissioner of the Revenue,,,,
100-10-106-1060-000000-000 Commissioner of the Revenue,100-10-106-1060-000000-000 Commissioner of the Revenue,100-10-106-1060-000000-000 Commissioner of the Revenue,,,
501000,Sal-Full-time,"670,116","711,210","711,210","774,657"
501100,Sal-Part-time,"157,158","72,800","72,800","72,800"
501200,Accrued Payroll,"5,534",0,0,0
510012,Allow-Other Supplements,"31,070","34,392","34,392","34,391"
510099,Sal-Allow for Salary Savings,0,"-32,030","-32,030",0
511100,Bene-FICA,"60,692","48,813","48,813","55,987"
511115,Bene-Health Insurance,"87,110","124,069","124,069","136,131"
511120,Bene-Dental Insurance,494,504,504,464
511125,Bene-VRS Life Insurance,"1,915","1,899","1,899","8,710"
511140,Bene-Retirement VRS,"87,016","86,463","86,463","60,525"
511166,Bene-Allowance for Vacancy,0,"-2,543","-2,543",0
,Sav,,,,
521905,Contractual-Other,"27,087","30,000","30,000","50,000"
522115,Maint-Office Equipment,93,200,200,"1,500"
523999,Rentals-Other,0,"3,783","3,783","3,783"
531001,Supp-Postage,"11,683","10,000","10,000","20,000"
531914,Supp-Office and Printing,"18,169","30,000","30,000","30,000"
531999,Supp-Other,"5,807","6,000","6,000","26,000"
533010,Noncap-Equipment,54,"10,000","10,000","20,000"
535100,Books and Publications,"1,044","2,000","2,000","5,000"
536110,Dues-Memberships,"2,910","2,500","2,500","3,000"
542010,Tele-Telephone,"4,538","6,000","6,000","6,000"
542020,Tele-Telephone Cellular,"1,837","2,000","2,000","2,000"
555100,Training,"7,764","7,500","7,500","15,000"
555210,Travel,"12,087","10,000","10,000","18,000"
559055,DMV Select-Expenses,"5,082",0,0,0
599055,DMV Select,0,"50,000","50,000","55,300"
610101,Computer Service Charges,"162,126","168,478","168,478","192,407"
610102,Telecommunications Charges,"15,681","12,698","12,698","15,816"
620101,Garage Equip Rental Charges,"12,000","14,439","14,439","14,439"
620102,Motor Pool Charges,"1,337",0,0,0
630101,Risk Management Charges,"19,201","19,294","19,294","23,205"
GovMax V5,,,,18-5,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0109 Commissioner of the Revenue,0109 Commissioner of the Revenue,,,,
,100-10-106-1060-000000-000,"1,409,605","1,430,469","1,430,469","1,645,115"
,0109 Commissioner of the Revenue,"1,409,605","1,430,469","1,430,469","1,645,115"
0110 City Assessor,0110 City Assessor,,,,
100-10-107-1070-000000-000 City Assessor,100-10-107-1070-000000-000 City Assessor,,,,
501000,Sal-Full-time,"342,119","409,511","409,511","418,428"
501100,Sal-Part-time,"21,174",0,0,0
501200,Accrued Payroll,"2,720",0,0,0
510099,Sal-Allow for Salary Savings,0,"-19,505","-19,505",0
511100,Bene-FICA,"26,360","29,842","29,842","32,008"
511115,Bene-Health Insurance,"42,908","57,048","57,048","55,091"
511120,Bene-Dental Insurance,240,252,252,196
511125,Bene-VRS Life Insurance,938,"1,094","1,094","4,979"
511140,Bene-Retirement VRS,"44,363","51,688","51,688","34,604"
511145,Bene-Retirement PSRS,"36,968","37,272","37,272","42,659"
511166,Bene-Allowance for Vacancy,0,"-1,547","-1,547",0
,Sav,,,,
521905,Contractual-Other,"3,636",0,0,0
531914,Supp-Office and Printing,"9,950","3,500","3,500","3,500"
531999,Supp-Other,"2,530","5,100","5,100","5,100"
533010,Noncap-Equipment,0,"10,000","10,000","10,000"
535100,Books and Publications,"1,876","2,500","2,500","2,500"
536110,Dues-Memberships,"3,649","3,000","3,000","9,500"
554010,Advertising,571,261,261,800
555100,Training,"5,743","10,000","10,000","10,000"
555210,Travel,"4,813","3,500","3,500","3,500"
610101,Computer Service Charges,"146,405","151,634","151,634","159,024"
610102,Telecommunications Charges,"5,989","5,986","5,986","6,897"
620101,Garage Equip Rental Charges,"18,000","28,879","28,879","28,879"
630101,Risk Management Charges,"13,272","13,336","13,336","13,477"
,100-10-107-1070-000000-000 City,"734,222","803,351","803,351","841,142"
,0110 City Assessor,"734,222","803,351","803,351","841,142"
0111 City Treasurer,0111 City Treasurer,,,,
100-10-108-1080-000000-000 City Treasurer,100-10-108-1080-000000-000 City Treasurer,,,,
501000,Sal-Full-time,"792,439","854,729","854,729","863,242"
501100,Sal-Part-time,"22,104","20,924","20,924","26,072"
501200,Accrued Payroll,"4,819",0,0,0
510012,Allow-Other Supplements,"97,060","94,786","94,786","91,692"
510099,Sal-Allow for Salary Savings,0,"-36,343","-36,343",0
511100,Bene-FICA,"65,734","59,696","59,696","70,529"
511115,Bene-Health Insurance,"108,644","134,629","134,629","143,985"
511120,Bene-Dental Insurance,867,864,864,744
511125,Bene-VRS Life Insurance,"2,436","2,186","2,186","11,055"
511140,Bene-Retirement VRS,"113,289","100,862","100,862","76,808"
511166,Bene-Allowance for Vacancy,0,"-3,097","-3,097",0
,Sav,,,,
521006,Contractual-Collection Svcs,"33,219","15,000","15,000","20,000"
521905,Contractual-Other,0,1,1,1
522115,Maint-Office Equipment,"1,062",900,900,"3,060"
531001,Supp-Postage,"102,805","120,000","120,000","120,000"
531101,Supp-Dog Licenses,623,569,569,700
531905,Supp-Cigarette Stamps,"20,606","21,000","21,000","21,000"
531914,Supp-Office and Printing,"39,650","37,000","37,000","37,000"
531999,Supp-Other,"6,387","10,000","10,000","10,000"
GovMax V5,,,,18-6,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0111 City Treasurer,0111 City Treasurer,,,,
100-10-108-1080-000000-000 City Treasurer,100-10-108-1080-000000-000 City Treasurer,,,,
533010,Noncap-Equipment,"1,379","5,000","5,000","10,000"
535100,Books and Publications,167,300,300,300
536110,Dues-Memberships,"1,475","1,000","1,000","1,000"
542010,Tele-Telephone,"6,285","8,000","8,000","8,000"
542020,Tele-Telephone Cellular,390,"1,000","1,000","1,000"
554010,Advertising,"1,736","2,800","2,800","3,500"
555100,Training,"4,660","3,500","3,500","4,500"
555205,Travel-Mileage,"1,810","1,000","1,000","1,500"
555210,Travel,"2,103","1,500","1,500","1,500"
610101,Computer Service Charges,"287,276","286,861","286,861","330,276"
610102,Telecommunications Charges,"19,104","14,975","14,975","18,892"
630101,Risk Management Charges,"18,285","18,373","18,373","17,816"
,100-10-108-1080-000000-000 City,"1,756,414","1,778,015","1,778,015","1,894,172"
,0111 City Treasurer,"1,756,414","1,778,015","1,778,015","1,894,172"
0112 Finance and Budget,0112 Finance and Budget,,,,
100-10-109-1090-000000-000 Finance,100-10-109-1090-000000-000 Finance,,,,
501000,Sal-Full-time,"885,077","1,017,871","902,871","1,088,070"
501200,Accrued Payroll,"2,991",0,0,0
510099,Sal-Allow for Salary Savings,0,"-55,175","-55,175","-49,660"
511100,Bene-FICA,"64,430","80,073","80,073","82,460"
511115,Bene-Health Insurance,"80,904","125,033","125,033","113,362"
511120,Bene-Dental Insurance,578,540,540,440
511125,Bene-VRS Life Insurance,"2,108","2,656","2,656","12,949"
511140,Bene-Retirement VRS,"98,252","124,208","124,208","89,982"
511145,Bene-Retirement PSRS,"43,223","22,434","22,434","19,370"
511166,Bene-Allowance for Vacancy,0,"-4,340","-4,340","-4,275"
,Sav,,,,
521002,Contractual-Auditing,"130,100","132,263","132,263","137,570"
521010,Contractual-Financial Adviser,"3,504","15,000","15,000","15,000"
521905,Contractual-Other,"98,051","43,522","153,522","50,000"
521914,Contractual-Temp Work,"17,460",0,0,0
531914,Supp-Office and Printing,"13,573","10,000","15,000","15,000"
531999,Supp-Other,0,"1,000","1,000","1,000"
535100,Books and Publications,293,"1,800","1,800","1,800"
536110,Dues-Memberships,"2,507","3,000","3,000","3,000"
542020,Tele-Telephone Cellular,0,800,800,800
555100,Training,"4,498","4,700","4,700","5,700"
555205,Travel-Mileage,21,100,100,100
555210,Travel,"2,228","4,500","4,500","5,000"
610101,Computer Service Charges,"261,943","240,363","240,363","270,240"
610102,Telecommunications Charges,"14,486","13,101","13,101","15,646"
620102,Motor Pool Charges,285,0,0,0
630101,Risk Management Charges,"16,437","16,516","16,516","15,947"
100-10-109-1090-000000-000 Finance,100-10-109-1090-000000-000 Finance,"1,742,949","1,799,965","1,799,965","1,889,501"
,0112 Finance and Budget,"1,742,949","1,799,965","1,799,965","1,889,501"
0113 Finance and Budget - Procurement,0113 Finance and Budget - Procurement,0113 Finance and Budget - Procurement,,,
100-10-110-1100-000000-000 Procurement,100-10-110-1100-000000-000 Procurement,,,,
501000,Sal-Full-time,"220,864","224,340","224,340","236,263"
501200,Accrued Payroll,"1,616",0,0,0
510099,Sal-Allow for Salary Savings,0,"-10,612","-10,612","-9,825"
511100,Bene-FICA,"16,425","16,237","16,237","18,074"
GovMax V5,,,,18-7,
,,"Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit","Expenditure Line Item Budget Report grouped by Fund, Business Unit",
City of Portsmouth,City of Portsmouth,,,,Fiscal Year 2014
Account,,FY 2012,FY 2013,FY 2013,FY 2014
Code,Account Description,Actual,Adopted,Amended,Budget
,,,General Fund,General Fund,
0113 Finance and Budget - Procurement,0113 Finance and Budget - Procurement,,,,
100-10-110-1100-000000-000 Procurement,100-10-110-1100-000000-000 Procurement,,,,
511115,Bene-Health Insurance,"22,439","24,280","24,280","31,265"
511120,Bene-Dental Insurance,144,180,180,52
511125,Bene-VRS Life Insurance,594,594,594,"2,811"
511140,Bene-Retirement VRS,"28,122","28,122","28,122","19,539"
511145,Bene-Retirement PSRS,0,"10,482","10,482",0
511166,Bene-Allowance for Vacancy,0,-842,-842,-869
,Sav,,,,
521016,Contractual-Postal Permits,"1,705","1,617","1,617","1,617"
521905,Contractual-Other,0,0,0,"50,000"
522115,Maint-Office Equipment,"18,591","10,000","10,000","10,000"
523999,Rentals-Other,"56,754","43,000","43,000","43,000"
531001,Supp-Postage,"464,362","626,883","626,883","626,883"
531914,Supp-Office and Printing,"1,136","1,000","1,000","1,000"
531999,Supp-Other,"29,011","20,000","20,000","20,000"
610101,Computer Service Charges,"71,522","64,910","64,910","49,557"
610102,Telecommunications Charges,"4,618","3,472","3,472","4,456"
620101,Garage Equip Rental Charges,"4,500","5,775","5,775","5,775"
620102,Motor Pool Charges,168,0,0,0
630101,Risk Management Charges,"7,279","7,315","7,315","7,390"
,100-10-110-1100-000000-000,"949,850","1,076,753","1,076,753","1,116,988"
,0113 Finance and Budget -,"949,850","1,076,753","1,076,753","1,116,988"
0117 Marketing and Communications,0117 Marketing and Communications,,,,
100-10-102-1022-000000-000 Marketing and Communications,100-10-102-1022-000000-000 Marketing and Communications,100-10-102-1022-000000-000 Marketing and Communications,100-10-102-1022-000000-000 Marketing and Communications,,
501000,Sal-Full-time,"442,865","535,739","435,739","439,232"
501100,Sal-Part-time,"47,870","48,829","48,829","48,829"
501200,Accrued Payroll,"3,510",0,0,0
510099,Sal-Allow for Salary Savings,0,"-28,265","-28,265","-21,962"
