Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”,Name: “Table 1 of 1 on page 2 of 8”
"Atlantic Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Atlantic Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Atlantic Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Atlantic Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Atlantic Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Atlantic Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.","Atlantic Ocean and the cities of Virginia Beach, Portsmouth and Chesapeake.",It has seven miles of,It has seven miles of,It has seven miles of
"Chesapeake Bay beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","Chesapeake Bay beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","Chesapeake Bay beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","Chesapeake Bay beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","Chesapeake Bay beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","Chesapeake Bay beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","Chesapeake Bay beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","Chesapeake Bay beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.","Chesapeake Bay beachfront and a total of 144 miles of shoreline along the lakes, rivers and the Bay.",
C OMMUNITY PROFILE,C OMMUNITY PROFILE,C OMMUNITY PROFILE,C OMMUNITY PROFILE,C OMMUNITY PROFILE,,,,,
"The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in","The City of Norfolk was established as a town in 1682, as a borough in 1736 and incorporated as a city in"
1845.,"Norfolk is a City of some 243,000 residents and more than 100 diverse neighborhoods. It is the","Norfolk is a City of some 243,000 residents and more than 100 diverse neighborhoods. It is the","Norfolk is a City of some 243,000 residents and more than 100 diverse neighborhoods. It is the","Norfolk is a City of some 243,000 residents and more than 100 diverse neighborhoods. It is the","Norfolk is a City of some 243,000 residents and more than 100 diverse neighborhoods. It is the","Norfolk is a City of some 243,000 residents and more than 100 diverse neighborhoods. It is the","Norfolk is a City of some 243,000 residents and more than 100 diverse neighborhoods. It is the","Norfolk is a City of some 243,000 residents and more than 100 diverse neighborhoods. It is the","Norfolk is a City of some 243,000 residents and more than 100 diverse neighborhoods. It is the"
"cultural, educational, business and medical center of Hampton Roads, hosts the region's international","cultural, educational, business and medical center of Hampton Roads, hosts the region's international","cultural, educational, business and medical center of Hampton Roads, hosts the region's international","cultural, educational, business and medical center of Hampton Roads, hosts the region's international","cultural, educational, business and medical center of Hampton Roads, hosts the region's international","cultural, educational, business and medical center of Hampton Roads, hosts the region's international","cultural, educational, business and medical center of Hampton Roads, hosts the region's international","cultural, educational, business and medical center of Hampton Roads, hosts the region's international","cultural, educational, business and medical center of Hampton Roads, hosts the region's international","cultural, educational, business and medical center of Hampton Roads, hosts the region's international"
"airport, and is one of the busiest international ports on the East Coast of the United States.","airport, and is one of the busiest international ports on the East Coast of the United States.","airport, and is one of the busiest international ports on the East Coast of the United States.","airport, and is one of the busiest international ports on the East Coast of the United States.","airport, and is one of the busiest international ports on the East Coast of the United States.","airport, and is one of the busiest international ports on the East Coast of the United States.","airport, and is one of the busiest international ports on the East Coast of the United States.",,,
"The City is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S.","The City is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S.","The City is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S.","The City is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S.","The City is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S.","The City is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S.","The City is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S.","The City is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S.","The City is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S.","The City is home to the world’s largest naval complex, with headquarters for Commander in Chief of U.S."
"Atlantic Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and","Atlantic Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and","Atlantic Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and","Atlantic Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and","Atlantic Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and","Atlantic Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and","Atlantic Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and","Atlantic Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and","Atlantic Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and","Atlantic Command, NATO Supreme Allied Command Atlantic, Commander in Chief U.S. Atlantic Fleet and"
"other major naval commands. According to information released by the U.S. Navy in January 2011, the","other major naval commands. According to information released by the U.S. Navy in January 2011, the","other major naval commands. According to information released by the U.S. Navy in January 2011, the","other major naval commands. According to information released by the U.S. Navy in January 2011, the","other major naval commands. According to information released by the U.S. Navy in January 2011, the","other major naval commands. According to information released by the U.S. Navy in January 2011, the","other major naval commands. According to information released by the U.S. Navy in January 2011, the","other major naval commands. According to information released by the U.S. Navy in January 2011, the","other major naval commands. According to information released by the U.S. Navy in January 2011, the","other major naval commands. According to information released by the U.S. Navy in January 2011, the"
"Navy’s direct economic impact on the region rose by more than $165 million, from approximately $14.7","Navy’s direct economic impact on the region rose by more than $165 million, from approximately $14.7","Navy’s direct economic impact on the region rose by more than $165 million, from approximately $14.7","Navy’s direct economic impact on the region rose by more than $165 million, from approximately $14.7","Navy’s direct economic impact on the region rose by more than $165 million, from approximately $14.7","Navy’s direct economic impact on the region rose by more than $165 million, from approximately $14.7","Navy’s direct economic impact on the region rose by more than $165 million, from approximately $14.7","Navy’s direct economic impact on the region rose by more than $165 million, from approximately $14.7","Navy’s direct economic impact on the region rose by more than $165 million, from approximately $14.7","Navy’s direct economic impact on the region rose by more than $165 million, from approximately $14.7"
"billion in fiscal year 2009 to more than $14.9 billion in fiscal year 2009. Approximately 86,000 active-duty","billion in fiscal year 2009 to more than $14.9 billion in fiscal year 2009. Approximately 86,000 active-duty","billion in fiscal year 2009 to more than $14.9 billion in fiscal year 2009. Approximately 86,000 active-duty","billion in fiscal year 2009 to more than $14.9 billion in fiscal year 2009. Approximately 86,000 active-duty","billion in fiscal year 2009 to more than $14.9 billion in fiscal year 2009. Approximately 86,000 active-duty","billion in fiscal year 2009 to more than $14.9 billion in fiscal year 2009. Approximately 86,000 active-duty","billion in fiscal year 2009 to more than $14.9 billion in fiscal year 2009. Approximately 86,000 active-duty","billion in fiscal year 2009 to more than $14.9 billion in fiscal year 2009. Approximately 86,000 active-duty","billion in fiscal year 2009 to more than $14.9 billion in fiscal year 2009. Approximately 86,000 active-duty","billion in fiscal year 2009 to more than $14.9 billion in fiscal year 2009. Approximately 86,000 active-duty"
"Navy military personnel were in Hampton Roads in 2009, of which approximately 62 percent were assigned","Navy military personnel were in Hampton Roads in 2009, of which approximately 62 percent were assigned","Navy military personnel were in Hampton Roads in 2009, of which approximately 62 percent were assigned","Navy military personnel were in Hampton Roads in 2009, of which approximately 62 percent were assigned","Navy military personnel were in Hampton Roads in 2009, of which approximately 62 percent were assigned","Navy military personnel were in Hampton Roads in 2009, of which approximately 62 percent were assigned","Navy military personnel were in Hampton Roads in 2009, of which approximately 62 percent were assigned","Navy military personnel were in Hampton Roads in 2009, of which approximately 62 percent were assigned","Navy military personnel were in Hampton Roads in 2009, of which approximately 62 percent were assigned","Navy military personnel were in Hampton Roads in 2009, of which approximately 62 percent were assigned"
434,Miscellaneous Statistical Information,Miscellaneous Statistical Information,Miscellaneous Statistical Information,Miscellaneous Statistical Information,,,,,
