Name: “Table 1 of 1 on page 7 of 78”,Name: “Table 1 of 1 on page 7 of 78”,Name: “Table 1 of 1 on page 7 of 78”,Name: “Table 1 of 1 on page 7 of 78”,Name: “Table 1 of 1 on page 7 of 78”,Name: “Table 1 of 1 on page 7 of 78”,Name: “Table 1 of 1 on page 7 of 78”,Name: “Table 1 of 1 on page 7 of 78”,Name: “Table 1 of 1 on page 7 of 78”,Name: “Table 1 of 1 on page 7 of 78”,Name: “Table 1 of 1 on page 7 of 78”
"Chesapeake is narrowing. Recovery of jobs lost during the 2007-09 recession is expected to be slow, further impeded by","Chesapeake is narrowing. Recovery of jobs lost during the 2007-09 recession is expected to be slow, further impeded by","Chesapeake is narrowing. Recovery of jobs lost during the 2007-09 recession is expected to be slow, further impeded by","Chesapeake is narrowing. Recovery of jobs lost during the 2007-09 recession is expected to be slow, further impeded by","Chesapeake is narrowing. Recovery of jobs lost during the 2007-09 recession is expected to be slow, further impeded by","Chesapeake is narrowing. Recovery of jobs lost during the 2007-09 recession is expected to be slow, further impeded by","Chesapeake is narrowing. Recovery of jobs lost during the 2007-09 recession is expected to be slow, further impeded by","Chesapeake is narrowing. Recovery of jobs lost during the 2007-09 recession is expected to be slow, further impeded by","Chesapeake is narrowing. Recovery of jobs lost during the 2007-09 recession is expected to be slow, further impeded by","Chesapeake is narrowing. Recovery of jobs lost during the 2007-09 recession is expected to be slow, further impeded by","Chesapeake is narrowing. Recovery of jobs lost during the 2007-09 recession is expected to be slow, further impeded by"
closure of Joint Forces Command (JFCOM) facilities in Norfolk and Suffolk.,closure of Joint Forces Command (JFCOM) facilities in Norfolk and Suffolk.,closure of Joint Forces Command (JFCOM) facilities in Norfolk and Suffolk.,closure of Joint Forces Command (JFCOM) facilities in Norfolk and Suffolk.,closure of Joint Forces Command (JFCOM) facilities in Norfolk and Suffolk.,closure of Joint Forces Command (JFCOM) facilities in Norfolk and Suffolk.,,,,,
,,CHANGE IN WAGE & SALARY EMPLOYMENT IN CHESAPEAKE,CHANGE IN WAGE & SALARY EMPLOYMENT IN CHESAPEAKE,CHANGE IN WAGE & SALARY EMPLOYMENT IN CHESAPEAKE,CHANGE IN WAGE & SALARY EMPLOYMENT IN CHESAPEAKE,CHANGE IN WAGE & SALARY EMPLOYMENT IN CHESAPEAKE,CHANGE IN WAGE & SALARY EMPLOYMENT IN CHESAPEAKE,,,
,,"(Bureau of Economic Analysis, Regional Data Table CA34)","(Bureau of Economic Analysis, Regional Data Table CA34)","(Bureau of Economic Analysis, Regional Data Table CA34)","(Bureau of Economic Analysis, Regional Data Table CA34)","(Bureau of Economic Analysis, Regional Data Table CA34)","(Bureau of Economic Analysis, Regional Data Table CA34)",,,
8%,,,,,,,,,,
,,,5.7%,,,,,,,
6%,,,,,,,,,,
4%,,3.1%,,,,,,,,
,,,,,2.4%,,,,,
,,,,2.0%,,,,,,
2%,,,,,,0.8%,,,,
,,,,,,,,,0.1%,
0%,,,,,,,,,,
,-0.4%,,,,,,-0.4%,,,
-2%,,,,,,,,,,
-4%,,,,,,,,,,
,,,,,,,,-4.2%,,
-6%,,,,,,,,,,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,
,,,,NUMBER OF JOBS IN CHESAPEAKE,NUMBER OF JOBS IN CHESAPEAKE,NUMBER OF JOBS IN CHESAPEAKE,,,,
,Wage & Salary,Wage & Salary,,,Proprietors,,,Total,,
Calendar Year,BEA REIS CA34,BEA REIS CA34,Change,BEA REIS CA04,BEA REIS CA04,Change,Change,BEA REIS CA04,BEA REIS CA04,Change
2001,,"93,738",,,"14,011",,,"107,749",,
2002,,"93,408",-0.4%,,"13,502",-3.6%,-3.6%,"106,910",,-0.8%
2003,,"96,312",3.1%,,"14,758",9.3%,9.3%,"111,070",,3.9%
2004,,"101,775",5.7%,,"16,328",10.6%,10.6%,"118,103",,6.3%
2005,,"103,770",2.0%,,"16,910",3.6%,3.6%,"120,680",,2.2%
2006,,"106,300",2.4%,,"17,287",2.2%,2.2%,"123,587",,2.4%
2007,,"107,155",0.8%,,"18,270",5.7%,5.7%,"125,425",,1.5%
2008,,"106,708",-0.4%,,"18,196",-0.4%,-0.4%,"124,904",,-0.4%
2009,,"102,231",-4.2%,,"18,234",0.2%,0.2%,"120,465",,-3.6%
2010,,"102,290",0.1%,,,-100.0%,-100.0%,,,-100.0%
FY2012-13 Operating Budget,FY2012-13 Operating Budget,FY2012-13 Operating Budget,,,40,,,"As Amended June 12, 2012","As Amended June 12, 2012","As Amended June 12, 2012"
