Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”,Name: “Table 1 of 1 on page 38 of 78”
,,STORMWATER UTILITY REVENUE FUND,STORMWATER UTILITY REVENUE FUND,STORMWATER UTILITY REVENUE FUND,STORMWATER UTILITY REVENUE FUND,STORMWATER UTILITY REVENUE FUND,,,Millions
60%,,,,,,,,,$16
,,,,50.6%,,,,,
50%,,,,,,,,,$14
,,,39.8%,,,,,,$12
40%,,,,,,,,,
,,,,,,,,,$10
30%,,,,,26.9%,,,,
,,,,,,,,,$8
20%,,,,,,,,,
,,,,,,,,,$6
,,,,,,8.2%,,,
10%,3.5%,5.5%,,,,,3.5%,,$4
0.5%,,,,,,,,,0.3%
0%,,,,,,,,,$2
,,,,,,,,-0.3%,
-10%,,,,,,,,,$0
2004,2005,2006,2007,2008,2009,2010,2011,Budget,Forecast
,,,,,,,,2012,2013
,,,Change,,,Revenue,,,
,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,CHESAPEAKE STORMWATER ENTERPRISE FUND - 520 REVENUES,,
,,,Fiscal Year,Revenue,Revenue,Change,Change,,
,,,2004,"$4,579,702","$4,579,702",0.5%,0.5%,,
,,,2005,"$4,739,050","$4,739,050",3.5%,3.5%,,
,,,2006,"$4,998,371","$4,998,371",5.5%,5.5%,,
,,,2007,"$6,988,335","$6,988,335",39.8%,39.8%,,
,,,2008,"$10,524,147","$10,524,147",50.6%,50.6%,,
,,,2009,"$13,350,476","$13,350,476",26.9%,26.9%,,
,,,2010,"$14,446,522","$14,446,522",8.2%,8.2%,,
,,,2011,"$14,951,070","$14,951,070",3.5%,3.5%,,
,,Budget 2012,Budget 2012,"$14,908,550","$14,908,550",-0.3%,-0.3%,,
,,Forecast 2013,Forecast 2013,"$14,953,094","$14,953,094",0.3%,0.3%,,
FY 2012-13 Operating Budget,,,,71,,,,"As Amended June 12, 2012","As Amended June 12, 2012"
