Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”,Name: “Table 1 of 1 on page 32 of 78”
,CHESAPEAKE EMERGENCY COMMUNICATIONS FUND - 207 REVENUES,CHESAPEAKE EMERGENCY COMMUNICATIONS FUND - 207 REVENUES,CHESAPEAKE EMERGENCY COMMUNICATIONS FUND - 207 REVENUES,CHESAPEAKE EMERGENCY COMMUNICATIONS FUND - 207 REVENUES,CHESAPEAKE EMERGENCY COMMUNICATIONS FUND - 207 REVENUES,CHESAPEAKE EMERGENCY COMMUNICATIONS FUND - 207 REVENUES,CHESAPEAKE EMERGENCY COMMUNICATIONS FUND - 207 REVENUES,CHESAPEAKE EMERGENCY COMMUNICATIONS FUND - 207 REVENUES,,
,Fiscal Year,Revenue,Revenue,Transfers In,Transfers In,Total Resources,Total Resources,Change,,
,2004,"$3,598,644","$3,598,644","$1,287,739","$1,287,739","$4,886,383","$4,886,383",,,
,2005,"$3,354,786","$3,354,786","$1,640,011","$1,640,011","$4,994,797","$4,994,797",2.2%,,
,2006,"$3,642,331","$3,642,331","$2,372,179","$2,372,179","$6,014,510","$6,014,510",20.4%,,
,2007,"$3,839,948","$3,839,948","$3,905,984","$3,905,984","$7,745,932","$7,745,932",28.8%,,
,2008,"$1,373,370","$1,373,370","$6,063,293","$6,063,293","$7,436,663","$7,436,663",-4.0%,,
,2009,"$1,473,328","$1,473,328","$5,780,150","$5,780,150","$7,253,478","$7,253,478",-2.5%,,
,2010,"$1,434,820","$1,434,820","$5,741,247","$5,741,247","$7,176,067","$7,176,067",-1.1%,,
,2011,"$6,298,208","$6,298,208",,$0,"$6,298,208","$6,298,208",-12.2%,,
,Budget 2012,"$6,304,468","$6,304,468",,$0,"$6,304,468","$6,304,468",0.1%,,
Forecast 2013,Forecast 2013,"$5,947,998","$5,947,998",,$0,"$5,947,998","$5,947,998",-5.7%,,
FY 2012-13 Operating Budget,FY 2012-13 Operating Budget,,,65,,,,"As Amended June 12, 2012","As Amended June 12, 2012","As Amended June 12, 2012"
