,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2011 PROCUREMENT SYSTEM REVIEW,,,,,,,,,
CORRECTIVE ACTION TRACKING MATRIX,,,,,,,,,
ITEM No.,ELEMENT,SYSTEM DEFICIENCY,BEST PRACTICES/ADVISORY COMMENTS ,CORRECTIVE ACTION,BPPM REF,PPM REF,MILESTONE DATE,RESPONSIBLE PARTY,Status
11,Element 32 – Bid Opening ,"We reviewed nine procurement files involving invitation for bids and found two procurement files deficient. The deficiency in these procurement files centers on the lack of documentation to support the actual bid opening. There was documentation in the procurement file and or solicitation to support a public opening was contemplated. The seven non deficient files had advertised the pubic openings and the files contained bid abstracts recording the bid prices. The documentation should also contain evidence of timely opening, persons in attendance, and any anomalies. Further, in this era of heightened security it is more important than ever to not only identify the location and room but also any procedures necessary to gain access to that bid opening location.","Within 30 days after the date of this report, the recipient should develop procedures and implement management controls to insure that solicitations are clear regarding the public bid opening and the procurement files properly document the bid opening. This documentation should include sign-in sheets to reflect attendance by the public or any other officials or any documentation regarding any unusual actions or reactions that may have occurred on the part of potential offerors during the bid opening. The recipient should refer to Best Practices Procurement Manual, Section 4.4.2, for additional details on the process of receiving bids and the opening, reading, and recording of bids. A record of this procedure should be placed in the official procurement file. Overall, the recipient did a good job in this area.","The procurement procedures manual and standard practices will be amended to ensure bid opening documentation is maintained in the official contract file.  

Review of the contract files to ensure completeness will be an established standard practice and management control procedure.  Standard practices will include documentation of unusual actions during bid openings.  

The documentation will be maintained in the official contract file. Bid opening information is published in the legal notices, on HRT’s website,  and in the solicitation package.  

Bid results are read publically and recorded.  Sign in sheets and bid opening records will be maintained in the official contract file.  ",,,6/20/2011,D. Purcell,Open
12,Element 38 – Sole Source if Other Award is Infeasible ,We reviewed nine noncompetitive procurement files involving sole sources and found four procurement files deficient. We were unable in the first deficient file for “Spear” modules to find a sole source justification. In the last three deficient procurement files it was discerned by the recipient the situation was such under a prime contract that it became necessary to contract directly with several subcontractors under said prime contract. The procurement files failed to contain properly justified and approved sole source documents.,"Within 30 days after the date of this report, the recipient should develop procedures and implement management controls consistent with the FTA Circular that avoid using sole source procurement except in circumstances where it is both necessary and in the best interest of the recipient. When a noncompetitive procurement is necessary in circumstances other than those in the FTA Circular paragraphs (VI, 3, I(1)(b), shown above, the recipient should ensure that FTA approval is obtained. Before using the sole source method of procurement, first determine that the desired requirements cannot be obtained under small purchase procedures, sealed bids, or competitive proposals. If one of these three methods can be used (or is feasible), sole source is not an option. When the sole source procurement method is used, the files should provide justification for using this method of purchase and for using the particular vendor selected. The file should contain a proper and timely approved sole source justification, which reflects the requirements and periods of performance. Adding additional items or requirements or additional periods of time of performance require additional sole source justification.","Standard procedures and management controls will be implemented to ensure full and open competition in compliance with the FTA Circular 4220.1F, except in cases where it is determined both necessary and in the agency’s best interest.  

When non-competitive procurement is necessary and in HRT’s best interest,  a written sole source justification, supporting documentation, and required approvals will be maintained in the official contract file.",,,6/20/2011,D. Purcell,Open
13,Element 39 - Cost Analysis Required [Sole Source] ,We reviewed nine noncompetitive procurement files and found six procurement files did not contain documentation to support that an adequate cost analysis had been performed. There was no element by element analysis or discussion of the cost or profit and no evidence of any negotiations being conducted. Detailed,"Within 30 days after the date of this report, the recipient should develop procedures and implement management controls to ensure that an adequate cost analysis is performed for all sole source procurements. A contract file checklist and a review by the manager or supervisor are a good way of ensuring compliance with this element. The analysis should be documented in the contract or purchase order file. The cost analysis should include an evaluation of labor, materials, other direct costs, overhead rates, G&A rates, and a profit factor. When negotiations take place, the file should be documented to reflect the results of the negotiations and the rationale behind the agreements reached.","A cost analysis checklist will be developed and used to complete required analyses, as a standard procedure.  

The analyses and supporting documentation will be reviewed and approved by management upon completion, as part of the management control process.  

A record of negotiation will be included in the procurement summary and maintained in the official contract file.  As standard practice, in all non-competitive awards, a most favored customer clause will be included.  

The procurement procedures manual will be amended to include completion guidelines for implementation of this requirement.",,,6/20/2011,D. Purcell,Open
14,Element 41 - Cost or Price Analysis ,"We reviewed 20 procurement files involving request for proposals, invitations for bids and small purchases and found seven deficient procurement files. Basically the deficiency resulted from a general lack of detailed documentation to support the results of a cost or price analysis or whether a cost or price analysis had ever been performed. In those procurement files where adequate competition existed and award was made to the lowest offeror, the recipient was found not deficient; however, the procurement files should be documented to reflect this decision. In files where adequate competition exists and the selection is made, there always exists the possibility that negotiations may be necessary.","Within 30 days after the date of this report, the recipient should develop procedures and implement management controls to ensure that cost or price analysis is conducted, consistent with Federal cost principles, for all applicable procurements and documented in the procurement files. ","standard procedures and management controls will be implemented to include the cost or price analysis checklist.  

The checklist, consistent with federal cost principles,  will be implemented to conduct and manage cost or price analyses.  Cost and price analyses will be reviewed by management to ensure compliance.  

Department training will include cost and price analysis.  

The analyses and supporting documentation will be maintained in the official contract file.  ",,,6/20/2011,D. Purcell,Open
15,Element 42 - Written Record of Procurement History ,"We reviewed 29 procurement files involving request for proposals, invitation for bids, sole source procurements, and small purchases for evidence of a written record of procurement history and found nine files did not contain an adequate procurement history or file documentation. The recommendations for award resulting from the proposal evaluations should explain the basis for the contract price, and any tradeoffs between the technical and cost/price proposals, and why the recipient considers the final price to be fair and reasonable. In some procurement files, the reviewers were able to","Within 30 days after the date of this report, the recipient should develop procedures that facilitate management controls to ensure that procurement files are properly documented with evidence supporting the determinations made during each stage of the procurement process. A complete contract file checklist is a good management review tool to achieve this purpose. The documentation should include:  (a) Rationale for the method of procurement; 
(b) Independent Cost Estimates; 
(c) Copies of published notices of proposed contract action; 
(d) The evaluations of bids and selections of firms for negotiations and award; 
(e) The costs negotiated by the parties and the determination that the price is fair and reasonable; 
(f) A cost or price analysis, as appropriate; 
(g) A summary record of negotiations, if appropriate; and 
(h) All correspondence and data in support of relevant contractual actions. 
Procurement files should be a complete record of procurement actions and should fully support contractors' bid and price. If written quotes/bids are required, then these should become part of the file. If the procurement action is the result of a contract amendment or exercise of an option, sufficient data should be included to fully support the basis for the price and procurement action. ","Standard procedures and management controls will be implemented.  The procurement procedures manual will be amended to expand the explanation and requirement for a record of procurement history.  

A procurement summary checklist will be used to ensure complete and consistent development of  the record of the procurement.  The checklist will include rationale for the method of procurement; independent cost estimates; copies of published legal notices of the proposed procurement action; bid and proposal evaluation details; price reasonableness determinations; cost or price analyses; record of negotiations; and all supporting correspondence and data.   

The procurement summary will be maintained in the official contract file.",,,6/20/2011,D. Purcell,Open
16,Element 44 – Out of Scope Changes ,"We reviewed three contracts resulting from competitive procurements where the contracts were amended and found two procurement files deficient. The two deficient files were by the same contractor under two separate contracts (#30 & #40) for modifications which appeared to have been outside the general scope of the original contract. The contracts awarded after a sealed bid competition was amended to add requirements which were over and above the requirements outlined in the original request and the resultant contract. The added requirements called for work at two sites for communications ductwork. These amendments are considered new work and as such require compliance with FTA requirements for an approved sole source justification, a cost analysis, and cost and profit negotiations none of which were found in the procurement file.","Within 30 days after the date of this report, the recipient should develop and implement management controls to ensure that all contract amendments and change orders are within the scope of the contract. If the change is not within the scope of the original contract, it is considered a cardinal change. Such changes are not properly processed as being within the authority of the Changes clause. Such changes are a sole source and must be processed and handled as new work and treated as sole source procurements whereby appropriate approvals are obtained and that the procurement files are adequately documented. In the event a sole source cannot be justified, a competitive procurement action must be initiated.","A process and review procedure will be implemented to establish standard procedures and management controls to ensure proposed contract modifications and change orders are within the scope of the contract.    

If the proposed change is outside the original scope, it will be treated as a sole source, with the required sole source justification, cost analysis, documentation of negotiations, and required approvals maintained in the official contract file.",,,6/20/2011,D. Purcell,Open
17,Element 45 - Advance Payments ,"We reviewed 28 procurement files involving request for proposals, invitation for bids, and sole source procurements and found 26 to have complied regarding no payments to contractors prior to the incurrence of costs. However, we found two procurement files where advance payments had occurred. The first deficient file was the contract for the Light Rail Vehicles (LRVs). This particular deficiency was in the payment provisions for the basic contract, as well as for spare parts, tools, and test equipment described in the contract generally as follows:  Milestone Description Milestone % :  A. Written Notice to Proceed 10%; B. Upon Approval of Project Target Schedules 10% ; C. Upon Approval of Quality Assurance Plan 10% ; D. Contractor’s award of sub-contracts for main systems 20% The payments for milestones A through D represent 50% of the contract price of approximately $36, 016,518 or about 
","Within 30 days after the date of this report, the grantee should develop procedures and implement management controls to ensure that FTA approvals are obtained prior to entering into any contract, options under a contract, or into any task orders under a contract that contains advance payments where FTA funds are involved. The grantee must renegotiate the current progress payment provisions, eliminating the advance payments, before exercising any future options, or request and receive approval from the FTA to make advance payments.","Standard procedures and management controls  will be implemented to ensure that FTA approval is obtained prior to entering into any contract  where FTA funds are involved that contains an advance payment clause.   

Before exercising any future options for rail cars, spare parts, tools, and test equipment, HRT will eliminate the advance payments clause through  negotiations, or request and receive FTA approval to make advance payments.   

The second contract which was found deficient  provided for 50% upon award as a standard commercial practice for the product purchased.  In the future, where standard commercial practice exists to support the action, the file will be so documented, in accordance with FTA guidelines, and required approvals obtained.",,,6/20/2011,D. Purcell,Open
,,"$18,000,000.  The issuance of the Notice of Award and the Submission of the various schedules and plans and the awarding of sub-contracts would automatically require the payment of 50% of the total contract price before the incurrence of a great deal of such costs, and would therefore be an advance payment. Substantial portions of these plans usually already exist or are accomplished during the proposal preparation phase. The same can be said for the lining up of subcontractors and parts suppliers.   The second deficient file was the contract for temporary shelters for Light Rail Vehicles. This contract provided for the payment of 50% of the contract price, or $23,348, upon award of the contract. ",,,,,,,
18,Element 47 - Time and Materials Contracts ,"We reviewed seven procurement files involving request for proposals, invitations for bids, and small purchases and found six deficient procurement files. We found a failure to document the use of a time and materials type contracting and a failure to adequately control their cost liability with contract ceilings. These findings fall into two groupings; the first are entire contracts and the second is with contract changes within firm fixed price contracts. In the latter case, the finding is for a portion of these contracts and not the entire contract. Basically the deficiency resulted from a general lack of written documentation to justify the use of a time and materials type of contracting within these contracts and failure to the use of ceiling prices to limit the cost liability within these contracts. Time and materials pricing without a ceiling price is essentially a cost-plus-percentage-of-cost arrangement.","Within 30 days after the date of this report, the recipient should develop procures and implement management controls to ensure that use of time and material type contracting is conducted consistent with Federal cost principles, contracts and change orders have cost ceilings, costs are negotiated and all is documented in the procurement file.","Standard procedures and management controls will be implemented.  The procurement procedures  manual will be expanded to implement detailed procedures for documenting the use of a time and material type contract.  

Time and material contract files will include detailed written justification for the use of the methodology.  

Written procedures will be developed and implemented to control cost liability with contract ceilings (not to exceed pricing) and documented price negotiations, to preclude cost plus percentage of cost arrangements.",,,6/20/2011,D. Purcell,Open
19,Element 50 - Piggybacking ,"We reviewed two procurement files involving piggybacking; one for light rail cars from a City of Charlotte, North Carolina contract and the other for Gillig buses from a San Mateo County, California contract. The recipient’s deficient procurement file was the bus procurement which failed to contain a price reasonableness determination.","Within 30 days of the date of this report, the recipient should develop procedures and implement management controls to ensure that a determination is made that contract prices remain fair and reasonable at the time the requirement is acquired. FTA has historically encouraged recipients to consider combining efforts in their procurements to obtain better pricing through larger purchases. Recipients must ensure all federal requirements, required clauses, and certifications are properly followed and included in the resulting joint solicitation and contract documents.","Standard procedures and management controls will be implemented.  The procurement procedures manual will be expanded to implement additional detailed procedures and management controls for piggybacking., including  pre-award steps to determine that contract prices remain fair and reasonable.  A copy of the original contract will be reviewed to ensure that all federal requirements, required clauses and certifications are properly followed and included in the contract document.  Documentation of the review will be maintained in the official contract file.",,,,,
20,Pre-Award,"We reviewed ten bus procurement files and one light rail car procurement file relative to the required reviews and certifications. Nine of the ten bus procurements were piggyback procurements and one was a joint procurement. None of the Buy America Certifications, the Purchaser’s Requirements Certifications, and the required FMVSS Certifications were found in any of nine procurement files. It should be noted in the one light rail car file the Certifications were dated after the award date.",Refer to the Best Practices/Advisory Comments following the Post-Delivery Review Element.,"Refer to 21, Post-Delivery.",,,6/20/2011,D. Purcell,Open
