Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”,Name: “Table 1 of 1 on page 72 of 151”
,,Each year the Board of Supervisors appropriates funding in the Revenue Sharing Program administered by the CTB and VDOT.,Each year the Board of Supervisors appropriates funding in the Revenue Sharing Program administered by the CTB and VDOT.,Each year the Board of Supervisors appropriates funding in the Revenue Sharing Program administered by the CTB and VDOT.,Each year the Board of Supervisors appropriates funding in the Revenue Sharing Program administered by the CTB and VDOT.,Each year the Board of Supervisors appropriates funding in the Revenue Sharing Program administered by the CTB and VDOT.,Each year the Board of Supervisors appropriates funding in the Revenue Sharing Program administered by the CTB and VDOT.,Each year the Board of Supervisors appropriates funding in the Revenue Sharing Program administered by the CTB and VDOT.,Each year the Board of Supervisors appropriates funding in the Revenue Sharing Program administered by the CTB and VDOT.,Each year the Board of Supervisors appropriates funding in the Revenue Sharing Program administered by the CTB and VDOT.,Each year the Board of Supervisors appropriates funding in the Revenue Sharing Program administered by the CTB and VDOT.,Each year the Board of Supervisors appropriates funding in the Revenue Sharing Program administered by the CTB and VDOT.,Each year the Board of Supervisors appropriates funding in the Revenue Sharing Program administered by the CTB and VDOT.,Each year the Board of Supervisors appropriates funding in the Revenue Sharing Program administered by the CTB and VDOT.,This,
,,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,program is a matching program wherein the CTB appropriatesan amount equal to the County appropriationor such an amount as may be,
,,"available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be","available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be","available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be","available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be","available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be","available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be","available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be","available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be","available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be","available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be","available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be","available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be","available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be","available less than the County's contribution. These monies are then applied to secondary, and possibly, primary road projects as may be",
,,designated by the Board of Supervisors in consultation with the Resident Engineer.,designated by the Board of Supervisors in consultation with the Resident Engineer.,designated by the Board of Supervisors in consultation with the Resident Engineer.,designated by the Board of Supervisors in consultation with the Resident Engineer.,designated by the Board of Supervisors in consultation with the Resident Engineer.,designated by the Board of Supervisors in consultation with the Resident Engineer.,designated by the Board of Supervisors in consultation with the Resident Engineer.,designated by the Board of Supervisors in consultation with the Resident Engineer.,designated by the Board of Supervisors in consultation with the Resident Engineer.,,,,,,
Object,Object,Description,,FY 2004,,FY 2005,FY 2006,,FY 2006,FY 2007,FY 2007,FY 2008,,FY 2008,%,%
Org,#:,11412000,,Actual,,Actual,Budget,,Actual,Budget,Expected,Requested,,Adopted,Change,Total
531700,531700,50/50 Program - VDOT,$,"434,597",$,"916,391","$ 1,000,000",$,"764,849","$ 1,000,000","$ 1,100,000","$ 1,100,000",$,"1,000,000",0%,100%
558060,558060,Operating Expense,,"12,505",,"4,410","10,000",,-,-,-,-,,-,N/A,-
,,TOTAL,$,"447,102",$,"920,801","$ 1,010,000",$,"764,849","$ 1,000,000","$ 1,100,000","$ 1,100,000",$,"1,000,000",0%,100%
NOTE:,NOTE:,Revenue Sharing (matching Program) with VDOT for road improvements.,Revenue Sharing (matching Program) with VDOT for road improvements.,Revenue Sharing (matching Program) with VDOT for road improvements.,Revenue Sharing (matching Program) with VDOT for road improvements.,Revenue Sharing (matching Program) with VDOT for road improvements.,Revenue Sharing (matching Program) with VDOT for road improvements.,,,,,,,,,
,,,,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,,
