Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”,Name: “Table 1 of 1 on page 46 of 124”
,,,,,Grand Total,Grand Total,,"$600,000","$600,000",,,,,
,,Revenues,Revenues,,,,Amount,Amount,,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,,,,,$0,$0,$0,$0,$0,$0
Economic Development Fund,Economic Development Fund,Economic Development Fund,,,,,,,0,0,0,0,0,0
General Fund Operating Revenues,General Fund Operating Revenues,General Fund Operating Revenues,General Fund Operating Revenues,,,,,"600,000","600,000",0,"200,000","200,000",0,"200,000"
General Fund Balance Transfer,General Fund Balance Transfer,General Fund Balance Transfer,General Fund Balance Transfer,,,,,,0,0,0,0,0,0
General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,,,,,,0,0,0,0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,,,,,0,0,0,0,0,0
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,,,,0,0,0,0,0,0
Stormwater Funds,,,,,,,,,0,0,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,,,,,0,0,0,0,0,0
Urban Maintenance Contributions,Urban Maintenance Contributions,Urban Maintenance Contributions,Urban Maintenance Contributions,,,,,,0,0,0,0,0,0
,,,,,Grand Total,Grand Total,,"$600,000","$600,000",$0,"$200,000","$200,000",$0,"$200,000"
Project Status:,,,,,,,,,,,,Impact on Operating Budget:,Impact on Operating Budget:,
This is an on-going project to support the City's beautification efforts.,This is an on-going project to support the City's beautification efforts.,This is an on-going project to support the City's beautification efforts.,This is an on-going project to support the City's beautification efforts.,This is an on-going project to support the City's beautification efforts.,This is an on-going project to support the City's beautification efforts.,This is an on-going project to support the City's beautification efforts.,This is an on-going project to support the City's beautification efforts.,,,,,This on-going project requires funding for continual grounds-,This on-going project requires funding for continual grounds-,This on-going project requires funding for continual grounds-
,,,,,,,,,,,,keeping and maintenance.,,
