Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”,Name: “Table 1 of 1 on page 63 of 124”
Preliminary Designs/Plans,Preliminary Designs/Plans,Preliminary Designs/Plans,Preliminary Designs/Plans,,,,,,$0,,,,$0,,,$0,$0,$0,$0
Engineering/Architectural Services,Engineering/Architectural Services,Engineering/Architectural Services,Engineering/Architectural Services,Engineering/Architectural Services,,,,,0,,,,0,,,0,0,0,0
Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,Land/Right-of-Way/Acquisition,,,,"3,750,000","3,750,000",,,,0,,"1,500,000","1,500,000","750,000","750,000","750,000"
Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,Demolition/Grade/Site Preparation,,,,,0,,,,0,,,0,0,0,0
Building/Utility/Construction,Building/Utility/Construction,Building/Utility/Construction,Building/Utility/Construction,,,,,,0,,,,0,,,0,0,0,0
Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,Equipment/Machinery/Furniture,,,,,0,,,,0,,,0,0,0,0
Other Costs,Other Costs,,,,,,,,0,,,,0,,,0,0,0,0
,,,,,Grand Total,Grand Total,Grand Total,"$3,750,000","$3,750,000",,,,,,,,,,
,,Revenues,Revenues,Revenues,,,,Amount,,,FY 2011,FY 2011,,,FY 2012,,FY 2013,FY 2014,FY 2015
Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,Congestion Mitigation Air Quality (CMAQ) Funds,,,,,$0,,,,$0,,,$0,$0,$0,$0
Economic Development Fund,Economic Development Fund,Economic Development Fund,Economic Development Fund,Economic Development Fund,,,,,0,,,,0,,,0,0,0,0
General Fund Operating Revenues,General Fund Operating Revenues,General Fund Operating Revenues,General Fund Operating Revenues,General Fund Operating Revenues,,,,"3,750,000","3,750,000",,,,0,,"1,500,000","1,500,000","750,000","750,000","750,000"
General Fund Balance Transfer,General Fund Balance Transfer,General Fund Balance Transfer,General Fund Balance Transfer,General Fund Balance Transfer,,,,,0,,,,0,,,0,0,0,0
General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,General Obligation Bond Proceeds~City,,,,,0,,,,0,,,0,0,0,0
General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,General Obligation Bond Proceeds~School,,,,,0,,,,0,,,0,0,0,0
Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,Highway Safety Improvement Program (HSIP) Funds,,,0,,,,0,,,0,0,0,0
Stormwater Funds,Stormwater Funds,,,,,,,,0,,,,0,,,0,0,0,0
Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,Urban Development Action Grant (UDAG) Funds,,,,0,,,,0,,,0,0,0,0
Urban Maintenance Contributions,Urban Maintenance Contributions,Urban Maintenance Contributions,Urban Maintenance Contributions,Urban Maintenance Contributions,,,,,0,,,,0,,,0,0,0,0
,,,,,Grand Total,Grand Total,Grand Total,"$3,750,000","$3,750,000",,,,$0,,"$1,500,000","$1,500,000","$750,000","$750,000","$750,000"
Project Status:,Project Status:,,,,,,,,,,,,,,,,Impact on Operating Budget:,Impact on Operating Budget:,
There is no status to report at this time.,There is no status to report at this time.,There is no status to report at this time.,There is no status to report at this time.,There is no status to report at this time.,,,,,,,,,,,,,There is no impact on the operating budget.,There is no impact on the operating budget.,
