Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”,Name: “Table 1 of 1 on page 96 of 217”
* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,* Maintain all City public right-of-ways to create a positive City image and promote safety and environmental,,
quality throughout the City.,quality throughout the City.,"Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and","Maintenance includes cleaning streets twice a year, mowing grass and",,
"medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.","medians during normal growing season, beautification and maintenance of landscaped areas.",,,,
* Schedule at least one in-house training session per month.,* Schedule at least one in-house training session per month.,* Schedule at least one in-house training session per month.,* Schedule at least one in-house training session per month.,* Schedule at least one in-house training session per month.,* Schedule at least one in-house training session per month.,* Schedule at least one in-house training session per month.,Sessions train employees for more versatility,Sessions train employees for more versatility,Sessions train employees for more versatility,Sessions train employees for more versatility,Sessions train employees for more versatility,Sessions train employees for more versatility,Sessions train employees for more versatility,,
"in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures","in infrastructure maintenance, ""on and off the job"" safety issues, and teach correct procedures",,,,
for performance of specific tasks.,for performance of specific tasks.,for performance of specific tasks.,,,,,,,,,,,,,
* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,* Continue to complete 100% of all work orders within the same week of receipt of request.,,,,
* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,* Oversee the maintenance of parks and athletic fields and upgrade athletic facilities to meet increased demand.,
* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,* Continue to upgrade roadside and outfall drainage systems throughout the City according to drainage study.,,
,,,,,,,60,60,,,,,,,
