Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”,Name: “Table 1 of 1 on page 15 of 74”
2402210,SOCIAL SECURITY INSTRUCTION,$,"289,693",$,"289,883",$,"316,578",$,"26,695",9.2%
2402230,TEACHER RETIREMENT INSTRUCTION,$,"166,287",$,"168,266",$,"266,083",$,"97,817",58.1%
2402280,EARLY READING INTERVENTION,$,"11,496",$,"11,496",$,"12,158",$,662,5.8%
2402330,LOTTERY,$,"370,196",$,"373,516",$,"368,520",$,"(4,996)",-1.3%
2402370,ADDITIONAL LOTTERY,$,"38,892",$,-,$,-,$,-,0.0%
2402410,GROUP LIFE INSTRUCTION,$,46,$,-,$,-,$,,0.0%
2402460,HOMEBOUND,$,"2,078",$,"2,070",$,"6,11 4",$,"4,044",195.4%
2402470,HEALTH INCENTIVE FUND,$,-,$,,$,-,$,,0.0%
2402480,SPECIAL ED REGIONAL PROGRAM,$,"40,517",$,"42,423",$,"47,125",$,"4,702",11.1%
2402510,CAREER & TECHNICAL EDUCATION,$,-,$,"21,584",$,"17,065",$,"(4,519)",-20.9%
2402520,VOCATIONAL ED EQU IPMENT,$,"2,298",$,,$,-,$,,0.0%
2402530,VOCATIONAL ED CATIOCUPATIONAL,$,"21,296",$,-,$,-,$,-,0.0%
2402580,COMPENSATION SUPPLEMENTS,$,-,$,"63,299__",$,,$,"(63,299)",-100.0%
2402650,AT RISK SOQ,$,"3,100",$,"3,156",$,"5,579",$,"2,423",76.8%
2402720,ALTERNATIVE ED PAYMENTS,$,"7,859",$,-,$,,$,,0.0%
2402740,SOL REMEDIATION,$,"8,090",$,"8,090",$,-,$,"(8,090)",-100.0%
2402750,PRIMARY CLASS SIZE,$,-,$,-,$,-,$,,0.0%
2402810,AT RISK 4 YEAR OLDS,$,,$,"7,242",$,"14,444",$,"7,202",99.4%
2402901,TEACHER MENTOR PROGRAM,$,,$,-,$,-,$,-,0.0%
2402990,ENGLISH AS 2ND LANGUAGE I OTHER,$,-,$,-,$,"9,498",$,"9,498",100.0%
2403060,SCHOOL CONSTRUCTION,$,"135,945",$,"135,596",$,"135,498",$,(98),-0.1%
2403080,STATE SALES TAX,$,"1,482,199",$,"1,563,808",$,"1,875,980",$,"312,172",20.0%
2404000,OTHER STATE FUNDS,$,-,$,-,$,,$,-,0.0%
2404050,SOL ALGEBRA READINESS,$,"10,125",$,"10,125",$,"3,571",$,"(6,554)",-64.7%
2404100,TECHNOLOGY RESOURCE ASSISTANTS,$,"17,436",$,-,$,-,$,,0.0%
2404620,SCHOOL REPORT CARD,$,-,$,,$,-,$,-,0.0%
4104050,VPSA FUNDING FOR TECHNOLOGY,$,"154,000",$,"154,000",$,"154,000",$,,0.0%
,TOTAL STATE FUNDS,$,"9,014,845",$,"9,234,875",$,"10,639,183",$,"1,404,308",15.2%
,remove School Construction,,,$,"135,596",$,"135,498",$,-,0.0%
,remove 50% of Lottery funds,,,$,"186,758",$,"184,260",$,-,0.0%
,,revised total,revised total,$,"8,912,521",$,"10,319,425",$,"1,406,904",15.8%
6/9/2004,7:27 AM,Budget Revenue 2004 2005 final 6-8-04 .xis,Budget Revenue 2004 2005 final 6-8-04 .xis,,,,,,,
