Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”,Name: “Table 1 of 1 on page 138 of 166”
borrowings.,borrowings.,,,,,,,,,,,,,,,
BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,BUDGET COMMENTS,,,,,,,,,,,,
Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new,Fund Balance – Money has previously been set aside to act as a shock absorber when new debt and new
debt service spending is incurred.,debt service spending is incurred.,debt service spending is incurred.,debt service spending is incurred.,debt service spending is incurred.,debt service spending is incurred.,What would normally be a sharp increase in funds from recurring,What would normally be a sharp increase in funds from recurring,What would normally be a sharp increase in funds from recurring,What would normally be a sharp increase in funds from recurring,What would normally be a sharp increase in funds from recurring,What would normally be a sharp increase in funds from recurring,What would normally be a sharp increase in funds from recurring,What would normally be a sharp increase in funds from recurring,What would normally be a sharp increase in funds from recurring,What would normally be a sharp increase in funds from recurring,What would normally be a sharp increase in funds from recurring
"revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the","revenues, with a possible impact on tax rates, will actually be managed as a gradual incline using the"
fund balance.,fund balance.,"Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but","Over the period FY 2012 to FY 2015, the existing fund balance is expected to diminish but"
is,not,expected,to,disappear.,disappear.,There,is,some,flexibility,in,the,fund,balance,to,consider,additional
"indebtedness,","indebtedness,","including,","including,",as,an,"example,","example,",General,Obligation,Obligation,bonds,bonds,for,Greenspace,and,Property
"Development Rights, as approved in a voter referendum.","Development Rights, as approved in a voter referendum.","Development Rights, as approved in a voter referendum.","Development Rights, as approved in a voter referendum.","Development Rights, as approved in a voter referendum.","Development Rights, as approved in a voter referendum.","Development Rights, as approved in a voter referendum.","Development Rights, as approved in a voter referendum.","Development Rights, as approved in a voter referendum.","Development Rights, as approved in a voter referendum.",,,,,,,
"Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but","Page F-11 identifies revenue and expenditure projections for six years, including the current year, but"
only FY 2012 will actually be budgeted and appropriated.,only FY 2012 will actually be budgeted and appropriated.,only FY 2012 will actually be budgeted and appropriated.,only FY 2012 will actually be budgeted and appropriated.,only FY 2012 will actually be budgeted and appropriated.,only FY 2012 will actually be budgeted and appropriated.,only FY 2012 will actually be budgeted and appropriated.,only FY 2012 will actually be budgeted and appropriated.,only FY 2012 will actually be budgeted and appropriated.,only FY 2012 will actually be budgeted and appropriated.,,,,,,,
The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt,The Capital Improvement Program (Section D of this budget document) identifies projected new debt
financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,financings and projected debt service costs for these new facilities are shown in this budget.,
,FY 2011,,,,"1,000,000","1,000,000","1,000,000",Jamestown HS Multi-Use Subsidized Interest Bonds,Jamestown HS Multi-Use Subsidized Interest Bonds,Jamestown HS Multi-Use Subsidized Interest Bonds,Jamestown HS Multi-Use Subsidized Interest Bonds,Jamestown HS Multi-Use Subsidized Interest Bonds,Jamestown HS Multi-Use Subsidized Interest Bonds,Jamestown HS Multi-Use Subsidized Interest Bonds,Jamestown HS Multi-Use Subsidized Interest Bonds,Jamestown HS Multi-Use Subsidized Interest Bonds
,FY 2012,,,,"6,166,000","6,166,000","6,166,000",County Public Facilities - Fire Sta #4 and Mid County Park,County Public Facilities - Fire Sta #4 and Mid County Park,County Public Facilities - Fire Sta #4 and Mid County Park,County Public Facilities - Fire Sta #4 and Mid County Park,County Public Facilities - Fire Sta #4 and Mid County Park,County Public Facilities - Fire Sta #4 and Mid County Park,County Public Facilities - Fire Sta #4 and Mid County Park,County Public Facilities - Fire Sta #4 and Mid County Park,County Public Facilities - Fire Sta #4 and Mid County Park
,FY 2013,,,"19,127,000","19,127,000","19,127,000","19,127,000",School HVAC Projects,School HVAC Projects,School HVAC Projects,School HVAC Projects,,,,,
County debt outstanding:,County debt outstanding:,County debt outstanding:,County debt outstanding:,,,,,,,,,,,,,
,,,,,,Projected,Projected,Projected,,,,,,,,
,,,,Beginning,Beginning,Borrowing,Borrowing,Borrowing,Retired,Retired,,Ending,Ending,,,
,FY 2011,,"$221,860,000","$221,860,000","$221,860,000","$1,000,000","$1,000,000","$1,000,000","$13,926,000","$13,926,000",,"$208,934,000","$208,934,000",,,
,FY 2012,,,"208,934,000","208,934,000","6,166,000","6,166,000","6,166,000","13,755,000","13,755,000",,"201,345,000","201,345,000",,,
,FY 2013,,,"201,345,000","201,345,000","19,127,000","19,127,000","19,127,000","13,788,000","13,788,000",,"206,684,000","206,684,000",,,
,FY 2014,,,"206,684,000","206,684,000",,,,"14,006,000","14,006,000",,"192,678,000","192,678,000",,,
,FY 2015,,,"192,678,000","192,678,000",,,,"14,357,000","14,357,000",,"178,321,000","178,321,000",,,
Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's,Funding for debt service spending comes primarily from on-going revenues contributed by the County's
General Fund and interest earned on bond proceeds before they are spent.,General Fund and interest earned on bond proceeds before they are spent.,General Fund and interest earned on bond proceeds before they are spent.,General Fund and interest earned on bond proceeds before they are spent.,General Fund and interest earned on bond proceeds before they are spent.,General Fund and interest earned on bond proceeds before they are spent.,General Fund and interest earned on bond proceeds before they are spent.,General Fund and interest earned on bond proceeds before they are spent.,General Fund and interest earned on bond proceeds before they are spent.,General Fund and interest earned on bond proceeds before they are spent.,General Fund and interest earned on bond proceeds before they are spent.,General Fund and interest earned on bond proceeds before they are spent.,General Fund and interest earned on bond proceeds before they are spent.,General Fund and interest earned on bond proceeds before they are spent.,"The ""Buy America Bonds""","The ""Buy America Bonds""","The ""Buy America Bonds"""
funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain,funding comes from a special Federal program that subsidizes the interest on debt issued to build certain
local facilities.,local facilities.,,For the County these credits are directed at the interest costs of the borrowing for the,For the County these credits are directed at the interest costs of the borrowing for the,For the County these credits are directed at the interest costs of the borrowing for the,For the County these credits are directed at the interest costs of the borrowing for the,For the County these credits are directed at the interest costs of the borrowing for the,For the County these credits are directed at the interest costs of the borrowing for the,For the County these credits are directed at the interest costs of the borrowing for the,For the County these credits are directed at the interest costs of the borrowing for the,For the County these credits are directed at the interest costs of the borrowing for the,For the County these credits are directed at the interest costs of the borrowing for the,For the County these credits are directed at the interest costs of the borrowing for the,For the County these credits are directed at the interest costs of the borrowing for the,For the County these credits are directed at the interest costs of the borrowing for the,For the County these credits are directed at the interest costs of the borrowing for the
County's police building.,County's police building.,County's police building.,County's police building.,,,,,,,,,,,,,
,,,,,,,,Page F-10,Page F-10,,,,,,,
