"Building codes and assigned local regulations, coordination of new programs to promote new","Building codes and assigned local regulations, coordination of new programs to promote new","Building codes and assigned local regulations, coordination of new programs to promote new","Building codes and assigned local regulations, coordination of new programs to promote new","Building codes and assigned local regulations, coordination of new programs to promote new","Building codes and assigned local regulations, coordination of new programs to promote new","Building codes and assigned local regulations, coordination of new programs to promote new","Building codes and assigned local regulations, coordination of new programs to promote new","Building codes and assigned local regulations, coordination of new programs to promote new","Building codes and assigned local regulations, coordination of new programs to promote new","Building codes and assigned local regulations, coordination of new programs to promote new","Building codes and assigned local regulations, coordination of new programs to promote new","Building codes and assigned local regulations, coordination of new programs to promote new","Building codes and assigned local regulations, coordination of new programs to promote new"
"business development and the maintenance of existing businesses, and the provision of support","business development and the maintenance of existing businesses, and the provision of support","business development and the maintenance of existing businesses, and the provision of support","business development and the maintenance of existing businesses, and the provision of support","business development and the maintenance of existing businesses, and the provision of support","business development and the maintenance of existing businesses, and the provision of support","business development and the maintenance of existing businesses, and the provision of support","business development and the maintenance of existing businesses, and the provision of support","business development and the maintenance of existing businesses, and the provision of support","business development and the maintenance of existing businesses, and the provision of support","business development and the maintenance of existing businesses, and the provision of support","business development and the maintenance of existing businesses, and the provision of support","business development and the maintenance of existing businesses, and the provision of support","business development and the maintenance of existing businesses, and the provision of support"
for programs and activities related to the physical development and use of land in the City.,for programs and activities related to the physical development and use of land in the City.,for programs and activities related to the physical development and use of land in the City.,for programs and activities related to the physical development and use of land in the City.,for programs and activities related to the physical development and use of land in the City.,for programs and activities related to the physical development and use of land in the City.,for programs and activities related to the physical development and use of land in the City.,for programs and activities related to the physical development and use of land in the City.,for programs and activities related to the physical development and use of land in the City.,for programs and activities related to the physical development and use of land in the City.,for programs and activities related to the physical development and use of land in the City.,for programs and activities related to the physical development and use of land in the City.,for programs and activities related to the physical development and use of land in the City.,
,,,,,,,,,,,,Percent,Percent
,,,,,FY2013 Adopted,FY2013 Adopted,,FY2014 Adopted,FY2014 Adopted,Dollar Change,Dollar Change,Change,Change
Expenditures,Expenditures,Expenditures,,,"$           5,120,788","$           5,120,788","$           4,903,864","$           4,903,864","$           4,903,864","$       (216,924)","$       (216,924)",-4%,-4%
,,,,,FY2014 Budget Comments,FY2014 Budget Comments,FY2014 Budget Comments,FY2014 Budget Comments,FY2014 Budget Comments,,,,
The decrease in this area results from the elimination of 4 vacant Combination Inspector,The decrease in this area results from the elimination of 4 vacant Combination Inspector,The decrease in this area results from the elimination of 4 vacant Combination Inspector,The decrease in this area results from the elimination of 4 vacant Combination Inspector,The decrease in this area results from the elimination of 4 vacant Combination Inspector,The decrease in this area results from the elimination of 4 vacant Combination Inspector,The decrease in this area results from the elimination of 4 vacant Combination Inspector,The decrease in this area results from the elimination of 4 vacant Combination Inspector,The decrease in this area results from the elimination of 4 vacant Combination Inspector,The decrease in this area results from the elimination of 4 vacant Combination Inspector,The decrease in this area results from the elimination of 4 vacant Combination Inspector,The decrease in this area results from the elimination of 4 vacant Combination Inspector,,
positions that are no longer needed.,positions that are no longer needed.,positions that are no longer needed.,positions that are no longer needed.,positions that are no longer needed.,positions that are no longer needed.,,,,,,,,
,,,,,,4-25,4-25,,,,,,
,,,,,,,,,,,,,
