"Relatively modest annual contributions are anticipated for FY 2011 and FY 2012, the expectation that ""pay as you go"" funding would increase in FY 2013 to continue to","Relatively modest annual contributions are anticipated for FY 2011 and FY 2012, the expectation that ""pay as you go"" funding would increase in FY 2013 to continue to","Relatively modest annual contributions are anticipated for FY 2011 and FY 2012, the expectation that ""pay as you go"" funding would increase in FY 2013 to continue to","Relatively modest annual contributions are anticipated for FY 2011 and FY 2012, the expectation that ""pay as you go"" funding would increase in FY 2013 to continue to","Relatively modest annual contributions are anticipated for FY 2011 and FY 2012, the expectation that ""pay as you go"" funding would increase in FY 2013 to continue to","Relatively modest annual contributions are anticipated for FY 2011 and FY 2012, the expectation that ""pay as you go"" funding would increase in FY 2013 to continue to","Relatively modest annual contributions are anticipated for FY 2011 and FY 2012, the expectation that ""pay as you go"" funding would increase in FY 2013 to continue to","Relatively modest annual contributions are anticipated for FY 2011 and FY 2012, the expectation that ""pay as you go"" funding would increase in FY 2013 to continue to","Relatively modest annual contributions are anticipated for FY 2011 and FY 2012, the expectation that ""pay as you go"" funding would increase in FY 2013 to continue to","Relatively modest annual contributions are anticipated for FY 2011 and FY 2012, the expectation that ""pay as you go"" funding would increase in FY 2013 to continue to","Relatively modest annual contributions are anticipated for FY 2011 and FY 2012, the expectation that ""pay as you go"" funding would increase in FY 2013 to continue to","Relatively modest annual contributions are anticipated for FY 2011 and FY 2012, the expectation that ""pay as you go"" funding would increase in FY 2013 to continue to"
invest in capital maintenance for existing property and a few modest new investments.,invest in capital maintenance for existing property and a few modest new investments.,invest in capital maintenance for existing property and a few modest new investments.,invest in capital maintenance for existing property and a few modest new investments.,invest in capital maintenance for existing property and a few modest new investments.,invest in capital maintenance for existing property and a few modest new investments.,,,,,,
"Proffer revenues may not stop in FY 2011 and FY 2012, but this budget does not propose to begin investment them until FY 2013.","Proffer revenues may not stop in FY 2011 and FY 2012, but this budget does not propose to begin investment them until FY 2013.","Proffer revenues may not stop in FY 2011 and FY 2012, but this budget does not propose to begin investment them until FY 2013.","Proffer revenues may not stop in FY 2011 and FY 2012, but this budget does not propose to begin investment them until FY 2013.","Proffer revenues may not stop in FY 2011 and FY 2012, but this budget does not propose to begin investment them until FY 2013.","Proffer revenues may not stop in FY 2011 and FY 2012, but this budget does not propose to begin investment them until FY 2013.","Proffer revenues may not stop in FY 2011 and FY 2012, but this budget does not propose to begin investment them until FY 2013.","Proffer revenues may not stop in FY 2011 and FY 2012, but this budget does not propose to begin investment them until FY 2013.","Proffer revenues may not stop in FY 2011 and FY 2012, but this budget does not propose to begin investment them until FY 2013.","Proffer revenues may not stop in FY 2011 and FY 2012, but this budget does not propose to begin investment them until FY 2013.",Projected new borrowings are shown,Projected new borrowings are shown
"below, a discussion of the impact on debt service is shown on Page F-11.","below, a discussion of the impact on debt service is shown on Page F-11.","below, a discussion of the impact on debt service is shown on Page F-11.","below, a discussion of the impact on debt service is shown on Page F-11.",,,,,,,,
FY 2011,VPSA - Schools,VPSA - Schools,,,,"6,900,000",includes JHS multi-use space,includes JHS multi-use space,includes JHS multi-use space,includes JHS multi-use space,
FY 2011,Possible GO Greenspace,Possible GO Greenspace,Possible GO Greenspace,,,"7,000,000",if needed,if needed,,,
FY 2012,VRA - Other County,VRA - Other County,VRA - Other County,,,"6,300,000",,,,,
FY 2013,Possible GO Greenspace,Possible GO Greenspace,Possible GO Greenspace,,,"7,000,000",if needed,if needed,,,
FY 2013,Schools,Schools,,,,"6,400,000",,,,,
FY 2014,Schools,Schools,,,,"5,360,000",,,,,
FY 2015,School Central Office,School Central Office,School Central Office,,,"4,960,000",if needed - depends on enrollment increases and when James Blair,if needed - depends on enrollment increases and when James Blair,if needed - depends on enrollment increases and when James Blair,if needed - depends on enrollment increases and when James Blair,if needed - depends on enrollment increases and when James Blair
,,,,,,,would need to reopen as a middle school,would need to reopen as a middle school,would need to reopen as a middle school,would need to reopen as a middle school,would need to reopen as a middle school
,,,,Page D-7,Page D-7,Page D-7,,,,,
