Is your water system comprised of interconnected reservoirs?,Is your water system comprised of interconnected reservoirs?,Is your water system comprised of interconnected reservoirs?,Is your water system comprised of interconnected reservoirs?,Yes,Yes,No,No,,,,,,,,,,,
"If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.",Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Designed maximum daily withdrawal and the safe yield may be reported for,Designed maximum daily withdrawal and the safe yield may be reported for,Designed maximum daily withdrawal and the safe yield may be reported for,Designed maximum daily withdrawal and the safe yield may be reported for,Designed maximum daily withdrawal and the safe yield may be reported for,Designed maximum daily withdrawal and the safe yield may be reported for,Designed maximum daily withdrawal and the safe yield may be reported for
the entire system or subsets of the system.,the entire system or subsets of the system.,the entire system or subsets of the system.,,,,,,,,,,,,,,,,
,,,,,,,,,DESIGN CAPACITY:,DESIGN CAPACITY:,,,,,,,,
,,,,Reservoir,,,,,,,,,,VDH,VDH,Limitations,,Notes
,,,,,,,,,,,,,Reservoir,,,,,
,,,,watershed,On-Stream,On-Stream,,,,,,,,Permitted,Permitted,on,,or
,,,,,,,,,,,,,Safe Yield,,,,,
,,,Reservoir watershed,Drainage,Storage Available,Storage Available,,,,,,,,System,System,Withdrawal,Comments,Comments
PWSID #,Water System Name,Reservoir Name,,,,,Average Daily,Average Daily,Maximum Daily,Maximum Daily,Associated Water Associated Water,Associated Water Associated Water,,,,,,
,,,Basin/ Sub-basin,Area,for Water Supply,for Water Supply,Withdrawal,Withdrawal,Withdrawal,Withdrawal,Treatment Plant,Treatment Plant,,Capacity,Capacity,Permit,,
,,,,,(gallons),(MG),,,,,,,,,,,,
,,,,(square miles),,,(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),,(gpd),(MGD),,(This may include references to,(This may include references to
,,,,,,,,,,,,,,,,,"maps, data sources, data gaps,","maps, data sources, data gaps,"
,,,,,,,,,,,,,,,,,,etc.)
Gloucester County,Gloucester County,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,VDH permitted capacity based on,VDH permitted capacity based on
,,Beaverdam,,,,,,,,,,,,,,,,
4073311,Gloucester County WTP,,Beaverdam Swamp,24.00,"5,000,000",5.00,"1,500,000",1.50,"4,000,000",4.00,"4,000,000",4.00,2.00,"4,000,000",4.00,,groundwater and surface water,groundwater and surface water
,,Reservoir,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,sources.,
Hampton,,,,,,,,,,,,,,,,,,
3650150,Fort Monroe,NA,,NA,,-,,0.00,,0.00,,0.00,,,0.00,,,
,,,,,,,,,,,,,,,,,"Fort Monroe, Air Force Family","Fort Monroe, Air Force Family"
,,,,,,,,,,,,,,,,,"Housing, and Langley Air Force","Housing, and Langley Air Force"
,Balford Langley Bolling,,,,,,,,,,,,,,,,,
3199100,,NA,,NA,,,,0.00,,0.00,,0.00,,,0.00,,Base are consecutive water,Base are consecutive water
,Family Housing,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,systems that purchase water from,systems that purchase water from
,,,,,,,,,,,,,,,,,Newport News.,Newport News.
3650350,Langley Air Force Base,NA,,NA,,-,,0.00,,0.00,,0.00,,,0.00,,,
Newport News,Newport News,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,The VDH permit for the entire,The VDH permit for the entire
,,,,,,,,,,,,,,,,,system (62.8 MGD) also includes,system (62.8 MGD) also includes
,,Lee Hall Reservoir,Warwick River,14.6,"880,000,000",880.00,NA,,"60,000,000",60.00,"59,700,000",59.70,,,,none,,
,,,,,,,,,,,,,,,,,the brackish groundwater system,the brackish groundwater system
,,,,,,,,,,,,,,,,,and stream intake.,and stream intake.
,,,,,,,,,,,,,,,,,On-Stream Storage Available for,On-Stream Storage Available for
,,Diascund Reservoir,Diascund Creek,44.6,"3,490,000,000",3490.00,NA,,"35,000,000",35.00,NA,0.00,,,,none,Water Supply is the total volume,Water Supply is the total volume
,,,,,,,,,,,,,,,,,of reservoir storage.,of reservoir storage.
,City of Newport News,,,,,,,,,,,,,,,,,
3700500,Waterworks,,,,,,,,,,,,54.8,"62,800,000",62.80,,Average Daily Capacity is not,Average Daily Capacity is not
,,Harwood's Mill,,,,,,,,,,,,,,,,
,,,Poquoson River,8.6,"850,000,000",850.00,NA,,"60,000,000",60.00,"31,100,000",31.10,,,,none,relevant as pumping stations are,relevant as pumping stations are
,,Reservoir,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,designed to meet max capacity.,designed to meet max capacity.
,,,,,,,,,,,,,,,,,Water Treatment Capacity is,Water Treatment Capacity is
,,Little Creek,,,,,,,,,,,,,,,,
,,,Yarmouth Creek,4.6,"7,480,000,000",7480.00,NA,,"40,000,000",40.00,NA,0.00,,,,none,based on VDH criteria (largest,based on VDH criteria (largest
,,Reservoir,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,process unit being out of service).,process unit being out of service).
,,Skiff's Creek,,,,,,,,,,,,,,,Reservoir safe yield based on,Reservoir safe yield based on
,,,Skiffe's Creek,6.25,"230,000,000",230.00,NA,,"3,000,000",3.00,NA,0.00,,,,none,,
,,Reservoir,,,,,,,,,,,,,,,CDM study (2000).,CDM study (2000).
Williamsburg,Williamsburg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,VDH system capacity is based on,VDH system capacity is based on
,,,,,,,,,,,,,,,,,"the reservoir, groundwater","the reservoir, groundwater"
,,,,,,,,,,,,,,,,,"withdrawals, and water","withdrawals, and water"
3830850,City of Williamsburg,Waller Mill Reservoir,York River,6.96,"1,500,000,000",1500.00,"7,000,000",7.00,"7,000,000",7.00,"7,000,000",7.00,2.67,"6,150,000",6.15,,,
,,,,,,,,,,,,,,,,,purchased from Newport News (2,purchased from Newport News (2
,,,,,,,,,,,,,,,,,MGD). Reservoir safe yield is,MGD). Reservoir safe yield is
,,,,,,,,,,,,,,,,,based on CDM study (2007).,based on CDM study (2007).
,,,,,,,,5,,,,,,,,,,
