Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”,Name: “Table 1 of 1 on page 19 of 28”
,,,,,,,,,,,,,,,,,,,,"Family Housing, and"
,,,,,,,,,,,,,,,,,,,,Langley Air Force Base are
3199100,Balford Langley Bolling Family Housing,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
,,,,,,,,,,,,,,,,,,,,included in the usage for
,,,,,,,,,,,,,,,,,,,,Newport News
3650350,Langley Air Force Base,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,Waterworks.
James City County Public Systems,James City County Public Systems,,,,,,,,,,,,,,,,,,,
,GLENWOOD ACRES-James City Service,,,,,,,,,,,,,,,,,,,
3095317,,0.006,"6,250",0.006,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
,Authority,,,,,,,,,,,,,,,,,,,
,CENTRAL SYSTEM-James City Service,,,,,,,,,,,,,,,,,,,
3095490,,5.820,"3,106,500",3.107,"1,672,500",1.673,,0.000,,0.000,,0.000,"790,000.00",0.790,"251,000.00",0.251,,0.000,,
,Authority,,,,,,,,,,,,,,,,,,,
,KINGS VILLAGE-James City Service,,,,,,,,,,,,,,,,,,,
3095528,,0.010,"10,325",0.010,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
,Authority,,,,,,,,,,,,,,,,,,,
3095750,RACEFIELD-James City Service Authority,0.011,"10,643",0.011,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
3095760,RETREAT-James City Service Authority,0.014,"14,170",0.014,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
,WARE CREEK MANOR-James City Service,,,,,,,,,,,,,,,,,,,
3095858,,0.012,"11,992",0.012,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
,Authority,,,,,,,,,,,,,,,,,,,
,WEXFORD HILLS-James City Service,,,,,,,,,,,,,,,,,,,
3095862,,0.028,"27,538",0.028,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
,Authority,,,,,,,,,,,,,,,,,,,
James City County Private Systems,James City County Private Systems,,,,,,,,,,,,,,,,,,,
3095045,Brooks' Duplexes,0.002,"1,597",0.002,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
3095320,Greensprings Mobile Village,0.011,"10,649",0.011,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
,,,,,,,,,,,,,,,,,,,,"2007 use not available,"
3095590,Heaths Mobile Homes,0.003,"3,102",0.003,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
,,,,,,,,,,,,,,,,,,,,2008 use shown
3095700,Shodon Mobile Estates,0.009,"9,000",0.009,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
Newport News,Newport News,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,No sales to Williamsburg
3700500,Newport News Waterworks,51.630,"25,000,000",25.000,"8,100,000",8.100,"9,690,000",9.690,"3,010,000",3.010,"70,000",0.070,"3,470,000",3.470,"2,290,000",2.290,0.00,0.000,City of Williamsburg,
,,,,,,,,,,,,,,,,,,,,in 2007
,,,,,,,,,,,,,,,,,,,,Fort Eustis is included in
3700100,Fort Eustis,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,the usage for Newport
,,,,,,,,,,,,,,,,,,,,News Waterworks.
Williamsburg,Williamsburg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Includes water sold to
3830850,City of Williamsburg,3.336,"560,000",0.560,"2,168,000",2.168,,0.000,"96,515",0.097,,0.000,"71,000",0.071,"440,000",0.440,,0.000,,
,,,,,,,,,,,,,,,,,,,,Camp Peary
York County,York County,,,,,,,,,,,,,,,,,,,
3199380,Lightfoot - Newport News Waterworks,0.328,"56,438",0.056,"249,051",0.249,,0.000,,0.000,,0.000,,0.000,"23,000",0.023,,0.000,,
,Skimino Hills Banbury Cross - Newport News,,,,,,,,,,,,,,,,,,,
3199730,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,
,Waterworks,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,
