Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”,Name: “Table 1 of 1 on page 25 of 28”
,Step 1: Estimate Total Population of Individual,Step 1: Estimate Total Population of Individual,Step 1: Estimate Total Population of Individual,Step 2: Estimate Number of Residences and,Step 2: Estimate Number of Residences and,Step 2: Estimate Number of Residences and,Step 3: Estimate Total Self-Supplied Water Use,Step 3: Estimate Total Self-Supplied Water Use,Step 3: Estimate Total Self-Supplied Water Use,Step 3: Estimate Total Self-Supplied Water Use,,Step 4: Estimate Total Self-Supplied Water Use,Step 4: Estimate Total Self-Supplied Water Use,Step 4: Estimate Total Self-Supplied Water Use,Step 4: Estimate Total Self-Supplied Water Use,
,,Self-Supplied Well Users,,Businesses on Individual Wells,Businesses on Individual Wells,Businesses on Individual Wells,OUTSIDE COMMUNITY WATER SYSTEM SERVICE AREA,OUTSIDE COMMUNITY WATER SYSTEM SERVICE AREA,OUTSIDE COMMUNITY WATER SYSTEM SERVICE AREA,OUTSIDE COMMUNITY WATER SYSTEM SERVICE AREA,OUTSIDE COMMUNITY WATER SYSTEM SERVICE AREA,INSIDE COMMUNITY WATER SYSTEM SERVICE AREA,INSIDE COMMUNITY WATER SYSTEM SERVICE AREA,INSIDE COMMUNITY WATER SYSTEM SERVICE AREA,INSIDE COMMUNITY WATER SYSTEM SERVICE AREA,
,,Total Population,,,,,,,Average,Average,,,,Average,Average,
,,,,,,,,Per Capita,Annual,Annual,,Locality,Per Capita,Annual,Annual,
,Locality,Served by,,,,,,,,,,,,,,
,,,Estimated,Locality,Number of,,Estimated,,,,,# of Self-,,,,Estimated
,Population,Community,,,,Estimated Number,,Water Use,Residential,Business Use,Estimated,Specific,Water Use,Residential,Business Use,
,,,Population,Specific,RESIDENCES,,Population,,,,,Supplied,,,,Annual
,,,,,,of,,Factor,Use,(gpd),Average,Population,Factor,Use,(gpd),
Locality,,Water System(s),Served by,Population Per,on Wells,,Served by,,,,,Residences,,,,Average Use
,,,,,,BUSINESSES,,,(gpd),,Annual Use,Per,,(gpd),,
,,,Individual,Household,,,Individual,,,,,Within,,,,
,,,,,,on Wells,,(gal/person/d,,(SSU,(MGD),Household,(gal/person/d,,(SSU,
,,,Wells,Factor,(Column D ÷,,Wells,,,,,Service Area,,,,(MGD)
,,,,,,,,ay),(Column H x,Business,,Factor,ay),(Columns M x,Business,
,,,,,Column E),,,,,,,,,,,
,YEAR 2007,YEAR 2007,,,,,,,Column I),Data),,,,N x O),Data),
Gloucester County,"35,960","13,000","22,960",2.62,"8,763",24,"22,960",75,"1,722,000","113,541",1.836,0,,0,"1,800",0.002
City of Hampton,"144,205","144,205",0,2.49,-,0,0,75,0,,0.000,0,,0,,0.000
James City County,"61,495","54,271","7,224",2.47,"2,925",21,"7,224",75,"541,800","77,000",0.619,0,,0,"207,500",0.208
City of Newport News,"181,220","181,220",0,2.50,-,2,0,75,0,"8,000",0.008,0,,0,,0.000
City of Poquoson,"11,818","11,818",0,2.75,-,0,0,75,0,,0.000,0,,0,,0.000
City of Williamsburg,"13,273","13,273",0,2.07,-,0,0,75,0,,0.000,0,,0,,0.000
York County,"64,003","60,803","3,200",2.78,"1,151",7,"3,200",75,"240,000","59,350",0.299,0,,0,"6,250",0.006
Planning Area,,,,,,,,,,,,,,,,
Totals:,"511,974","478,590","33,384",,"12,839",54,"33,384",,"2,503,800","257,891",2.762,0,,0,"215,550",0.216
Notes or,Locality Populations based on Weldon Cooper estimates.,Locality Populations based on Weldon Cooper estimates.,Locality Populations based on Weldon Cooper estimates.,,,,,,,,,,,,,
,"Gloucester's Population Served by CWS includes 3 private systems (300 people) plus the County-owned system (12,700 people).","Gloucester's Population Served by CWS includes 3 private systems (300 people) plus the County-owned system (12,700 people).","Gloucester's Population Served by CWS includes 3 private systems (300 people) plus the County-owned system (12,700 people).","Gloucester's Population Served by CWS includes 3 private systems (300 people) plus the County-owned system (12,700 people).","Gloucester's Population Served by CWS includes 3 private systems (300 people) plus the County-owned system (12,700 people).","Gloucester's Population Served by CWS includes 3 private systems (300 people) plus the County-owned system (12,700 people).","Gloucester's Population Served by CWS includes 3 private systems (300 people) plus the County-owned system (12,700 people).",,,,,,,,,
Comments:,,,,,,,,,,,,,,,,
,"James City County's Population Served by CWS includes 4 private systems (435 people), 8000 people served by Newport News Waterworks, plus 45,836 people served by JCSA (7 county-owned systems).","James City County's Population Served by CWS includes 4 private systems (435 people), 8000 people served by Newport News Waterworks, plus 45,836 people served by JCSA (7 county-owned systems).","James City County's Population Served by CWS includes 4 private systems (435 people), 8000 people served by Newport News Waterworks, plus 45,836 people served by JCSA (7 county-owned systems).","James City County's Population Served by CWS includes 4 private systems (435 people), 8000 people served by Newport News Waterworks, plus 45,836 people served by JCSA (7 county-owned systems).","James City County's Population Served by CWS includes 4 private systems (435 people), 8000 people served by Newport News Waterworks, plus 45,836 people served by JCSA (7 county-owned systems).","James City County's Population Served by CWS includes 4 private systems (435 people), 8000 people served by Newport News Waterworks, plus 45,836 people served by JCSA (7 county-owned systems).","James City County's Population Served by CWS includes 4 private systems (435 people), 8000 people served by Newport News Waterworks, plus 45,836 people served by JCSA (7 county-owned systems).","James City County's Population Served by CWS includes 4 private systems (435 people), 8000 people served by Newport News Waterworks, plus 45,836 people served by JCSA (7 county-owned systems).","James City County's Population Served by CWS includes 4 private systems (435 people), 8000 people served by Newport News Waterworks, plus 45,836 people served by JCSA (7 county-owned systems).","James City County's Population Served by CWS includes 4 private systems (435 people), 8000 people served by Newport News Waterworks, plus 45,836 people served by JCSA (7 county-owned systems).","James City County's Population Served by CWS includes 4 private systems (435 people), 8000 people served by Newport News Waterworks, plus 45,836 people served by JCSA (7 county-owned systems).","James City County's Population Served by CWS includes 4 private systems (435 people), 8000 people served by Newport News Waterworks, plus 45,836 people served by JCSA (7 county-owned systems).",,,,
,Williamsburg's Population Served by CWS was estimated based on 100% service to the City and 2007 population data.,Williamsburg's Population Served by CWS was estimated based on 100% service to the City and 2007 population data.,Williamsburg's Population Served by CWS was estimated based on 100% service to the City and 2007 population data.,Williamsburg's Population Served by CWS was estimated based on 100% service to the City and 2007 population data.,Williamsburg's Population Served by CWS was estimated based on 100% service to the City and 2007 population data.,Williamsburg's Population Served by CWS was estimated based on 100% service to the City and 2007 population data.,Williamsburg's Population Served by CWS was estimated based on 100% service to the City and 2007 population data.,,,,,,,,,
,York County's Population Served by CWS was estimated based on 95% service to the County and 2007 population data.,York County's Population Served by CWS was estimated based on 95% service to the County and 2007 population data.,York County's Population Served by CWS was estimated based on 95% service to the County and 2007 population data.,York County's Population Served by CWS was estimated based on 95% service to the County and 2007 population data.,York County's Population Served by CWS was estimated based on 95% service to the County and 2007 population data.,York County's Population Served by CWS was estimated based on 95% service to the County and 2007 population data.,York County's Population Served by CWS was estimated based on 95% service to the County and 2007 population data.,,,,,,,,,
,Information on the total populations served by CWS includes people served by privately-owned CWSs.,Information on the total populations served by CWS includes people served by privately-owned CWSs.,Information on the total populations served by CWS includes people served by privately-owned CWSs.,Information on the total populations served by CWS includes people served by privately-owned CWSs.,Information on the total populations served by CWS includes people served by privately-owned CWSs.,Information on the total populations served by CWS includes people served by privately-owned CWSs.,,,,,,,,,,
,"All estimates of self-supplied businesses withdrawing less than 300,000 gallons/month are based on VDH records. See table SSU Business Data.","All estimates of self-supplied businesses withdrawing less than 300,000 gallons/month are based on VDH records. See table SSU Business Data.","All estimates of self-supplied businesses withdrawing less than 300,000 gallons/month are based on VDH records. See table SSU Business Data.","All estimates of self-supplied businesses withdrawing less than 300,000 gallons/month are based on VDH records. See table SSU Business Data.","All estimates of self-supplied businesses withdrawing less than 300,000 gallons/month are based on VDH records. See table SSU Business Data.","All estimates of self-supplied businesses withdrawing less than 300,000 gallons/month are based on VDH records. See table SSU Business Data.","All estimates of self-supplied businesses withdrawing less than 300,000 gallons/month are based on VDH records. See table SSU Business Data.","All estimates of self-supplied businesses withdrawing less than 300,000 gallons/month are based on VDH records. See table SSU Business Data.","All estimates of self-supplied businesses withdrawing less than 300,000 gallons/month are based on VDH records. See table SSU Business Data.",,,,,,,
,,,,,,,24,,,,,,,,,
