Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”,Name: “Table 1 of 1 on page 8 of 28”
"* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.",,,,,,,,,,,
,,,,,,,,,,,,,,,,EXISTING INSTREAM BENEFICIAL,EXISTING INSTREAM BENEFICIAL,,
,,,,,,,,DESIGN CAPACITY:,DESIGN CAPACITY:,,,,,,,,,,
,,,,,,,,,,,,,,,,,USES:,Notes,
,,,,,,,,,,,,Safe Yield,Lowest,,,,,,
,,,,Intake,,,,,,,,,,VDH Permitted,VDH Permitted,,,or,
,,,,,,,,Maximum,Pump,Pump,Water,of,Daily Flow,,Limitations on,,,,
,,"Stream, River, or",Basin /,Drainage Area,Average Daily,Average Daily,Maximum Daily,,,,Water Treatment,,,Capacity,Capacity,,,Comments,
PWSID #,Water System Name,,,,,,,Daily,Station,Station,Treatment,Stream,of Record,,Withdrawal,,,,
,,Spring Name,Sub-basin,,Withdrawal,Withdrawal,Withdrawal,,,,Plant,,,,,Within Planning,Outside Planning,,
,,,,,,,,Withdrawal,,,Plant,,,,Permit,,,,
,,,,(square miles),,,,,,,,,,(gpd),(MGD),Area,Area,(This may include references to,(This may include references to
,,,,,,,,,,,,(MGD),(cfs),,,,,,
,,,,,(gpd),(MGD),(gpd),,,,(gpd),,,,,,,"maps, data sources, data gaps,","maps, data sources, data gaps,"
,,,,,,,,(MGD),(gpd),(MGD),(MGD),,,,,,,,
,,,,,,,,,,,,,,,,,,etc.),
,,,,,,,,,,,,,,,,,,Safe Yield equals 54.8 MGD for the,Safe Yield equals 54.8 MGD for the
,,,,,,,,,,,,,,,No pumping when,Fish and wildlife,Fish and wildlife,entire surface water supply system.,entire surface water supply system.
,City of Newport News,Chickahominy,,,,,,,,,,,,,river stage at,"habitat, waste","habitat, waste",The safe yield of 54.8 MGD is,The safe yield of 54.8 MGD is
3700500,,,James River Basin,301,"40,000,000",40.00,"40,000,000",40.00,"40,000,000",40.00,NA,see Note,0.07,see Note,0.00,,,,
,Waterworks,River,,,,,,,,,,,,,Walker's Dam is,"assimilation, and","assimilation, and",included on tab 70C so it is not,included on tab 70C so it is not
,,,,,,,,,,,,,,,below Elev. 3.00,recreation.,recreation.,included here. The VDH permit for,included here. The VDH permit for
,,,,,,,,,,,,,,,,,,the entire system (62.8 MGD).,the entire system (62.8 MGD).
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
,,,,,,0.00,,0.00,,0.00,0.00,,,,0.00,,,,
Existing Source Totals - for all CWS's using stream intakes &/or springs,Existing Source Totals - for all CWS's using stream intakes &/or springs,Existing Source Totals - for all CWS's using stream intakes &/or springs,Existing Source Totals - for all CWS's using stream intakes &/or springs,Existing Source Totals - for all CWS's using stream intakes &/or springs,,,,,,,,,,,,,,,
(MGD),,,,,,40.00,,40.00,,40.00,0.00,,,,0.00,,,,
,,,,,,,,,,7,,,,,,,,,
