This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.,This is based on a formula where the County receives a portion of overall State Sales Tax revenues.
Communication Sales & Use Taxes have been adjusted based on expected FY2012 collections.,Communication Sales & Use Taxes have been adjusted based on expected FY2012 collections.,Communication Sales & Use Taxes have been adjusted based on expected FY2012 collections.,Communication Sales & Use Taxes have been adjusted based on expected FY2012 collections.,Communication Sales & Use Taxes have been adjusted based on expected FY2012 collections.,Communication Sales & Use Taxes have been adjusted based on expected FY2012 collections.,Communication Sales & Use Taxes have been adjusted based on expected FY2012 collections.,Communication Sales & Use Taxes have been adjusted based on expected FY2012 collections.,Communication Sales & Use Taxes have been adjusted based on expected FY2012 collections.,Communication Sales & Use Taxes have been adjusted based on expected FY2012 collections.,Communication Sales & Use Taxes have been adjusted based on expected FY2012 collections.,Communication Sales & Use Taxes have been adjusted based on expected FY2012 collections.,Communication Sales & Use Taxes have been adjusted based on expected FY2012 collections.,,,
The State Car Tax,The State Car Tax,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the,Reimbursement is the State’s share of the “No Car Tax” initiative and it has the
following impact on local taxpayers:,following impact on local taxpayers:,following impact on local taxpayers:,following impact on local taxpayers:,following impact on local taxpayers:,,,,,,,,,,,
,,,,,,,FY 12,,FY 13,FY 13,,FY 14,FY 14,,
,,,,,,,Adopted,,Adopted,Adopted,,Plan,,,
,Local Collections,Local Collections,,,$,,"15,331,816",$,"16,560,000","16,560,000",$,"17,335,000","17,335,000","17,335,000",
,From the Commonwealth,From the Commonwealth,From the Commonwealth,From the Commonwealth,,,"9,770,137",,"9,770,137","9,770,137",,"9,770,137","9,770,137","9,770,137",
,,,,,$,,"25,101,953",$,"26,330,137","26,330,137",$,"27,105,137","27,105,137","27,105,137",
"The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began","The FY2013 projection reflects the permanent cap on the State's current share of the ""Car Tax"" that began"
in 2006.,"The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal","The State is projected to pay approximately 55.5 percent of the ""Car Tax"" for an eligible personal"
use vehicle.,,,,,,,,,,,,,,,
,,,,,,,Page B-9,,,,,,,,
