fee increases would be consistent with the City of Williamsburg’s fee proposal.,fee increases would be consistent with the City of Williamsburg’s fee proposal.,fee increases would be consistent with the City of Williamsburg’s fee proposal.,fee increases would be consistent with the City of Williamsburg’s fee proposal.,fee increases would be consistent with the City of Williamsburg’s fee proposal.,fee increases would be consistent with the City of Williamsburg’s fee proposal.,fee increases would be consistent with the City of Williamsburg’s fee proposal.,fee increases would be consistent with the City of Williamsburg’s fee proposal.,The adopted increase in,The adopted increase in,The adopted increase in
rates is displayed in the chart below.,rates is displayed in the chart below.,rates is displayed in the chart below.,The average bill will increase by about 17 percent and revenues will,The average bill will increase by about 17 percent and revenues will,The average bill will increase by about 17 percent and revenues will,The average bill will increase by about 17 percent and revenues will,The average bill will increase by about 17 percent and revenues will,The average bill will increase by about 17 percent and revenues will,The average bill will increase by about 17 percent and revenues will,The average bill will increase by about 17 percent and revenues will
"increase by $228,000 in FY2013 and $234,000 in FY2014.","increase by $228,000 in FY2013 and $234,000 in FY2014.","increase by $228,000 in FY2013 and $234,000 in FY2014.","increase by $228,000 in FY2013 and $234,000 in FY2014.","increase by $228,000 in FY2013 and $234,000 in FY2014.","increase by $228,000 in FY2013 and $234,000 in FY2014.",,,,,
,,,,,FY2012,FY2013,FY2013,,,
,,,,,Adopted,Adopted,Adopted,,,
,BLS,,,,$375,$450,$450,,,
,ALS 1,,,,$475,$550,$550,,,
,ALS 2,,,,$575,$800,$800,,,
,Mileage,,,,$8.25,$,10,,,
,,,Page B-11,Page B-11,Page B-11,,,,,
