State Categorical Aid,,"4,036,726","5,985,594","4,902,374","4,902,374"
Operating Transfers In,,,,,
Transfers In,,"1,728,998","3,153,013","2,764,093","2,764,093"
Total Community Services Fund,Total Community Services Fund,"5,765,724","9,138,607","7,666,467","7,666,467"
Fiscal Year 2012,13,,,,Summary Reports
City of Portsmouth,City of Portsmouth,,,,
Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,,
,,FY 2010,FY 2011,FY 2012,FY 2013
Funding Sources,,Actual,Adopted,Adopted,Planned
420 Stormwater Management Fund,420 Stormwater Management Fund,420 Stormwater Management Fund,,,
Charges For Services,,,,,
Charges for Services,,"5,237,937","5,720,064","6,685,600","9,732,600"
Other Financing Sources,,,,,
Investment Income,,"2,182",-,-,-
Fund Balance,,,,,
Fund Blance,,-,"74,577",-,-
Total Stormwater Management Fund,Total Stormwater Management Fund,"5,240,119","5,794,641","6,685,600","9,732,600"
435 Willett Hall Fund,435 Willett Hall Fund,,,,
Charges For Services,,,,,
Charges for Services,,"18,538","30,000","30,000","30,000"
Miscellaneous Revenue,,"2,121","1,625","1,138","1,866"
,,"20,658","31,625","31,138","31,866"
Other Financing Sources,,,,,
Investment Income,,226,-,-,-
Recovered Costs,,,,,
Total Recovered Cost,,"152,406","250,000","250,000","250,000"
Use Of Property,,,,,
Use of Property,,"77,673","105,000","105,000","105,000"
Total Willett Hall Fund,Total Willett Hall Fund,"250,964","386,625","386,138","386,866"
440 Recreation Fund,440 Recreation Fund,440 Recreation Fund,,,
Charges For Services,,,,,
Charges for Services,,"523,807","600,000","600,000","600,000"
Other Financing Sources,,,,,
Investment Income,,114,-,-,-
Total Recreation Fund,Total Recreation Fund,"523,921","600,000","600,000","600,000"
500 Cemetery Fund,500 Cemetery Fund,,,,
Charges For Services,,,,,
Charges for Services,,"42,200","50,000","50,000","50,000"
Other Financing Sources,,,,,
Investment Income,,"11,980","50,000","50,000","50,000"
Total Cemetery Fund,Total Cemetery Fund,"54,180","100,000","100,000","100,000"
620 Other Post-Employment Benefits,620 Other Post-Employment Benefits,620 Other Post-Employment Benefits,,,
Operating Transfers In,,,,,
Transfers In,,"1,000,000","2,500,000","2,500,000","2,500,000"
Total Other Post-Employment Benefits,Total Other Post-Employment Benefits,"1,000,000","2,500,000","2,500,000","2,500,000"
630 New Port Community Development Authority,630 New Port Community Development Authority,630 New Port Community Development Authority,630 New Port Community Development Authority,,
Charges For Services,,,,,
Charges for Services,,-,"960,220","1,022,642","1,022,642"
Total New Port Community Development Authority,Total New Port Community Development Authority,-,"960,220","1,022,642","1,022,642"
Fiscal Year 2012,14,,,,Summary Reports
,City of Portsmouth,,,,
Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,,,
,,FY 2010,FY 2011,FY 2012,FY 2013
Funding Sources,,Actual,Adopted,Adopted,Planned
,650 Economic Stimulus Fund,650 Economic Stimulus Fund,,,
Intergovernmental Revenue,,,,,
Federal Revenue,,"359,563",-,-,-
Other Financing Sources,,,,,
Investment Income,,"27,566",-,-,-
Other Financing Sources,,"17,222,170",-,-,-
,,"17,249,736",-,-,-
Schools,,,,,
Schools,,-,"2,005,330",-,-
Total Economic Stimulus Fund,Total Economic Stimulus Fund,"17,609,299","2,005,330",-,-
,700 Public Utility Fund,700 Public Utility Fund,,,
Intergovernmental Revenue,,,,,
Federal Revenue,,"15,287",-,-,-
Charges For Services,,,,,
Charges for Services,,"35,186,536","39,903,845","40,292,409","42,487,761"
Miscellaneous Revenue,,"293,737","266,000","266,000","266,000"
,,"35,480,273","40,169,845","40,558,409","42,753,761"
Other Financing Sources,,,,,
Investment Income,,"36,058",-,-,-
Other Financing Sources,,"115,712",-,-,-
,,"151,771",-,-,-
Recovered Costs,,,,,
Total Recovered Cost,,"130,633","168,700","168,700","168,700"
Licenses And Permits,,,,,
Licenses and Permits,,"10,230","7,000","7,000","7,000"
Use Of Property,,,,,
Use of Property,,"70,805","82,000","58,192","58,192"
Fund Balance,,,,,
Fund Blance,,-,"824,265","577,158",-
,Total Public Utility Fund,"35,858,998","41,251,810","41,369,459","42,987,653"
,720 Golf Fund,,,,
Charges For Services,,,,,
Charges for Services,,"964,620","1,057,317","999,243","1,042,250"
Recovered Costs,,,,,
Total Recovered Cost,,"4,729",-,-,-
Use Of Property,,,,,
Use of Property,,"364,831","381,842","386,250","411,842"
Operating Transfers In,,,,,
Transfers In,,"1,100,000","834,310","594,328","834,896"
,Total Golf Fund,"2,434,181","2,273,469","1,979,821","2,288,988"
Fiscal Year 2012,15,,,,Summary Reports
,City of Portsmouth,City of Portsmouth,,,
Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,,
,,FY 2010,FY 2011,FY 2012,FY 2013
Funding Sources,,Actual,Adopted,Adopted,Planned
,740 Waste Management Fund,740 Waste Management Fund,,,
Intergovernmental Revenue,,,,,
State Categorical Aid,,"680,000","680,000","680,000","680,000"
Charges For Services,,,,,
Charges for Services,,"15,037,913","15,431,770","12,517,235","12,709,159"
Miscellaneous Revenue,,"5,519","13,350","16,050","16,050"
,,"15,043,432","15,445,120","12,533,285","12,725,209"
Other Financing Sources,,,,,
Investment Income,,"2,165",-,-,-
Total Waste Management Fund,Total Waste Management Fund,"15,725,597","16,125,120","13,213,285","13,405,209"
750 Portsmouth Parking Authority,750 Portsmouth Parking Authority,750 Portsmouth Parking Authority,,,
Charges For Services,,,,,
Charges for Services,,"355,132","353,620","414,290","414,290"
Miscellaneous Revenue,,"1,846","2,600",800,800
,,"356,978","356,220","415,090","415,090"
Other Financing Sources,,,,,
Investment Income,,-,"1,650","1,650","1,650"
Recovered Costs,,,,,
Fines and Forfeiture,,"303,099","360,000","300,000","300,000"
Use Of Property,,,,,
Use of Property,,"657,560","667,842","690,550","690,550"
Operating Transfers In,,,,,
Transfers In,,"426,609","377,331","190,972","264,832"
Total Portsmouth Parking Authority,Total Portsmouth Parking Authority,"1,744,245","1,763,043","1,598,262","1,672,122"
,800 City Garage Fund,800 City Garage Fund,,,
Charges For Services,,,,,
Charges for Services,,"8,389,098","8,002,136","8,335,903","8,454,499"
Miscellaneous Revenue,,"-12,337",-,-,-
,,"8,376,761","8,002,136","8,335,903","8,454,499"
Other Financing Sources,,,,,
Investment Income,,941,-,-,-
Recovered Costs,,,,,
Total Recovered Cost,,835,"5,000",-,-
,Total City Garage Fund,"8,378,537","8,007,136","8,335,903","8,454,499"
810 Information Technology Fund,810 Information Technology Fund,810 Information Technology Fund,,,
Charges For Services,,,,,
Charges for Services,,"4,898,774","5,156,146","5,120,380","5,082,219"
Miscellaneous Revenue,,"28,931","40,000","34,319","34,375"
,,"4,927,705","5,196,146","5,154,699","5,116,594"
Other Financing Sources,,,,,
Investment Income,,620,"20,000","10,000","10,000"
Total Information Technology Fund,Total Information Technology Fund,"4,928,325","5,216,146","5,164,699","5,126,594"
Fiscal Year 2012,16,,,,Summary Reports
,City of Portsmouth,,,,
Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,Fiscal Year 2012 Adopted Budget Revenue Summary,,
,,FY 2010,FY 2011,FY 2012,FY 2013
Funding Sources,,Actual,Adopted,Adopted,Planned
,820 Risk Management Fund,820 Risk Management Fund,,,
Charges For Services,,,,,
Charges for Services,,"6,102,797","6,102,797","5,658,241","5,685,363"
Other Financing Sources,,,,,
Investment Income,,"6,935",-,-,-
Recovered Costs,,,,,
Total Recovered Cost,,"245,942","50,000","50,000","50,000"
,Total Risk Management Fund,"6,355,674","6,152,797","5,708,241","5,735,363"
,830 Health Insurance Fund,830 Health Insurance Fund,,,
Charges For Services,,,,,
Charges for Services,,"16,414,321","18,786,839","19,865,296","19,865,296"
Miscellaneous Revenue,,"159,235",-,-,-
,,"16,573,556","18,786,839","19,865,296","19,865,296"
Other Financing Sources,,,,,
Investment Income,,"4,235",-,-,-
Operating Transfers In,,,,,
Transfers In,,"361,323",-,-,-
,Total Health Insurance Fund,"16,939,114","18,786,839","19,865,296","19,865,296"
900 Portsmouth City Public Schools,900 Portsmouth City Public Schools,900 Portsmouth City Public Schools,,,
Schools,,,,,
Schools,,-,"164,990,386","165,777,950","165,777,950"
Total Portsmouth City Public Schools,Total Portsmouth City Public Schools,-,"164,990,386","165,777,950","165,777,950"
,910 Community Development,910 Community Development,,,
Intergovernmental Revenue,,,,,
Federal Revenue,,-,"2,649,926","2,552,522","2,552,522"
Total Community Development,Total Community Development,-,"2,649,926","2,552,522","2,552,522"
,Total Funding Sources,"378,326,428","547,938,307","553,631,327","558,951,772"
Fiscal Year 2012,17,,,,Summary Reports
