Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”,Name: “Table 1 of 1 on page 26 of 39”
"consisted of the following as of July 1, 2010:","consisted of the following as of July 1, 2010:","consisted of the following as of July 1, 2010:","consisted of the following as of July 1, 2010:","consisted of the following as of July 1, 2010:","consisted of the following as of July 1, 2010:",,,,,,,,,,,,,
,,,,,,,,,,,,,PSRS,,,FPRS,FPRS,
Retirees and beneficiaries,Retirees and beneficiaries,Retirees and beneficiaries,Retirees and beneficiaries,,,,,,,,,,,387,387,,561,
Vested terminated employees not yet receiving benefits,Vested terminated employees not yet receiving benefits,Vested terminated employees not yet receiving benefits,Vested terminated employees not yet receiving benefits,Vested terminated employees not yet receiving benefits,Vested terminated employees not yet receiving benefits,Vested terminated employees not yet receiving benefits,Vested terminated employees not yet receiving benefits,,,,,,,46,46,,55,
Current vested employee s,Current vested employee s,Current vested employee s,Current vested employee s,,,,,,,,,,,48,48,,138,
,,,,,,,,,,,,,,481,481,,754,
Summary of Significant Accounting Policies,Summary of Significant Accounting Policies,Summary of Significant Accounting Policies,Summary of Significant Accounting Policies,Summary of Significant Accounting Policies,Summary of Significant Accounting Policies,,,,,,,,,,,,,
The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System,The City accounts for the Portsmouth Supplemental Retirement System and the Fire and Police Retirement System
as pension trust funds and does not separately issue financial reports for these plans.,as pension trust funds and does not separately issue financial reports for these plans.,as pension trust funds and does not separately issue financial reports for these plans.,as pension trust funds and does not separately issue financial reports for these plans.,as pension trust funds and does not separately issue financial reports for these plans.,as pension trust funds and does not separately issue financial reports for these plans.,as pension trust funds and does not separately issue financial reports for these plans.,as pension trust funds and does not separately issue financial reports for these plans.,as pension trust funds and does not separately issue financial reports for these plans.,as pension trust funds and does not separately issue financial reports for these plans.,as pension trust funds and does not separately issue financial reports for these plans.,as pension trust funds and does not separately issue financial reports for these plans.,as pension trust funds and does not separately issue financial reports for these plans.,The financial statements of the,The financial statements of the,The financial statements of the,The financial statements of the,The financial statements of the,The financial statements of the
pension trust funds are prepared using the accrual basis of accounting.,pension trust funds are prepared using the accrual basis of accounting.,pension trust funds are prepared using the accrual basis of accounting.,pension trust funds are prepared using the accrual basis of accounting.,pension trust funds are prepared using the accrual basis of accounting.,pension trust funds are prepared using the accrual basis of accounting.,pension trust funds are prepared using the accrual basis of accounting.,pension trust funds are prepared using the accrual basis of accounting.,pension trust funds are prepared using the accrual basis of accounting.,pension trust funds are prepared using the accrual basis of accounting.,pension trust funds are prepared using the accrual basis of accounting.,Contributions to each plan are recognized,Contributions to each plan are recognized,Contributions to each plan are recognized,Contributions to each plan are recognized,Contributions to each plan are recognized,Contributions to each plan are recognized,Contributions to each plan are recognized,Contributions to each plan are recognized
when due.,when due.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.,Benefits and refunds are recognized when due and payable in accordance with the terms of each plan.
Investments are reported at fair value.,Investments are reported at fair value.,Investments are reported at fair value.,Investments are reported at fair value.,Investments are reported at fair value.,Securities traded on a national exchange are valued at the last reported sales,Securities traded on a national exchange are valued at the last reported sales,Securities traded on a national exchange are valued at the last reported sales,Securities traded on a national exchange are valued at the last reported sales,Securities traded on a national exchange are valued at the last reported sales,Securities traded on a national exchange are valued at the last reported sales,Securities traded on a national exchange are valued at the last reported sales,Securities traded on a national exchange are valued at the last reported sales,Securities traded on a national exchange are valued at the last reported sales,Securities traded on a national exchange are valued at the last reported sales,Securities traded on a national exchange are valued at the last reported sales,Securities traded on a national exchange are valued at the last reported sales,Securities traded on a national exchange are valued at the last reported sales,Securities traded on a national exchange are valued at the last reported sales
price.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,Investments that do not have an established market value are reported at estimated fair value.,,,
Contributions,Contributions,Contributions,,,,,,,,,,,,,,,,
The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates,The funding policy of PSRS and FPRS provides for periodic employer contributions at actuarially determined rates
which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet,which will remain relatively level over time as a percentage of payroll and will accumulate sufficient assets to meet
the cost of all basic benefits when due.,the cost of all basic benefits when due.,the cost of all basic benefits when due.,the cost of all basic benefits when due.,the cost of all basic benefits when due.,Rates necessary to support post-retirement supplements which may be,Rates necessary to support post-retirement supplements which may be,Rates necessary to support post-retirement supplements which may be,Rates necessary to support post-retirement supplements which may be,Rates necessary to support post-retirement supplements which may be,Rates necessary to support post-retirement supplements which may be,Rates necessary to support post-retirement supplements which may be,Rates necessary to support post-retirement supplements which may be,Rates necessary to support post-retirement supplements which may be,Rates necessary to support post-retirement supplements which may be,Rates necessary to support post-retirement supplements which may be,Rates necessary to support post-retirement supplements which may be,Rates necessary to support post-retirement supplements which may be,Rates necessary to support post-retirement supplements which may be
payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,payable in addition to the basic benefits are determined separately on a pay-as-you-go basis.,,,,
"Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.","Total contributions to the PSRS and FPRS for fiscal year 2010 were $2,615,000 and $12,667,000, respectively.",The
annual,required,required,contributions,of,"$2,570,503",and,"$11,384,382","$11,384,382","$11,384,382",were,calculated,calculated,in,accordance,accordance,with,actuarially,actuarially
"determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.","determined requirements computed through an actuarial valuation performed as of July 1, 2008.",,,
Annual Pension Cost,Annual Pension Cost,Annual Pension Cost,Annual Pension Cost,,,,,,,,,,,,,,,
"The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal","The required contributions were determined as part of the July 1, 2008 actuarial valuation using the entry age normal"
actuarial cost method.,actuarial cost method.,actuarial cost method.,actuarial cost method.,"The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,","The actuarial assumptions included (a) 3% inflation rate, (b) 8% investment rate of return,"
and,(c),projected,salary,increases,ranging,from,5.0%,to,6.0%,per,"year,",and,(d),3.0%,per,year,cost-of-living,cost-of-living
adjustments.,adjustments.,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-,The 30-year amortization period for Unfunded Actuarial Accrued Liability is phasing down in one-
"year increments beginning July 1, 2007.","year increments beginning July 1, 2007.","year increments beginning July 1, 2007.","year increments beginning July 1, 2007.","year increments beginning July 1, 2007.",The actuarial value of the City’s assets is equal to the market value of,The actuarial value of the City’s assets is equal to the market value of,The actuarial value of the City’s assets is equal to the market value of,The actuarial value of the City’s assets is equal to the market value of,The actuarial value of the City’s assets is equal to the market value of,The actuarial value of the City’s assets is equal to the market value of,The actuarial value of the City’s assets is equal to the market value of,The actuarial value of the City’s assets is equal to the market value of,The actuarial value of the City’s assets is equal to the market value of,The actuarial value of the City’s assets is equal to the market value of,The actuarial value of the City’s assets is equal to the market value of,The actuarial value of the City’s assets is equal to the market value of,The actuarial value of the City’s assets is equal to the market value of,The actuarial value of the City’s assets is equal to the market value of
assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,The net pension asset is recorded in the government-wide Statement of Net Assets.,,,,
,,,,,,53,,,,,,,,,,,,
