General Fund Revenues
This page intentionally left blank
,Rent - Equipment,"15,212","90,000","20,000","25,700"
,Ticket System- Cultural Center,"519,440","450,000","450,000","450,000"
,Rent - Picnic Shelters,"28,655","28,000","28,000","28,000"
,Commissions -J ail Telephone,"672,000","672,000","672,000","600,000"
,Rent - Selden1,0,0,0,"155,000"
,Rent - Cruise Ship Terminal,"345,984","300,000","300,000","360,000"
,Rent - Nauticus,"73,029","100,000","100,000","100,000"
,Sales - Nauticus Merchandise,"564,962","550,000","550,000","610,000"
Total Use of Money and Property,Total Use of Money and Property,"6,949,563","6,903,200","6,866,200","7,226,500"
CHARGES FOR SERVICES,CHARGES FOR SERVICES,,,,
,Court Costs,"123,199","125,000","120,000","120,000"
,Courthouse Security Assessment,"379,738","400,000","350,000","350,000"
,Courthouse Construction Fee,"227,371","240,000","225,000","225,000"
,DNA Charges,"2,950","3,000","3,000","3,000"
,Fees - High Constable,"500,153","475,000","475,000","475,000"
,Jail Processing Fees,"26,592","25,000","26,500","26,500"
,Fees - Court Officers,"29,500","18,000","22,000","22,000"
,Fees - Excess,"93,354","98,000","78,000","78,000"
,Fees - City Sheriff,"38,597","38,100","38,100","38,100"
,Detention Home Charge For Ward,"69,314","79,800","55,000","53,550"
,Fees - Jail Booking,"3,129","2,000","2,500","2,500"
,Miscellaneous School Fees,"3,459,824","3,977,200","3,977,200","3,977,226"
,Youth Development Fees,"6,015","6,400","10,000","10,000"
,Paramedical Rescue Service,"4,174,733","3,900,000","3,900,000","4,636,000"
,Charges - Insurance,"100,000","100,000","100,000","100,000"
,Charges - Animal Protection,"43,051","45,000","50,000","50,000"
,Police Records And Reports,"75,714","75,000","90,000","165,048"
,Public Vehicle Inspection Certification,"23,066","22,000","23,000","23,000"
,Non-Emergency Traffic Escort,"18,975","18,000","16,000","18,500"
,Fees - Library Fines,"151,012","182,000","160,000","175,000"
,Charges - Public Works,"563,110","901,700","759,700","760,000"
,Charges - Materials - Street and Bridges,"216,068","56,000","250,000","242,000"
68,General Fund Revenue Summary,,,,
,,FY 2012,FY 2013,FY 2013,FY 2014,
Revenue Source,,,,,,
,,Actual,Approved,Estimate,Approved,
Zoo Admission,,"1,930,041","2,158,200","1,976,379","2,157,100",
Charges - Transient Yacht,,"166,109","150,000","150,000","95,000",
Charges Information System,,-200,0,0,0,
Sales Surveys/Blueprints/Maps,,"21,185","20,000","20,000","20,000",
Fees - Refuse Disposal,,"20,530,847","21,034,000","20,600,000","20,949,000",
Fees - Tax Abatement,,"2,250","1,500","3,250",0,
Recreation/Parks Fees1,,0,0,0,"400,000",
Recreation/Parks Classes Fees1,,0,0,0,"425,000",
Recreation/Parks Concession Fees1,Recreation/Parks Concession Fees1,0,0,0,"5,500",
Recreation/Parks Rental Fees1,,0,0,0,"60,000",
Recreation/Parks Camp Wakeup,1,0,0,0,"450,000",
Cruise Ship Terminal Fees1,,0,0,0,"630,000",
Fees - Nauticus Admissions,,"1,424,429","1,727,638","1,638,093","1,610,230",
Fees - Nauticus Memberships,,"26,812","30,000","30,000","20,000",
Total Charges for Services,,"34,426,938","35,908,538","35,148,722","38,372,254",
MISCELLANEOUS REVENUE,,,,,,
Payments In Lieu Of Taxes,,"3,989,996","3,953,600","3,953,600","4,204,700",
Navy PPV Payment,,"3,110,892","2,911,500","3,266,981","2,916,700",
DMV Select Fees,,"85,941","85,000","90,000","103,300",
Fees - Duplicate Real Prop Bills,,"2,975","2,000","2,500","2,500",
Admin. Fees - Nuisance Abatement,Admin. Fees - Nuisance Abatement,0,200,200,200,
Sale of Other Property,,"6,233","5,700","5,700","5,700",
Sale of Unclaimed Property,,"3,397",0,"3,500","6,500",
Admin. Fees - Real Estate Tax1,,0,0,0,"25,000",
Admin. Fees - Personal Property Tax1,Admin. Fees - Personal Property Tax1,0,0,0,"25,000",
Admin. Fees - DMV Stop,,"581,490","550,000","580,000","580,000",
Other Miscellaneous Revenue,,"533,379","1,395,676","447,605","1,910,603",
Community Development Fund,,"1,800","1,100","1,100","1,100",
Proceeds from Sale Of Land,,"288,805",0,"481,119",0,
Total Miscellaneous Revenue,,"8,604,908","8,904,776","8,832,305","9,781,303",
RECOVERED COSTS,,,,,,
Utilities,,0,0,0,"55,000",
Transport of Prisoner,,"57,496","50,000","57,000","75,000",
Zoo,,"6,247","5,600","5,600","5,600",
Nuisance Abatement,,"345,717","280,000","300,000","385,000",
Retirement Bureau,,"411,971","540,000","420,000","430,000",
Insurance,,"20,198","2,000","2,000","2,000",
Benefits Program Administration,Benefits Program Administration,0,"6,000","6,000","8,000",
,,,General Fund Revenue Summary,General Fund Revenue Summary,General Fund Revenue Summary,69
,,FY 2012,FY 2013,FY 2013,FY 2014
Revenue Source,Revenue Source,,,,
,,Actual,Approved,Estimate,Approved
,Miscellaneous Salaries (Police),"664,495","623,000","630,000","630,000"
,Healthcare Consortium Contribution,"165,596","170,000","178,000","190,600"
,Community Development Fund,0,"212,200","190,000","212,200"
,General Overhead - Water Fund,"1,563,400","1,422,300","1,422,300","1,376,100"
,Debt Service,"2,194,171","3,185,300","2,421,449","2,893,600"
,Telephone Charges,"349,567","372,200","372,200","372,200"
,Public Information,"4,524","5,000","5,000","5,100"
,Recoveries and Rebates,"616,371","421,100","893,409","173,600"
,General Overhead - Wastewater Fund,"320,600","448,300","448,300","376,800"
,Information System Support,"1,367,964","1,350,000","1,350,000","1,350,000"
,Jail Meals,"510,291","445,000","525,000","525,000"
,ACR Assessments,"1,500","8,500","1,000","2,800"
,General Overhead - Parking Fund,"396,200","394,300","394,300","356,100"
,Storm Water,"746,320","837,400","837,400","837,400"
,Solid Waste - Public Housing,"416,286","414,000","414,000","414,000"
,Selden Rental Income1,"153,076","180,000","140,000",0
Total Recovered Costs,Total Recovered Costs,"10,311,990","11,372,200","11,012,958","10,676,100"
REVENUES FROM THE COMMONWEALTH,REVENUES FROM THE COMMONWEALTH,,,,
NON-CATEGORICAL AID,NON-CATEGORICAL AID,,,,
,Taxes - Rolling Stock,"193,234","178,000","178,000","178,000"
,Taxes - Mobile Home Title,"7,222","8,000","7,000","7,000"
,Rental of Passenger Cars,"3,386,755","3,200,000","3,300,000","3,300,000"
,Law Enforcement (HB 599),"11,174,996","11,175,000","11,175,000","11,175,000"
,Grantors Tax on Deeds,"418,914","550,000","450,000","450,000"
,Personal Property Tax Relief,"16,871,056","16,871,000","16,871,000","16,871,000"
Total Non-Categorical Aid,Total Non-Categorical Aid,"32,052,177","31,982,000","31,981,000","31,981,000"
SHARED EXPENSES,SHARED EXPENSES,,,,
,City Treasurer,"447,001","454,200","454,200","462,100"
,Clerk of the Circuit Court2,"1,438,260","1,475,000","1,420,000","1,606,300"
,Commissioner of the Revenue,"520,485","521,400","521,400","544,400"
,Commonwealth Attorney,"2,449,868","2,460,100","2,460,100","2,739,100"
,Registrar/Electoral Board,"113,445","68,200","68,200","73,000"
,Sheriff,"14,317,768","14,354,300","14,354,300","15,395,150"
Total Shared Expenses,Total Shared Expenses,"19,286,827","19,333,200","19,278,200","20,820,050"
CATEGORICAL AID,CATEGORICAL AID,,,,
,Revenue from the Commonwealth,0,"173,174","37,726","37,726"
,Public Assistance Grants,"12,266,834","8,417,800","8,800,000","8,418,240"
,Social Services Administration,"21,877,318","22,377,600","21,800,000","22,171,000"
70,General Fund Revenue Summary,,,,
,,,,,,,FY 2012,FY 2012,FY 2013,FY 2013,FY 2013,FY 2013,FY 2013,FY 2014,FY 2014,
Revenue Source,Revenue Source,Revenue Source,,,,,,,,,,,,,,
,,,,,,,Actual,Actual,Approved,Approved,Estimate,Estimate,Estimate,Approved,Approved,
,State Sales and Use Tax for Schools,State Sales and Use Tax for Schools,State Sales and Use Tax for Schools,State Sales and Use Tax for Schools,,"30,310,617","30,310,617","30,310,617","31,580,750","31,580,750","31,580,750","31,580,750","31,580,750","31,758,101","31,758,101",
,State School Funds,State School Funds,,,,"142,112,664","142,112,664","142,112,664","148,130,470","148,130,470","148,130,470","148,130,470","148,130,470","148,544,961","148,544,961",
,Street and Maintenance,Street and Maintenance,,,,"20,907,398","20,907,398","20,907,398","21,430,000","21,430,000","21,315,859","21,315,859","21,315,859","21,955,300","21,955,300",
,Group Life Ins. - State Employee2,Group Life Ins. - State Employee2,Group Life Ins. - State Employee2,Group Life Ins. - State Employee2,,,"2,736","2,736","2,500","2,500",,"2,700","2,700",,0,
,Retirement - State Employee 2,Retirement - State Employee 2,Retirement - State Employee 2,Retirement - State Employee 2,,,"25,682","25,682","35,000","35,000",,"26,000","26,000","6,000","6,000",
,Social Security - State Employee2,Social Security - State Employee2,Social Security - State Employee2,Social Security - State Employee2,,,"73,698","73,698","65,000","65,000",,"72,000","72,000",,0,
,State Library Grant,State Library Grant,,,,,"175,859","175,859","176,900","176,900","176,900","176,900","176,900","181,500","181,500",
,Div. of Youth Services Facilities,Div. of Youth Services Facilities,Div. of Youth Services Facilities,Div. of Youth Services Facilities,,,"1,925,406","1,925,406","1,884,200","1,884,200","1,970,276","1,970,276","1,970,276","1,970,300","1,970,300",
,Shared Expenses - Jail Support,Shared Expenses - Jail Support,Shared Expenses - Jail Support,Shared Expenses - Jail Support,,,"2,607,983","2,607,983","2,340,700","2,340,700","2,600,000","2,600,000","2,600,000","2,735,000","2,735,000",
,Port Funding,Port Funding,,,,,"609,666","609,666","609,700","609,700","609,666","609,666","609,666","609,700","609,700",
,State Recordation Tax,State Recordation Tax,,,,,"664,191","664,191","700,000","700,000","650,000","650,000","650,000","700,000","700,000",
Total Categorical Aid,Total Categorical Aid,Total Categorical Aid,,,,"233,560,052 237,923,794 237,772,347 239,087,828","233,560,052 237,923,794 237,772,347 239,087,828","233,560,052 237,923,794 237,772,347 239,087,828","233,560,052 237,923,794 237,772,347 239,087,828","233,560,052 237,923,794 237,772,347 239,087,828","233,560,052 237,923,794 237,772,347 239,087,828","233,560,052 237,923,794 237,772,347 239,087,828","233,560,052 237,923,794 237,772,347 239,087,828","233,560,052 237,923,794 237,772,347 239,087,828","233,560,052 237,923,794 237,772,347 239,087,828",
REVENUES FROM THE COMMONWEALTH,REVENUES FROM THE COMMONWEALTH,REVENUES FROM THE COMMONWEALTH,REVENUES FROM THE COMMONWEALTH,REVENUES FROM THE COMMONWEALTH,,"284,899,056 289,238,994 289,031,547 291,888,878","284,899,056 289,238,994 289,031,547 291,888,878","284,899,056 289,238,994 289,031,547 291,888,878","284,899,056 289,238,994 289,031,547 291,888,878","284,899,056 289,238,994 289,031,547 291,888,878","284,899,056 289,238,994 289,031,547 291,888,878","284,899,056 289,238,994 289,031,547 291,888,878","284,899,056 289,238,994 289,031,547 291,888,878","284,899,056 289,238,994 289,031,547 291,888,878","284,899,056 289,238,994 289,031,547 291,888,878",
FEDERAL AID,FEDERAL AID,FEDERAL AID,,,,,,,,,,,,,,
,Disaster Relief Aid,Disaster Relief Aid,,,,,"140,067","140,067","1,960,000","1,960,000","1,263,925","1,263,925","1,263,925","1,984,700","1,984,700",
,Federal School Funds,Federal School Funds,,,,"12,817,916","12,817,916","12,817,916","4,836,600","4,836,600","4,836,600","4,836,600","4,836,600","4,545,721","4,545,721",
,Social Security Payments - Prisoners,Social Security Payments - Prisoners,Social Security Payments - Prisoners,Social Security Payments - Prisoners,,,"9,200","9,200","8,600","8,600",,"9,200","9,200","9,200","9,200",
Total Federal Aid,Total Federal Aid,Total Federal Aid,,,,"12,967,183","12,967,183","12,967,183","6,805,200","6,805,200","6,109,725","6,109,725","6,109,725","6,539,621","6,539,621",
OTHER SOURCES AND TRANSFERS IN,OTHER SOURCES AND TRANSFERS IN,OTHER SOURCES AND TRANSFERS IN,OTHER SOURCES AND TRANSFERS IN,OTHER SOURCES AND TRANSFERS IN,,,,,,,,,,,,
,Rollover from Last Year,Rollover from Last Year,,,,,,,,,,,,,,
,General Fund,General Fund,,,,"16,057,700","16,057,700","16,057,700","19,271,473","19,271,473","19,271,473","19,271,473","19,271,473","19,575,630","19,575,630",
,Cruise Ship Terminal,Cruise Ship Terminal,,,,,"1,641,400","1,641,400",,0,,,0,,0,
,Transfer from Wastewater Fund,Transfer from Wastewater Fund,Transfer from Wastewater Fund,Transfer from Wastewater Fund,,,"1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000","1,500,000",
,Return from Water Utility Fund,Return from Water Utility Fund,Return from Water Utility Fund,Return from Water Utility Fund,,,"8,500,000","8,500,000","8,500,000","8,500,000","8,500,000","8,500,000","8,500,000","8,500,000","8,500,000",
,Transfer from Broad Creek TIF Fund,Transfer from Broad Creek TIF Fund,Transfer from Broad Creek TIF Fund,Transfer from Broad Creek TIF Fund,,,"2,202,961","2,202,961",,0,,,0,,0,
,Transfer from Special Revenue,Transfer from Special Revenue,Transfer from Special Revenue,Transfer from Special Revenue,,,,0,"500,000","500,000","520,897","520,897","520,897",,0,
,Transfer from Storehouse Fund,Transfer from Storehouse Fund,Transfer from Storehouse Fund,Transfer from Storehouse Fund,,,,0,,0,,,0,"1,750,000","1,750,000",
,Transfer from Norfolk Public Schools,Transfer from Norfolk Public Schools,Transfer from Norfolk Public Schools,Transfer from Norfolk Public Schools,,,,0,"6,121,700","6,121,700","6,121,700","6,121,700","6,121,700","7,741,873","7,741,873",
,Transfer from Parking to Cruise,Transfer from Parking to Cruise,Transfer from Parking to Cruise,Transfer from Parking to Cruise,,,"86,978","86,978","50,000","50,000",,"50,000","50,000","35,000","35,000",
Total Other Sources and Transfers In,Total Other Sources and Transfers In,Total Other Sources and Transfers In,Total Other Sources and Transfers In,Total Other Sources and Transfers In,,"29,989,039","29,989,039","29,989,039","35,943,173","35,943,173","35,964,070","35,964,070","35,964,070","39,102,503","39,102,503",
Total General Fund,Total General Fund,Total General Fund,,,,"795,566,423 799,790,809 797,393,363 817,500,799","795,566,423 799,790,809 797,393,363 817,500,799","795,566,423 799,790,809 797,393,363 817,500,799","795,566,423 799,790,809 797,393,363 817,500,799","795,566,423 799,790,809 797,393,363 817,500,799","795,566,423 799,790,809 797,393,363 817,500,799","795,566,423 799,790,809 797,393,363 817,500,799","795,566,423 799,790,809 797,393,363 817,500,799","795,566,423 799,790,809 797,393,363 817,500,799","795,566,423 799,790,809 797,393,363 817,500,799",
1,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public,Reflects reclassification of revenue source to be consistent with the Commonwealth of Virginia Auditor of Public
Accounts recommended reporting classification.,Accounts recommended reporting classification.,Accounts recommended reporting classification.,Accounts recommended reporting classification.,Accounts recommended reporting classification.,Accounts recommended reporting classification.,,,,,,,,,,,
2,Reflects,reclassification,of,the,reimbursement,of,fringe,benefits,of,the,Clerk,of,Circuit,Court,by,the
Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other,Commonwealth of Virginia Compensation Board to the Shared Expenses category to be consistent with other
Constitutional Officers reimbursement.,Constitutional Officers reimbursement.,Constitutional Officers reimbursement.,Constitutional Officers reimbursement.,Constitutional Officers reimbursement.,,,,,,,,,,,,
,,,,,,,,,,General Fund Revenue Summary,General Fund Revenue Summary,General Fund Revenue Summary,General Fund Revenue Summary,General Fund Revenue Summary,General Fund Revenue Summary,71
This page intentionally left blank
