,• Contract Reduction,• Contract Reduction,• Contract Reduction,• Contract Reduction,• Contract Reduction,,,,,,,,,,,,,,,
,,The,priority,of,Well-Managed,Well-Managed,Well-Managed,Government,Government,is,to,create,,a,data-driven,data-driven,,,,
,,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,organization that provides effective and efficient city programs and services,,,,
,,"that are responsive, accountable, inclusive, and customer focused.","that are responsive, accountable, inclusive, and customer focused.","that are responsive, accountable, inclusive, and customer focused.","that are responsive, accountable, inclusive, and customer focused.","that are responsive, accountable, inclusive, and customer focused.","that are responsive, accountable, inclusive, and customer focused.","that are responsive, accountable, inclusive, and customer focused.","that are responsive, accountable, inclusive, and customer focused.","that are responsive, accountable, inclusive, and customer focused.","that are responsive, accountable, inclusive, and customer focused.","that are responsive, accountable, inclusive, and customer focused.","that are responsive, accountable, inclusive, and customer focused.","that are responsive, accountable, inclusive, and customer focused.",,,,,,
"In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,","In these difficult economic times, our organizational focus has been on examining existing operations,"
identifying,identifying,core,services,services,and,looking,for,operational,operational,efficiencies.,efficiencies.,,Our,Our,efforts,for,a,well-managed,well-managed,well-managed
government require vision and purpose.,government require vision and purpose.,government require vision and purpose.,government require vision and purpose.,government require vision and purpose.,government require vision and purpose.,government require vision and purpose.,,,,,,,,,,,,,,
As,we,weave,the,concepts,concepts,of,well-managed,government,government,government,into,the,fabric,fabric,of,the,"organization,","organization,",it,is
apparent that city employees are up to the challenge.,apparent that city employees are up to the challenge.,apparent that city employees are up to the challenge.,apparent that city employees are up to the challenge.,apparent that city employees are up to the challenge.,apparent that city employees are up to the challenge.,apparent that city employees are up to the challenge.,apparent that city employees are up to the challenge.,apparent that city employees are up to the challenge.,apparent that city employees are up to the challenge.,"Since January 2008, the organization’s workforce","Since January 2008, the organization’s workforce","Since January 2008, the organization’s workforce","Since January 2008, the organization’s workforce","Since January 2008, the organization’s workforce","Since January 2008, the organization’s workforce","Since January 2008, the organization’s workforce","Since January 2008, the organization’s workforce","Since January 2008, the organization’s workforce","Since January 2008, the organization’s workforce","Since January 2008, the organization’s workforce"
has been reduced by a significant number of positions.,has been reduced by a significant number of positions.,has been reduced by a significant number of positions.,has been reduced by a significant number of positions.,has been reduced by a significant number of positions.,has been reduced by a significant number of positions.,has been reduced by a significant number of positions.,has been reduced by a significant number of positions.,has been reduced by a significant number of positions.,has been reduced by a significant number of positions.,It should be noted that our success in shrinking,It should be noted that our success in shrinking,It should be noted that our success in shrinking,It should be noted that our success in shrinking,It should be noted that our success in shrinking,It should be noted that our success in shrinking,It should be noted that our success in shrinking,It should be noted that our success in shrinking,It should be noted that our success in shrinking,It should be noted that our success in shrinking,It should be noted that our success in shrinking
the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,the organization may have resulted in the pendulum swinging too far.,We have successfully made,We have successfully made,We have successfully made,We have successfully made,We have successfully made,We have successfully made
government,government,government,"smaller,",but,at,what,cost?,Reductions,Reductions,in,operating,hours,hours,hours,at,recreation,recreation,centers,and,and
reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,reductions to library book budgets have raised concerns among many of our residents.,Landscaping,Landscaping,Landscaping
and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no,and tree-trimming services have been cut back to the point where in many instances our gateways no
longer reflect the pride our residents feel for this beautiful city.,longer reflect the pride our residents feel for this beautiful city.,longer reflect the pride our residents feel for this beautiful city.,longer reflect the pride our residents feel for this beautiful city.,longer reflect the pride our residents feel for this beautiful city.,longer reflect the pride our residents feel for this beautiful city.,longer reflect the pride our residents feel for this beautiful city.,longer reflect the pride our residents feel for this beautiful city.,longer reflect the pride our residents feel for this beautiful city.,longer reflect the pride our residents feel for this beautiful city.,longer reflect the pride our residents feel for this beautiful city.,longer reflect the pride our residents feel for this beautiful city.,"In the past, other issues such as tidal","In the past, other issues such as tidal","In the past, other issues such as tidal","In the past, other issues such as tidal","In the past, other issues such as tidal","In the past, other issues such as tidal","In the past, other issues such as tidal","In the past, other issues such as tidal","In the past, other issues such as tidal"
and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to,and precipitation flooding had been continuously pushed out into the future with no action plan to
address this issue.,address this issue.,address this issue.,address this issue.,,,,,,,,,,,,,,,,,
This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core,This Proposed Budget focuses on funding for our communities’ highest-priority programs and core
services.,services.,"Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals","Specifically, in the Proposed FY 2013 Budget Document, departments have linked their goals"
and objectives to the citywide priorities.,and objectives to the citywide priorities.,and objectives to the citywide priorities.,and objectives to the citywide priorities.,and objectives to the citywide priorities.,and objectives to the citywide priorities.,and objectives to the citywide priorities.,"Furthermore, throughout this process, we have put everything","Furthermore, throughout this process, we have put everything","Furthermore, throughout this process, we have put everything","Furthermore, throughout this process, we have put everything","Furthermore, throughout this process, we have put everything","Furthermore, throughout this process, we have put everything","Furthermore, throughout this process, we have put everything","Furthermore, throughout this process, we have put everything","Furthermore, throughout this process, we have put everything","Furthermore, throughout this process, we have put everything","Furthermore, throughout this process, we have put everything","Furthermore, throughout this process, we have put everything","Furthermore, throughout this process, we have put everything","Furthermore, throughout this process, we have put everything"
on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.,on the table for review and taken the stance that all programs must achieve their intended results.
"Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental","Additionally, in this budget, existing resources are being re-purposed in support of some fundamental"
services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard,services. This course of action is necessary to ensure Norfolk’s residents get the most out of their hard
earned tax dollars.,earned tax dollars.,earned tax dollars.,earned tax dollars.,,,,,,,,,,,,,,,,,
Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,Our employees understand improvements in efficiency are critical to organizational success.,"As a result,","As a result,","As a result,"
they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and,they are taking the lead to promote higher efficiency levels that produce increased levels of service and
reductions in service costs.,reductions in service costs.,reductions in service costs.,reductions in service costs.,reductions in service costs.,reductions in service costs.,"Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even","Moreover, our dedicated employees have seized upon this effort even"
though they have not received additional compensation since 2008.,though they have not received additional compensation since 2008.,though they have not received additional compensation since 2008.,though they have not received additional compensation since 2008.,though they have not received additional compensation since 2008.,though they have not received additional compensation since 2008.,though they have not received additional compensation since 2008.,though they have not received additional compensation since 2008.,though they have not received additional compensation since 2008.,though they have not received additional compensation since 2008.,though they have not received additional compensation since 2008.,though they have not received additional compensation since 2008.,though they have not received additional compensation since 2008.,,While the revenue lag resulting,While the revenue lag resulting,While the revenue lag resulting,While the revenue lag resulting,While the revenue lag resulting,While the revenue lag resulting,While the revenue lag resulting
from,the,slow,economic,economic,recovery,recovery,still,requires,us,to,undertake,,a,cautious,cautious,approach,approach,to,making,making
"commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent","commitments that have an ongoing financial impact on future budgets, I am proposing a two percent"
"across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.","across the board salary increase for all employees effective July 1, 2012.",This two percent increase is,This two percent increase is,This two percent increase is,This two percent increase is,This two percent increase is,This two percent increase is
just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,just one component of our efforts to make Norfolk an “Employer of Choice.”,,,,,,
,7,,,,,,,,,,,,,,,,,,,
