*,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,Continue to provide courteous and efficient service to all incoming callers and user departments.,,,,
Org#,11153000,,FY 2005,,FY 2006,,FY 2007,,FY 2007,,FY 2008,FY 2008,FY 2008,FY 2009,FY 2009,FY 2009,FY 2009,%,%
Object,Description,,Actual,,Actual,,Budget,,Actual,,Budget,Expected,Expected,Requested,Requested,Adopted,Adopted,Change,Total
511000,Salaries & Wages,$,"21,653",$,"22,116",$,"23,338",$,"23,339",$,"24,272",$,"24,272",$,"24,272",$,"25,518",5%,20%
513000,Part-time Salaries,,695,,326,,"2,000",,"1,068",,"2,000",,"2,000",,"2,000",,"1,300",-35%,1%
521000,Fica/Medicare,,-,,-,,"1,939",,"1,594",,"2,010",,"2,010",,"2,010",,"2,052",2%,2%
522100,VRS - Retirement,,-,,-,,"2,408",,"2,528",,"2,629",,"2,629",,"2,629",,"3,118",19%,2%
523000,Hospital/Medical Plan,,-,,-,,"7,223",,"7,171",,"7,223",,"7,223",,"7,223",,"7,725",7%,6%
523100,Dental Insurance,,-,,-,,607,,608,,608,,608,,608,,627,3%,0%
524000,Group Life Insurance,,-,,-,,285,,264,,274,,274,,274,,227,-17%,0%
528100,Deferred Comp Plan,,-,,-,,-,,-,,-,,-,,-,,-,N/A,0%
529000,Fringe Benefits,,"3,080",,"5,325",,-,,-,,-,,-,,-,,-,N/A,0%
531700 C,Professional Services,,-,,-,,-,,-,,"32,000",,"32,000",,"41,000",,"41,000",28%,33%
533100,Equip. Repair & Maint.,,"3,756",,"4,275",,"5,000",,"4,669",,"5,000",,"5,000",,"5,000",,"5,000",0%,4%
552100,Postage,,"1,802",,"4,685",,"3,500",,(294),,"3,500",,"3,500",,"4,000",,"3,500",0%,3%
552300 B,Telephone,,"55,943",,"57,797",,"3,500",,"6,409",,"7,500",,"7,500",,"7,500",,"4,500",-40%,4%
555010,Travel/Training,,-,,-,,,,-,,"2,500",,"2,500",,"2,500",,"1,000",-60%,1%
558060 A,Operating,,-,,-,,500,,"6,545",,"22,750",,"22,750",,"27,000",,"27,000",19%,21%
558100,Dues and Subscriptions,,-,,-,,,,-,,500,,500,,500,,250,-50%,0%
560010,Office Supplies,,252,,"1,049",,750,,"2,016",,750,,750,,750,,750,0%,1%
580100,Equipment,,"16,464",,916,,"2,500",,972,,"2,500",,"2,500",,"2,500",,"2,500",0%,2%
554100,Rental,,228,,-,,-,,-,,-,,-,,-,,-,N/A,0%
,TOTAL,$,"103,871",$,"96,489",$,"53,550",$,"56,889",$,"116,016",$,"116,016",$,"129,766",$,"126,067",9%,100%
Personnel Summary,Personnel Summary,,,,,,FY 2007,,,,FY 2009,,,,,,,,
Grade,Job Class / Position,,,,FTE,,Budget,,FTE,,Budget,,,,,,,,
39,Receptionist/Switchboard Operator,Receptionist/Switchboard Operator,,,1.0,$,"24,272",,1.0,$,"25,518",,,,,,,,
,Total,,,,1.0,$,"24,272",,1.0,$,"25,518",,,,,,,,
NOTE A:,Costs for production of County Newsleter,Costs for production of County Newsleter,Costs for production of County Newsleter,,,,,,,,,,,,,,,,
"NOTE B: Beginning in FY 2007, telephone costs were allocated to departmental budgets.","NOTE B: Beginning in FY 2007, telephone costs were allocated to departmental budgets.","NOTE B: Beginning in FY 2007, telephone costs were allocated to departmental budgets.","NOTE B: Beginning in FY 2007, telephone costs were allocated to departmental budgets.","NOTE B: Beginning in FY 2007, telephone costs were allocated to departmental budgets.","NOTE B: Beginning in FY 2007, telephone costs were allocated to departmental budgets.","NOTE B: Beginning in FY 2007, telephone costs were allocated to departmental budgets.","NOTE B: Beginning in FY 2007, telephone costs were allocated to departmental budgets.","NOTE B: Beginning in FY 2007, telephone costs were allocated to departmental budgets.",,,,,,,,,,,
,FY 2008 reflects local and long distance cost for receptionist and automated attendant.,FY 2008 reflects local and long distance cost for receptionist and automated attendant.,FY 2008 reflects local and long distance cost for receptionist and automated attendant.,FY 2008 reflects local and long distance cost for receptionist and automated attendant.,FY 2008 reflects local and long distance cost for receptionist and automated attendant.,FY 2008 reflects local and long distance cost for receptionist and automated attendant.,FY 2008 reflects local and long distance cost for receptionist and automated attendant.,FY 2008 reflects local and long distance cost for receptionist and automated attendant.,FY 2008 reflects local and long distance cost for receptionist and automated attendant.,,,,,,,,,,
NOTE C:,Includes services for PEG channel (Prime Media) which was previously accounted for under IT.,Includes services for PEG channel (Prime Media) which was previously accounted for under IT.,Includes services for PEG channel (Prime Media) which was previously accounted for under IT.,Includes services for PEG channel (Prime Media) which was previously accounted for under IT.,Includes services for PEG channel (Prime Media) which was previously accounted for under IT.,Includes services for PEG channel (Prime Media) which was previously accounted for under IT.,Includes services for PEG channel (Prime Media) which was previously accounted for under IT.,Includes services for PEG channel (Prime Media) which was previously accounted for under IT.,Includes services for PEG channel (Prime Media) which was previously accounted for under IT.,Includes services for PEG channel (Prime Media) which was previously accounted for under IT.,Includes services for PEG channel (Prime Media) which was previously accounted for under IT.,,,,,,,,
,"Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.","Includes $17,000 for videotaping BOS meetings and $8,400 for videotaping Planning Commission Meeting beginning in FY09.",,,,
,,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,,,,
,,,,,,,,,,,,,,,,,,,Page 45
