Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”,Name: “Table 1 of 1 on page 112 of 157”
597310,County Capital Projects,$,"1,607,430",$,"3,675,181",$,"7,182,992",$,"8,144,056","$ 36,635,000","$ 36,635,000","$ 36,635,000",$,"8,040,000",$,"3,400,000",-91%,100%
,TOTAL,$,"1,607,430",$,"3,675,181",$,"7,182,992",$,"8,144,056","$ 36,635,000","$ 36,635,000","$ 36,635,000",$,"8,040,000",$,"3,400,000",-91%,100%
,NOTE:,Above excludes planned expenditures in other Funds:,Above excludes planned expenditures in other Funds:,Above excludes planned expenditures in other Funds:,Above excludes planned expenditures in other Funds:,Above excludes planned expenditures in other Funds:,Above excludes planned expenditures in other Funds:,,,,,,,,,,,
,Transfer to School Capital Fund,Transfer to School Capital Fund,Transfer to School Capital Fund,,,,,,,$,"2,441,592",,,,$,-,,
,Public Utility Fund,,,,,,,,,,"5,215,000",,,,,"4,710,000",,
,,,,,,,,,,$,"7,656,592",,,,$,"4,710,000",,
,TOTAL CAPITAL FUNDING '08':,TOTAL CAPITAL FUNDING '08':,TOTAL CAPITAL FUNDING '08':,,,,,,,"$ 44,291,592","$ 44,291,592",,,,$,"8,110,000",,
,Revenue Sources,,,,,,,,,,Adopted,,,,,,,
,,,,General Capital School Capital,General Capital School Capital,General Capital School Capital,General Capital School Capital,Public Utilities,Public Utilities,,,,,,,Total,,
,GF Operating Revenues,,,$,"1,000,000",$,-,$,-,,,,,,$,"1,000,000",,
,General Fund Reserves,,,,"470,000",,-,,,,,,,,,"470,000",,
,GF Reserve - Cash Proffers,GF Reserve - Cash Proffers,GF Reserve - Cash Proffers,,"1,080,000",,-,,,,,,,,,"1,080,000",,
,Bonded / Note Indebtedness,Bonded / Note Indebtedness,Bonded / Note Indebtedness,,"850,000",,,,"4,710,000",,,,,,,"5,560,000",,
,Public Utility Revenues,,,,-,,,,-,,,,,,,-,,
,Grants / Donations / Others,Grants / Donations / Others,,,-,,-,,-,,,,,,,-,,
,,,,$,"3,400,000",$,-,$,"4,710,000",,,,,,$,"8,110,000",,
,,,,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,,,
,,,,,,,,,,,,,,,,,Page 106,Page 106
