Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”,Name: “Table 1 of 1 on page 101 of 157”
,,*,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,Establish policies and procedures to insure adequate public facilities are available to accommodate new development.,,
,,*,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,Improve and automate internal record keeping for case management and plan review activities.,,,,,
,,*,"Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a","Complete implementation of the Booker T. Estates Community Development Block Grant Program, and provide a",,
,,,relocation resource for the Pinewood Heights Relocation Project.,relocation resource for the Pinewood Heights Relocation Project.,relocation resource for the Pinewood Heights Relocation Project.,relocation resource for the Pinewood Heights Relocation Project.,relocation resource for the Pinewood Heights Relocation Project.,relocation resource for the Pinewood Heights Relocation Project.,relocation resource for the Pinewood Heights Relocation Project.,relocation resource for the Pinewood Heights Relocation Project.,relocation resource for the Pinewood Heights Relocation Project.,relocation resource for the Pinewood Heights Relocation Project.,,,,,,,,,,,,
,,*,Administer and oversee the goals and objectives of the Rt. 17 Master Plan.,Administer and oversee the goals and objectives of the Rt. 17 Master Plan.,Administer and oversee the goals and objectives of the Rt. 17 Master Plan.,Administer and oversee the goals and objectives of the Rt. 17 Master Plan.,Administer and oversee the goals and objectives of the Rt. 17 Master Plan.,Administer and oversee the goals and objectives of the Rt. 17 Master Plan.,Administer and oversee the goals and objectives of the Rt. 17 Master Plan.,Administer and oversee the goals and objectives of the Rt. 17 Master Plan.,Administer and oversee the goals and objectives of the Rt. 17 Master Plan.,Administer and oversee the goals and objectives of the Rt. 17 Master Plan.,Administer and oversee the goals and objectives of the Rt. 17 Master Plan.,Administer and oversee the goals and objectives of the Rt. 17 Master Plan.,,,,,,,,,,
,,*,Carryout the Rt. 58 Corridor Study and Master Plan.,Carryout the Rt. 58 Corridor Study and Master Plan.,Carryout the Rt. 58 Corridor Study and Master Plan.,Carryout the Rt. 58 Corridor Study and Master Plan.,Carryout the Rt. 58 Corridor Study and Master Plan.,Carryout the Rt. 58 Corridor Study and Master Plan.,Carryout the Rt. 58 Corridor Study and Master Plan.,,,,,,,,,,,,,,,
,,*,Finalize the 2006 Comprehensive Plan update.,Finalize the 2006 Comprehensive Plan update.,Finalize the 2006 Comprehensive Plan update.,Finalize the 2006 Comprehensive Plan update.,Finalize the 2006 Comprehensive Plan update.,Finalize the 2006 Comprehensive Plan update.,,,,,,,,,,,,,,,,
,,*,Finalize revisions to the County Subdivision Ordinance.,Finalize revisions to the County Subdivision Ordinance.,Finalize revisions to the County Subdivision Ordinance.,Finalize revisions to the County Subdivision Ordinance.,Finalize revisions to the County Subdivision Ordinance.,Finalize revisions to the County Subdivision Ordinance.,Finalize revisions to the County Subdivision Ordinance.,Finalize revisions to the County Subdivision Ordinance.,,,,,,,,,,,,,,
,,*,Continue refining the revised Zoning Ordinance.,Continue refining the revised Zoning Ordinance.,Continue refining the revised Zoning Ordinance.,Continue refining the revised Zoning Ordinance.,Continue refining the revised Zoning Ordinance.,Continue refining the revised Zoning Ordinance.,Continue refining the revised Zoning Ordinance.,,,,,,,,,,,,,,,
Object,Object,,Description,,,FY 2005,,FY 2006,,FY 2007,,FY 2007,,FY 2008,FY 2008,FY 2008,FY 2008,FY 2008,FY 2009,FY 2009,,FY 2009,%,%
Org,#:,,11811000,,,Actual,,Actual,,Budget,,Actual,,Budget,Budget,Expected,Expected,Expected,Requested,Requested,,Adopted,Change,Total
511000,511000,,Salaries & Wages,Salaries & Wages,$,"401,053",$,"485,885",$,"497,278",$,"440,711",$,"525,869","525,869",$,"525,869","525,869",$,"525,869",$,"533,219",1%,63%
513000,513000,A Part-Time Salaries,A Part-Time Salaries,A Part-Time Salaries,,-,,"1,134",,"6,000",,"9,159",,"6,000","6,000",,,"6,000",,"6,000",,"6,000",0%,1%
519000,519000,B Compensation,B Compensation,,,"21,400",,"16,250",,"24,000",,"23,720",,"24,000","24,000",,,"24,000",,"35,400",,"35,400",48%,4%
521000,521000,,Fica/Medicare,,,-,,-,,"38,501",,"33,527",,"40,688","40,688",,,"40,688",,"40,688",,"41,250",1%,5%
522100,522100,,VRS - Retirement,VRS - Retirement,,-,,-,,"51,319",,"46,564",,"56,952","56,952",,,"56,952",,"56,952",,"65,160",14%,8%
523000,523000,,Hospital/Medical Plan,Hospital/Medical Plan,,-,,-,,"19,139",,"33,102",,"48,751","48,751",,,"48,751",,"48,751",,"43,980",-10%,5%
523100,523100,,Dental Insurance,,,-,,-,,"1,294",,"2,251",,"3,577","3,577",,,"3,577",,"3,577",,"3,065",-14%,0%
524000,524000,,Group Life Insurance,Group Life Insurance,,-,,-,,"6,067",,"4,867",,"5,942","5,942",,,"5,942",,"5,942",,"4,746",-20%,1%
528100,528100,,Deferred Comp Plan,Deferred Comp Plan,,-,,-,,"3,000",,"2,374",,"3,780","3,780",,,"3,780",,"3,780",,"4,200",11%,0%
520000,520000,,Fringe Benefits,,,"81,019",,"116,707",,-,,-,,,-,,,-,,-,,-,N/A,0%
531700,531700,C Professional Services,C Professional Services,C Professional Services,,"26,230",,"63,691",,"57,065",,"221,477",,"137,000","137,000",,"137,000","137,000",,"160,500",,"20,500",-85%,2%
533100,533100,,Equip. Repair & Maint.,Equip. Repair & Maint.,,-,,75,,600,,-,,,600,,,600,,600,,600,0%,0%
536000,536000,,Advertising,,,"5,033",,"6,270",,"10,000",,"15,458",,"18,000","18,000",,,"18,000",,"30,000",,"22,000",22%,3%
552100,552100,,Postage,,,"2,896",,"2,766",,"4,000",,"3,343",,"8,000","8,000",,,"8,000",,"8,000",,"8,000",0%,1%
552300,552300,,Telephone,,,"2,051",,"1,495",,"4,200",,"3,441",,"3,700","3,700",,,"3,700",,"3,700",,"3,700",0%,0%
554100,554100,,Equipment Rental,Equipment Rental,,-,,-,,"5,100",,"5,068",,"5,750","5,750",,,"5,750",,"5,750",,"5,750",0%,1%
555010,555010,,Travel & Training,,,"5,087",,"7,054",,"5,000",,"4,145",,"6,000","6,000",,,"6,000",,"10,000",,"6,000",0%,1%
558060,558060,,Operating Expenses,Operating Expenses,,"5,648",,"10,955",,"11,500",,"8,308",,"11,500","11,500",,,"11,500",,"16,500",,"11,500",0%,1%
558100,558100,,Dues & Subscriptions,Dues & Subscriptions,,"2,023",,"2,949",,"4,000",,"3,728",,"4,000","4,000",,,"4,000",,"4,000",,"4,000",0%,0%
560010,560010,,Office Supplies,,,"19,434",,"20,910",,"17,000",,"25,085",,"27,000","27,000",,,"27,000",,"27,000",,"27,000",0%,3%
560080,560080,,"Motor Fuel, Lube & Repairs","Motor Fuel, Lube & Repairs",,"1,913",,"1,622",,"1,900",,"1,769",,"1,900","1,900",,,"1,900",,"2,500",,"1,900",0%,0%
560110,560110,,Uniforms,,,196,,110,,200,,20,,,200,,,200,,400,,200,0%,0%
580100,580100,D Equipment,D Equipment,,,"11,507",,"13,705",,"3,320",,"2,562",,,-,,,-,,"5,000",,-,N/A,0%
580300,580300,E Vehicle,E Vehicle,,,-,,,,-,,-,,,-,,,-,,"16,000",,-,N/A,0%
,,,TOTAL,,$,"585,491",$,"751,578",$,"770,483",$,"890,679",$,"939,209","939,209",$,"939,209","939,209","$ 1,016,909","$ 1,016,909",$,"848,170",-10%,100%
,,,,,,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Page 95
