Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”,Name: “Table 1 of 1 on page 129 of 157”
Building Campaign,,,,,,"25,000",,"56,250",,"56,250",,"56,250",,"56,250",,"250,000",,,,,,,,,,,,-,,"250,000"
,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
TOTAL:,$,-,$,-,$,"25,000",$,"56,250",$,"56,250",$,"56,250",$,"56,250",$,"250,000",$,-,$,-,$,-,$,-,$,-,$,-,$,"250,000"
Revenue Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenues,$,-,$,-,$,"25,000",$,"56,250",$,"56,250",$,"56,250",$,"56,250",$,"250,000",$,-,$,-,$,-,$,-,$,-,$,-,$,"250,000"
Fund Balance/Reserves,,-,,-,,-,,-,,-,,-,,,,-,,-,,,,,,,,-,,-,,-
Bonded / Note Indebtedness,,-,,-,,-,,-,,-,,-,,,,-,,-,,,,-,,-,,-,,-,,-
Grants / Donations / Other,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-
TOTAL:,$,-,$,-,$,"25,000",$,"56,250",$,"56,250",$,"56,250",$,"56,250",$,"250,000",$,-,$,-,$,-,$,-,$,-,$,-,$,"250,000"
Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,Planning Commission recommends the Towns of Smithfield and Windsor be solicited to participate in the Red Cross building campaign.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 123,Page 123
