Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”,Name: “Table 1 of 1 on page 47 of 157”
*,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,Maintain and enhance the County's sound financial condition and continue to promote long-term strategic planning to,,
,enhance the county's financial position and bond rating.,enhance the county's financial position and bond rating.,enhance the county's financial position and bond rating.,enhance the county's financial position and bond rating.,enhance the county's financial position and bond rating.,enhance the county's financial position and bond rating.,enhance the county's financial position and bond rating.,enhance the county's financial position and bond rating.,enhance the county's financial position and bond rating.,enhance the county's financial position and bond rating.,enhance the county's financial position and bond rating.,enhance the county's financial position and bond rating.,enhance the county's financial position and bond rating.,,,,,,,,,,,,,,
*,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,Prepare and recommend capital and operating budgets which balance the needs of the citizens of the County of Isle of,
,Wight with the resources available to meet those needs.,Wight with the resources available to meet those needs.,Wight with the resources available to meet those needs.,Wight with the resources available to meet those needs.,Wight with the resources available to meet those needs.,Wight with the resources available to meet those needs.,Wight with the resources available to meet those needs.,Wight with the resources available to meet those needs.,Wight with the resources available to meet those needs.,Wight with the resources available to meet those needs.,Wight with the resources available to meet those needs.,Wight with the resources available to meet those needs.,Wight with the resources available to meet those needs.,,,,,,,,,,,,,,
*,"Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,","Facilitate fiscally responsible decision making throughout the County's organization by providing up to date,",,,,
,"understandable, and accurate financial information.","understandable, and accurate financial information.","understandable, and accurate financial information.","understandable, and accurate financial information.","understandable, and accurate financial information.","understandable, and accurate financial information.","understandable, and accurate financial information.","understandable, and accurate financial information.","understandable, and accurate financial information.","understandable, and accurate financial information.","understandable, and accurate financial information.",,,,,,,,,,,,,,,,
*,"Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.","Integrate systems to improve efficiencies for data gathering, reconciliations, financial reporting and oversight.",,,
*,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,Utilize technologies in order to maintain strong internal controls without creating roadblocks for carrying out County,,
,business.,,,,,,,,,,,,,,,,,,,,,,,,,,
*,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,Improve efficiencies in centralized procurement as a tool to maximize the value of public dollars expended for goods and,
,services.,,,,,,,,,,,,,,,,,,,,,,,,,,
Org #,11124200,,,,,FY 2005,,,FY 2006,FY 2006,,FY 2007,FY 2007,,FY 2007,,FY 2008,FY 2008,FY 2008,FY 2008,FY 2009,FY 2009,,FY 2009,FY 2009,%,%
Object,Description,,,,,Actual,,,Actual,Actual,,Budget,Budget,,Actual,,Budget,Budget,Expected,Expected,Requested,Requested,Adopted,Adopted,Adopted,Change,Total
511000,Salaries & Wages,Salaries & Wages,,,$,"214,743",,$,"246,185","246,185",$,"301,226","301,226",$,"247,010",$,"320,302","320,302",$,"320,302",$,"320,302",$,"340,726","340,726",6%,70%
512000,Overtime,,,,,-,,,,-,,"3,000","3,000",,"2,611",,"3,000","3,000",,"3,000",,-,,,-,-100%,0%
513000,Part-time Salaries,Part-time Salaries,,,,-,,,,-,,,-,,380,,,-,,-,,-,,,-,N/A,0%
521000,Fica/Medicare,,,,,-,,,,-,,"23,273","23,273",,"18,544",,"24,733","24,733",,"24,733",,"24,733",,"26,066","26,066",5%,5%
522100,VRS - Retirement,VRS - Retirement,,,,-,,,,-,,"31,087","31,087",,"26,340",,"34,689","34,689",,"34,689",,"34,689",,"41,637","41,637",20%,8%
523000,Hospital/Medical Plan,Hospital/Medical Plan,Hospital/Medical Plan,,,-,,,,-,,"43,157","43,157",,"22,359",,"30,334","30,334",,"30,334",,"30,334",,"35,299","35,299",16%,7%
523100,Dental Insurance,Dental Insurance,,,,-,,,,-,,"3,345","3,345",,"1,505",,"1,754","1,754",,"1,754",,"1,754",,"2,486","2,486",42%,1%
524000,Group Life Insurance,Group Life Insurance,Group Life Insurance,,,-,,,,-,,"3,675","3,675",,"2,753",,"3,619","3,619",,"3,619",,"3,619",,"3,032","3,032",-16%,1%
528100,Deferred Comp Plan,Deferred Comp Plan,Deferred Comp Plan,,,-,,,,-,,"1,800","1,800",,"1,363",,"2,520","2,520",,"2,520",,"2,520",,"2,520","2,520",0%,1%
529000,Fringe Benefits,Fringe Benefits,,,,"48,476",,,"59,091","59,091",,,-,,-,,,-,,-,,-,,,-,N/A,0%
531700,Professional Services,Professional Services,Professional Services,,,-,,,,116,,"15,000","15,000",,"5,826",,"5,000","5,000",,"5,000",,"15,000",,"15,000","15,000",200%,3%
533100,Equip. Repair & Maint.,Equip. Repair & Maint.,Equip. Repair & Maint.,,,300,,,,93,,,400,,216,,400,400,,400,,400,,,400,0%,0%
552100,Postage,,,,,"3,682",,,"4,432","4,432",,"5,000","5,000",,"5,051",,"5,000","5,000",,"5,000",,"5,000",,"5,000","5,000",0%,1%
552300,Telephone,,,,,379,,,,228,,"1,400","1,400",,"1,594",,"1,700","1,700",,"1,700",,"1,800",,"1,800","1,800",6%,0%
554100,Equipment Rental,Equipment Rental,,,,,,,,-,,"3,500","3,500",,"3,352",,"3,400","3,400",,"3,400",,"3,400",,"3,400","3,400",0%,1%
555010,Travel & Training,Travel & Training,,,,"1,368",,,,352,,"4,000","4,000",,"3,811",,"4,000","4,000",,"4,000",,"4,000",,"4,000","4,000",0%,1%
558100,Dues & Subscriptions,Dues & Subscriptions,Dues & Subscriptions,,,"1,378",,,,764,,"1,000","1,000",,945,,"1,000","1,000",,"1,000",,"1,000",,"1,000","1,000",0%,0%
560010,Office Supplies,Office Supplies,,,,"6,852",,,"6,552","6,552",,"7,000","7,000",,"8,716",,"7,000","7,000",,"7,000",,"7,500",,"7,500","7,500",7%,2%
580100,Equipment,,,,,"1,510",,,"3,352","3,352",,"3,600","3,600",,"4,890",,,-,,-,,-,,,-,N/A,0%
,TOTAL,,,,$,"278,689",,$,"321,165","321,165",$,"451,463","451,463",$,"357,266",$,"448,451","448,451",$,"448,451",$,"456,051",$,"489,866","489,866",9%,100%
Personnel Summary,Personnel Summary,,,,,,,,,,,FY 2008,FY 2008,,,,FY 2009,FY 2009,,,,,,,,,
Grade,Job Class / Position,Job Class / Position,Job Class / Position,,,,,,FTE,,,Budget,Budget,,FTE,,Budget,Budget,,,,,,,,,
50,Director,,,,,,,,,1.0,$,"86,175","86,175",,1.0,$,"95,104","95,104",,,,,,,,,
48,Assistant Director,Assistant Director,,,,,,,,1.0,,"57,200","57,200",,1.0,,"57,200","57,200",,,,,,,,,
46,Procurement and Grants Manager,Procurement and Grants Manager,Procurement and Grants Manager,Procurement and Grants Manager,Procurement and Grants Manager,,,,,1.0,,"42,000","42,000",,1.0,,"52,530","52,530",,,,,,,,,
45,Accountant,,,,,,,,,1.0,,"43,680","43,680",,1.0,,"43,260","43,260",,,,,,,,,
43,Accounting Technician - Payroll,Accounting Technician - Payroll,Accounting Technician - Payroll,Accounting Technician - Payroll,Accounting Technician - Payroll,,,,,1.0,,"33,076","33,076",,1.0,,"34,218","34,218",,,,,,,,,
42,Accounting Technician - Accts Payable,Accounting Technician - Accts Payable,Accounting Technician - Accts Payable,Accounting Technician - Accts Payable,Accounting Technician - Accts Payable,Accounting Technician - Accts Payable,,,,1.0,,"32,168","32,168",,1.0,,"31,630","31,630",,,,,,,,,
42,Accounting Technician - Purchasing,Accounting Technician - Purchasing,Accounting Technician - Purchasing,Accounting Technician - Purchasing,Accounting Technician - Purchasing,,,,,1.0,,"26,003","26,003",,1.0,,"26,784","26,784",,,,,,,,,
,Total,,,,,,,,,7.0,$,"320,302","320,302",,7.0,$,"340,726","340,726",,,,,,,,,
,,,,,,,"A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence","A Community of CHOICE, Committed to Excellence",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Page 41
