"Historic Decenial Census Counts, 1790-2000"																							
"Sources: U.S. Census Bureau, Weldon Cooper Center, & HRPDC"																							
																							
	1790	1800	1810	1820	1830	1840	1850	1860	1870	1880	1890	1900	1910	1920	1930	1940	1950	1960	1970	1980	1990	2000	2010
Virginia	"691,737"	"801,608"	"869,131"	"928,348"	"1,034,481"	"1,015,260"	"1,119,348"	"1,219,630"	"1,225,163"	"1,512,565"	"1,655,980"	"1,854,184"	"2,061,612"	"2,309,187"	"2,421,851"	"2,677,773"	"3,318,680"	"3,966,949"	"4,651,448"	"5,346,797"	"6,187,358"	"7,078,515"	"8,001,024"
																							
																							
Elizabeth City County:	Merged with Hampton City in 1952.																						
Norfolk County:	Merged with South Norfolk City to form Chesapeake City in 1963.																						
Princess Anne County:	Consolidated with Virginia Beach City in 1963.																						
Chesapeake City:	"Formed in 1962 by the merger of Norfolk County and South Norfolk City. Incorporated on January 1, 1963."																						
Franklin City:	"Formed from Southampton County on December 22, 1961."																						
Hampton City:	"Orginally formed from Elizabeth City County in 1908. The remainder of the county consolidated with the city on July 1, 1952 "																						
	to form the current boundaries of Hampton City.																						
Poquoson City:	Became an independent city in 1975.																						
South Norfolk City:	Became an independent city in 1921. Merged with Norfolk County to form Chesapeake City in 1963.																						
Virginia Beach City:	Became an independent city in 1952. Consolidated with Princess Anne County in 1963.																						
