Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”,Name: “Table 1 of 1 on page 12 of 20”
,"housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the","housing Program, COPS Hiring Recovery Program, the Community Development Block Grant Recovery, the"
,"Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.","Energy Efficiency and Conservation Block Grant, and the Justice Assistance Grant Recovery.",,,
•,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working,Provided support in the development and monitoring of the Capital Improvement Program (CIP) by working
,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,collaboratively with city departments in funding projects as well as monitoring expenditure activity.,,,
•,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement,Partnered with the Department of Communications to conduct five community and employment engagement
,"sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities","sessions as well as ""Open City Hall"", an on-line forum on the city's website to obtain feedback on budget priorities"
,"and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was","and community values. Hundreds of citizens and employees participated in these sessions, where feedback was"
,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,incorporated in the development of the approved FY 2014 operating and capital budgets.,,,
•,"Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.","Fiscal Year 2012 General Fund revenues came in 0.07 percent variance (or $550,000) above the forecast.",,
Office to End Homelessness,Office to End Homelessness,Office to End Homelessness,Office to End Homelessness,Office to End Homelessness,Office to End Homelessness,Office to End Homelessness,Office to End Homelessness,Office to End Homelessness,,,,,,,,,,,
•,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,Collaborated with regional partners to develop and implement a centralized housing intake process.,This new,This new
,"process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and","process streamlines access to permanent and transitional housing programs in the city, eliminates barriers and"
,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through,duplication in services and establishes a mobile central intake and shared data system for single adults through
,"housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23","housing focused outreach. From September to November 2012, a total of 91 regional applications, including 23"
,"Norfolk applicants, were processed and prioritized for housing.","Norfolk applicants, were processed and prioritized for housing.","Norfolk applicants, were processed and prioritized for housing.","Norfolk applicants, were processed and prioritized for housing.","Norfolk applicants, were processed and prioritized for housing.","Norfolk applicants, were processed and prioritized for housing.","Norfolk applicants, were processed and prioritized for housing.","Norfolk applicants, were processed and prioritized for housing.","Norfolk applicants, were processed and prioritized for housing.","Norfolk applicants, were processed and prioritized for housing.","Norfolk applicants, were processed and prioritized for housing.",,,,,,,,
•,Coordinated the thirteenth Project Homeless Connect in October 2012.,Coordinated the thirteenth Project Homeless Connect in October 2012.,Coordinated the thirteenth Project Homeless Connect in October 2012.,Coordinated the thirteenth Project Homeless Connect in October 2012.,Coordinated the thirteenth Project Homeless Connect in October 2012.,Coordinated the thirteenth Project Homeless Connect in October 2012.,Coordinated the thirteenth Project Homeless Connect in October 2012.,Coordinated the thirteenth Project Homeless Connect in October 2012.,Coordinated the thirteenth Project Homeless Connect in October 2012.,Coordinated the thirteenth Project Homeless Connect in October 2012.,Coordinated the thirteenth Project Homeless Connect in October 2012.,Coordinated the thirteenth Project Homeless Connect in October 2012.,Over 400 guests were served and the,Over 400 guests were served and the,Over 400 guests were served and the,Over 400 guests were served and the,Over 400 guests were served and the,Over 400 guests were served and the,Over 400 guests were served and the
