Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”,Name: “Table 1 of 1 on page 25 of 70”
50%,,,,,,,,,,,,,,"$6,000,000"
40%,,,,,,,,,,,,,,"$5,000,000"
30%,,,,,,,,,,,,,,"$4,000,000"
20%,,,,,,,,,,,,,,"$3,000,000"
10%,,,,,,,,,,,,,,"$2,000,000"
0%,,,,,,,,,,,,,,"$1,000,000"
-10%,,,,,,,,,,,,,,$0
98,99,00,01,02,03,04,05,06,07,08,09,10,11,
,,,,NOMINAL % RATE OF CHANGE,NOMINAL % RATE OF CHANGE,NOMINAL % RATE OF CHANGE,NOMINAL % RATE OF CHANGE,,NOMINAL $ REVENUE,NOMINAL $ REVENUE,NOMINAL $ REVENUE,,,
Emergency Communications Fund - 207,Emergency Communications Fund - 207,Emergency Communications Fund - 207,Emergency Communications Fund - 207,Emergency Communications Fund - 207,,,,,,,,,,
Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation,Established during the FY04 budgeting process in order to account for revenues and expenditures related to operation
of the Emergency Operations Center (EOC).,of the Emergency Operations Center (EOC).,of the Emergency Operations Center (EOC).,of the Emergency Operations Center (EOC).,of the Emergency Operations Center (EOC).,The revenues in this Fund are restricted by the State to be used exclusively,The revenues in this Fund are restricted by the State to be used exclusively,The revenues in this Fund are restricted by the State to be used exclusively,The revenues in this Fund are restricted by the State to be used exclusively,The revenues in this Fund are restricted by the State to be used exclusively,The revenues in this Fund are restricted by the State to be used exclusively,The revenues in this Fund are restricted by the State to be used exclusively,The revenues in this Fund are restricted by the State to be used exclusively,The revenues in this Fund are restricted by the State to be used exclusively,The revenues in this Fund are restricted by the State to be used exclusively
for EOC operations. These activities were previously budgeted under the General Fund.,for EOC operations. These activities were previously budgeted under the General Fund.,for EOC operations. These activities were previously budgeted under the General Fund.,for EOC operations. These activities were previously budgeted under the General Fund.,for EOC operations. These activities were previously budgeted under the General Fund.,for EOC operations. These activities were previously budgeted under the General Fund.,for EOC operations. These activities were previously budgeted under the General Fund.,for EOC operations. These activities were previously budgeted under the General Fund.,for EOC operations. These activities were previously budgeted under the General Fund.,for EOC operations. These activities were previously budgeted under the General Fund.,for EOC operations. These activities were previously budgeted under the General Fund.,for EOC operations. These activities were previously budgeted under the General Fund.,,,
The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and,The Telecommunications Tax Reform Act HB568 eliminates the local E-911 telephone tax by consolidating and
"standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and","standardizing communications taxes and rates, centralizing collections in the Virginia Department of Taxation, and"
sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new,sharing proceeds among localities after deducting administrative and program expenses beginning January 2007. The new
"tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General","tax is posted to the General Fund, and the local E-911 tax revenue is supplanted by an increased transfer from the General"
Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the,Fund. The principal revenue remaining in this fund is Wireless E911 Funding from the State. The chart show only the
"wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the","wireless revenue, the E911 tax and communications sales tax revenues are included in the Other Local Tax chart for the"
General Fund.,,,,,,,,,,,,,,
,,,,,EMERGENCY COMMUNICATIONS FUND,EMERGENCY COMMUNICATIONS FUND,EMERGENCY COMMUNICATIONS FUND,EMERGENCY COMMUNICATIONS FUND,EMERGENCY COMMUNICATIONS FUND,EMERGENCY COMMUNICATIONS FUND,EMERGENCY COMMUNICATIONS FUND,,,
,,,,(Adjusted to show wireless E911 revenue only),(Adjusted to show wireless E911 revenue only),(Adjusted to show wireless E911 revenue only),(Adjusted to show wireless E911 revenue only),(Adjusted to show wireless E911 revenue only),(Adjusted to show wireless E911 revenue only),(Adjusted to show wireless E911 revenue only),(Adjusted to show wireless E911 revenue only),,,
300%,,,,,,,,,,,,,,"$2,500,000"
250%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"$2,000,000"
200%,,,,,,,,,,,,,,
150%,,,,,,,,,,,,,,"$1,500,000"
100%,,,,,,,,,,,,,,
50%,,,,,,,,,,,,,,"$1,000,000"
0%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"$500,000"
-50%,,,,,,,,,,,,,,
-100%,,,,,,,,,,,,,,$0
00,01,01,02,03,04,05,06,07,08,09,09,10,11,
,,,,NOMINAL % RATE OF CHANGE,NOMINAL % RATE OF CHANGE,NOMINAL % RATE OF CHANGE,NOMINAL % RATE OF CHANGE,,NOMINAL $ REVENUE,NOMINAL $ REVENUE,NOMINAL $ REVENUE,,,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,94,94,,,,FY 2010 - 2011 Operating Budget,FY 2010 - 2011 Operating Budget,FY 2010 - 2011 Operating Budget,FY 2010 - 2011 Operating Budget
