Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”,Name: “Table 1 of 1 on page 30 of 70”
8%,,,,,,,,,,,,,,
6%,,,,,,,,,,,,,,"$6,000,000"
4%,,,,,,,,,,,,,,"$5,000,000"
2%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"$4,000,000"
0%,,,,,,,,,,,,,,
-2%,,,,,,,,,,,,,,"$3,000,000"
-4%,,,,,,,,,,,,,,"$2,000,000"
-6%,,,,,,,,,,,,,,
-8%,,,,,,,,,,,,,,"$1,000,000"
-10%,,,,,,,,,,,,,,$0
,01,02,,03,04,05,06,06,07,08,09,09,10,11
,,,,,NOMINAL $ RATE OF CHANGE,NOMINAL $ RATE OF CHANGE,NOMINAL $ RATE OF CHANGE,NOMINAL $ RATE OF CHANGE,,NOMINAL $ REVENUE,NOMINAL $ REVENUE,NOMINAL $ REVENUE,NOMINAL $ REVENUE,
"City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia","City of Chesapeake, Virginia",,,,,99,,,,,FY 2010 - 2011 Operating Budget,FY 2010 - 2011 Operating Budget
