Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”,Name: “Table 1 of 1 on page 33 of 44”
March,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000
April,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000
May,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000
June,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000
July,"2,025,000.00",2.025,,0.000,,0.000,"111,000.00",0.111,"81,000.00",0.081,,0.000,,0.000,,0.000
August,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,"471,000.00",0.471,,0.000
September,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000
October,,0.000,,0.000,,0.000,,0.000,,0.000,"64,500.00",0.065,,0.000,,0.000
November,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000
December,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000
NOTES or,,,0.075 MG for 233-005 in Jan,0.075 MG for 233-005 in Jan,0.919 MG for 233-015 in,0.919 MG for 233-015 in,Peak Day calculated with,Peak Day calculated with,Peak Day calculated with,Peak Day calculated with,Peak Day calculated with,Peak Day calculated with,Peak Day calculated with,Peak Day calculated with,Peak Day calculated with,Peak Day calculated with
,Peak Day for each well:,Peak Day for each well:,,,,,,,,,,,,,,
COMMENTS:,,,0.662 MG for 233-014 in July,0.662 MG for 233-014 in July,Apr,,formula.,,formula.,,formula.,,formula.,,formula.,
,Southampton,Southampton,,,,,,Surry,,,,,,,,
,PWSID #3175860,PWSID #3175860,PWSID 3181250,PWSID 3181250,PWSID 3181400,PWSID 3181400,PWSID 3181850,PWSID 3181850,PWSID 3181500,PWSID 3181500,PWSID 3181700,PWSID 3181700,,,,
,White Tail Park,White Tail Park,Town of Claremont,Town of Claremont,Town of Dendron,Town of Dendron,Town of Surry,Town of Surry,Guilford Heights,Guilford Heights,Scotland Heights,Scotland Heights,,,,
,Source GW,Source GW,Source GW,Source GW,Source GW,,Source GW,Source GW,Source GW,Source GW,Source GW,Source GW,,,,
,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,Peak Day,,,,
YEAR,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings,Readings,,,,
2007,(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),,,,
January,,0.000,,0.000,,0.000,"2,869,200.00",2.869,,0.000,,0.000,,,,
February,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,
March,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,
April,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,
May,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,
June,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,
July,"19,500.00",0.020,0.000,0.000,,0.000,,0.000,,0.000,,0.000,,,,
August,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,
September,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,
October,,0.000,,0.000,"1,636,500.00",1.637,,0.000,,0.000,,0.000,,,,
November,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,
December,,0.000,,0.000,,0.000,,0.000,,0.000,,0.000,,,,
NOTES or,Peak Day calculated with,Peak Day calculated with,,,,,,,,,,,,,,
,,,Completed with formula,Completed with formula,Completed with formula,Completed with formula,Completed with formula,Completed with formula,No information available,No information available,No information available,No information available,,,,
COMMENTS:,formula.,,,,,,,,,,,,,,,
,,,,,,,,2,,,,,,,,
