Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”,Name: “Table 1 of 1 on page 41 of 44”
,,,,,,,,(gal/person/day),(Column H x Column I),(SSU Business Data),,,,(gal/person/day),(Columns M x N x O),(SSU Business Data),(MGD)
,,,,,E),,,,,,,,,,,,
,YEAR 2007,YEAR 2007,,,,,,,,,,,,,,,
Isle of Wight,,,,,,,,,,,,,,,,,
Isle of Wight (towns included),"34,041","17,948","16,093",2.61,"6,166",10,"14,073",75,"1,055,475","64,772",1.120,"1,063",2.61,75,"208,082","8,310",0.216
Town of Smithfield,"6,987","6,750",237,2.61,91,,0,75,0,,,91,2.61,75,"17,813",,
Town of Windsor,"2,479","2,300",179,2.61,72,,0,75,0,,,72,2.61,75,"14,094",,
Franklin,,,,,,,,,,,,,,,,,
City of Franklin,"8,357","8,352",5,2.39,0,1,0,,0,"40,000",0.040,2,2.39,75,359,0,0.000
Southampton,,,,,,,,,,,,,,,,,
Southampton County (towns included),"18,942","6,790","12,152",2.53,"4,803",15,"12,152",75,"911,400","91,760",1.003,0,2.53,75,0,"11,130",0.011
Town of Capron,168,167,-,,,,,,,,,,,,,,
Town of Courtland,"1,248","1,270",-,,,,,,,,,,,,,,
Town of Ivor,312,395,-,,,,,,,,,,,,,,
Surry,,,,,,,,,,,,,,,,,
Surry County (towns included),"6,970","1,436","5,534",2.61,"2,120",9,"5,534",75,"415,050","47,806",0.463,0,2.61,75,0,0,0.000
Town of Claremont,336,343,-,,,,,,,,,,,,,,
Town of Dendron,294,375,-,,,,,,,,,,,,,,
Town of Surry,253,400,-,,,,,,,,,,,,,,
Planning Area,,,,,,,,,,,,,,,,,
Totals:,"68,310","34,526","33,784",,"13,089",35,"31,759",,"2,381,925","244,338",2.626,"1,065",,,"208,441","19,440",0.228
Notes or Comments:,Total locality populations reflect the 2007 Weldon Cooper estimates.,Total locality populations reflect the 2007 Weldon Cooper estimates.,Total locality populations reflect the 2007 Weldon Cooper estimates.,Town populations reflect 2007 estimates from the U.S. Census Bureau.,Town populations reflect 2007 estimates from the U.S. Census Bureau.,Town populations reflect 2007 estimates from the U.S. Census Bureau.,,,,,,,,,,,
"(This may include references to maps,","Information on the total populations served by CWSs reflects data from Table 80 B1-B3 CWS Use, including populations served by both publicly-owned and privately-owned CWS.","Information on the total populations served by CWSs reflects data from Table 80 B1-B3 CWS Use, including populations served by both publicly-owned and privately-owned CWS.","Information on the total populations served by CWSs reflects data from Table 80 B1-B3 CWS Use, including populations served by both publicly-owned and privately-owned CWS.","Information on the total populations served by CWSs reflects data from Table 80 B1-B3 CWS Use, including populations served by both publicly-owned and privately-owned CWS.","Information on the total populations served by CWSs reflects data from Table 80 B1-B3 CWS Use, including populations served by both publicly-owned and privately-owned CWS.","Information on the total populations served by CWSs reflects data from Table 80 B1-B3 CWS Use, including populations served by both publicly-owned and privately-owned CWS.","Information on the total populations served by CWSs reflects data from Table 80 B1-B3 CWS Use, including populations served by both publicly-owned and privately-owned CWS.","Information on the total populations served by CWSs reflects data from Table 80 B1-B3 CWS Use, including populations served by both publicly-owned and privately-owned CWS.","Because the populations served by CWSs appear greater than the populations of towns in Southhampton County and Surry County, this table does not estimate populations served by individual wells in those towns.","Because the populations served by CWSs appear greater than the populations of towns in Southhampton County and Surry County, this table does not estimate populations served by individual wells in those towns.","Because the populations served by CWSs appear greater than the populations of towns in Southhampton County and Surry County, this table does not estimate populations served by individual wells in those towns.","Because the populations served by CWSs appear greater than the populations of towns in Southhampton County and Surry County, this table does not estimate populations served by individual wells in those towns.","Because the populations served by CWSs appear greater than the populations of towns in Southhampton County and Surry County, this table does not estimate populations served by individual wells in those towns.","Because the populations served by CWSs appear greater than the populations of towns in Southhampton County and Surry County, this table does not estimate populations served by individual wells in those towns.","Because the populations served by CWSs appear greater than the populations of towns in Southhampton County and Surry County, this table does not estimate populations served by individual wells in those towns.","Because the populations served by CWSs appear greater than the populations of towns in Southhampton County and Surry County, this table does not estimate populations served by individual wells in those towns.",
"data sources, data gaps, etc.)",Estimated number of businesses served by individual wells and average annual business use information is from Table SSU Business Data.,Estimated number of businesses served by individual wells and average annual business use information is from Table SSU Business Data.,Estimated number of businesses served by individual wells and average annual business use information is from Table SSU Business Data.,Estimated number of businesses served by individual wells and average annual business use information is from Table SSU Business Data.,Estimated number of businesses served by individual wells and average annual business use information is from Table SSU Business Data.,Estimated number of businesses served by individual wells and average annual business use information is from Table SSU Business Data.,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,
