Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”,Name: “Table 1 of 1 on page 10 of 44”
,,,,,,,,,,,,,,EXISTING INSTREAM,EXISTING INSTREAM,
,,,,,,,DESIGN CAPACITY:,DESIGN CAPACITY:,,,,,,,,Notes
,,,,,,,,,,,Safe Yield,Lowest,VDH,BENEFICIAL USES:,BENEFICIAL USES:,or
,,,,Intake,,,,,,,,VDH Permitted,,,,
,,,,,,,Maximum,Pump,Pump,Water,of,Daily Flow,Permitted,,,
,,"Stream, River, or",Basin /,Drainage Area,Average Daily,Average Daily,Maximum Daily,,Water,,,Capacity,Limitations on,,,Comments
PWSID #,Water System Name,,,,,,Daily,Station,Station,Treatment,Stream,of Record,Capacity,,,
,,Spring Name,Sub-basin,,Withdrawal,Withdrawal,Withdrawal,,Treatment Plant,,,,Withdrawal Permit,Within Planning,Outside,
,,,,,,,Withdrawal,,,Plant,,,,,,(This may include references to
,,,,(square miles),,,,,,,,(gpd),,Area,Planning Area,
,,,,,(gpd),(MGD),(gpd),,(gpd),,(MGD),(cfs),(MGD),,,"maps, data sources, data gaps,"
,,,,,,,(MGD),(gpd),(MGD),(MGD),,,,,,etc.)
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,,,,,,,,,,,City of Norfolk owns intake.
3710100,City of Norfolk,Blackwater River,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,,,,,,,,,,,Details on Norfolk's data table.
,,,,,,,,,,,,,,,,Details for this water source are in
3710100,City of Norfolk,Nottoway River,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,,,,,,,,,,,Norfolk's data tables.
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
Existing Source Totals - for all CWS's using stream intakes &/or,Existing Source Totals - for all CWS's using stream intakes &/or,Existing Source Totals - for all CWS's using stream intakes &/or,Existing Source Totals - for all CWS's using stream intakes &/or,Existing Source Totals - for all CWS's using stream intakes &/or,,,,,,,,,,,,
springs,,,,,,,,,,,,,,,,
(MGD),,,,,,0.00,0.00,,0.00,0.00,,,0.00,,,
,,,,,,,,,1,,,,,,,
