Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”,Name: “Table 1 of 1 on page 15 of 44”
SOUTHAMPTON,,The VDH assessment determined that Well #6 has a low suspectibility to,,,,,
,7/17/2002,,,,,,
CORRECTIONAL COMPLEX,,contamination and Wells #7 and #8 have a high susceptibility.,,,,,
SOUTHAMPTON MEADOWS,,The VDH assessment determined that Well #2 has a low suspectibility to,,,,,
,7/17/2002,,,,,,
MOBILE HOME PARK,,contamination and Well #1 has a high susceptibility.,,,,,
FIELDCREST MANUFACTURED,,The VDH assessment determined that the well has a high susceptibility to,,,,,
,7/12/2002,,,,,,
HOME COMMUNITY,,,contamination.,,,,
,,The VDH assessment determined that the well has a low susceptibility to,,,,,
WHITE TAIL PARK,7/12/2002,,,,,,
,,,contamination.,,,,
,,,3,,,,
