Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”,Name: “Table 1 of 1 on page 26 of 56”
,2005,,"$51,819",,"$360,684","$360,684","$412,503",,-96.9%,,
,2006,,"$61,630",,"$3,022,150","$3,022,150","$3,083,780",,647.6%,,
,2007,,"$55,778",,,"$40,500","$96,278",,-96.9%,,
,2008,,"$55,470",,,"$79,841","$135,311",,40.5%,,
,2009,,"$43,644",,"$3,119,575","$3,119,575","$3,163,219",2237.7%,2237.7%,,
,2010,,"$42,600",,"$7,376,452","$7,376,452","$7,419,052",,134.5%,,
,2011,,"$34,030",,"$190,023","$190,023","$224,053",,-92.9%,,
,2012,,"$37,212",,"$113,477","$113,477","$150,689",,-98.0%,,
,Budget 2013,,"$34,030",,,"$58,633","$92,663",,-38.5%,,
,Estimated 2013,,"$34,030",,,"$13,600","$47,630",,-68.4%,,
,Forecast 2014,,"$37,224",,,"$13,600","$50,824",,-45.2%,,
FY 2013-14 Operating Budget,FY 2013-14 Operating Budget,,,,60,,,,"As Amended June 11, 2013","As Amended June 11, 2013","As Amended June 11, 2013"
