Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”,Name: “Table 1 of 1 on page 9 of 56”
2004,"$226,688,931","$226,688,931",,6.7%,"$57,741,928","$57,741,928","$57,741,928",26.9%,,"$374,221,829","$374,221,829",13.7%
2005,"$274,987,295","$274,987,295",,21.3%,"$85,518,566","$85,518,566","$85,518,566",48.1%,,"$506,269,135","$506,269,135",35.3%
2006,"$137,156,414","$137,156,414",,-50.1%,"$87,840,018","$87,840,018","$87,840,018",2.7%,,"$329,352,798","$329,352,798",-34.9%
2007,"$131,375,723","$131,375,723",,-4.2%,"$128,212,973","$128,212,973","$128,212,973",46.0%,,"$437,143,869","$437,143,869",32.7%
2008,"$91,701,020","$91,701,020",,-30.2%,"$49,639,912","$49,639,912","$49,639,912",-61.3%,,"$236,915,429","$236,915,429",-45.8%
2009,"$140,134,639","$140,134,639",,52.8%,"$28,153,692","$28,153,692","$28,153,692",-43.3%,,"$225,927,729","$225,927,729",-4.6%
2010,"$201,436,453","$201,436,453",,43.7%,"$23,234,220","$23,234,220","$23,234,220",-17.5%,,"$352,713,800","$352,713,800",56.1%
2011,"$184,509,765","$184,509,765",,-8.4%,"$28,859,835","$28,859,835","$28,859,835",24.2%,,"$274,785,536","$274,785,536",-22.1%
2012,"$255,583,853","$255,583,853",,38.5%,"$145,974,051","$145,974,051","$145,974,051",405.8%,,"$346,149,861","$346,149,861",26.0%
FY2013-14 Operating Budget,FY2013-14 Operating Budget,FY2013-14 Operating Budget,,,,43,,,,,"As Amended June 11, 2013","As Amended June 11, 2013"
