Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”,Name: “Table 1 of 1 on page 160 of 239”
Public Safety: Fire and Police Projects,Public Safety: Fire and Police Projects,,,,,,,,,,,,,,,,,,
Replacement of Engine 102,Replacement of Engine 102,$,-,$,-,$,-,$,"350,000",$,-,$,-,$,-,$,-,$,"350,000"
Replacement of Medic 3,Replacement of Medic 3,,-,,-,,-,,-,,-,,"150,000",,-,,-,,"150,000"
Replacement of Medic 4,Replacement of Medic 4,,-,,-,,-,,-,,"150,000",,-,,-,,-,,"150,000"
Public Safety Building,Public Safety Building,,-,,-,,-,,-,,-,,-,,-,,"2,500,000",,"2,500,000"
Total Public Safety: Fire and Police Projects,Total Public Safety: Fire and Police Projects,$,-,$,-,$,-,$,"350,000",$,"150,000",$,"150,000",$,-,$,"2,500,000",$,"3,150,000"
Public Works Projects,Public Works Projects,,,,,,,,,,,,,,,,,,
Equipment Replacement,Equipment Replacement,$,-,$,-,$,-,$,"265,000",$,"190,000",$,-,$,-,$,-,$,"455,000"
Public Works Compound,Public Works Compound,,-,,-,,"600,000",,-,,-,,-,,-,,-,,"600,000"
Total Public Works Projects,Total Public Works Projects,$,-,$,-,$,"600,000",$,"265,000",$,"190,000",$,-,$,-,$,-,$,"1,055,000"
