Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”,Name: “Table 1 of 1 on page 26 of 32”
,,,,,,,,,,,,,,Notes or Comments
,,,,,,,,,,Screen Depth,,,,
,,,Average,Average,Maximum,Maximum Daily,,,Casing,,Well,,,
,,,,,,,Well Name,Well Depth,,(Top & Bottom),,,Estimated,(Include service area user falls
,,,Daily Withdrawals,Daily Withdrawals,Daily Withdrawals,Withdrawals,,,Depth,,Diameter,Limitations on,Annual Average,within and references to any
,,Use,(gpd),(MGD),(gpd),(MGD),,,(feet),Water Zones,(inches),Withdrawal Permit(s),(MGD),"maps, data sources, data gaps,"
,Water User Name,Category,,,,,,,,,,,YEAR 2007,etc.)
Suffolk,,,,,,,,,,,,,,
,,,,,,,,,,429 (T),,,,
,,,NI,0.000,NI,0.000,161-00461,477,NA,,4.5,,,
,,,,,,,,,,469 (B),,,,
,,,,,,,,,,,,GW0046800 = 0.018,,
,,,,,,,,,,440 (T),,,,
"Albert G Horton, Jr Veterans Cemetery","Albert G Horton, Jr Veterans Cemetery",Com,NI,0.000,NI,0.000,161-00465,520,NA,,4.5,mgd (6.7 MG/year; 1.6,0.013,"active permit, expires in 2014"
,,,,,,,,,,480 (B),,,,
,,,,,,,,,,,,MG/month),,
,,,,,,,,,,450 (T),,,,
,,,NI,0.000,NI,0.000,161-00472,500,NA,,8,,,
,,,,,,,,,,490 (B),,,,
Outside CWS Service Area Totals (MGD):,Outside CWS Service Area Totals (MGD):,Outside CWS Service Area Totals (MGD):,,0.000,,0.000,,,,,,,0.013,
Self-Supplied Nonagricultural Users of,Self-Supplied Nonagricultural Users of,Self-Supplied Nonagricultural Users of,,,,,,,,,,,,
,,,,1.862,,0.000,,,,,,,,
,Ground Water Totals (MGD):,Ground Water Totals (MGD):,,,,,,,,,,,3.108,
Self-Supplied Nonagricultural Users Totals,Self-Supplied Nonagricultural Users Totals,Self-Supplied Nonagricultural Users Totals,,,,,,,,,,,,
,(surface and groundwater in MGD):,(surface and groundwater in MGD):,,1.862,,633.600,,,,,,,524.771,
,,,,,,,4,,,,,,,
