,,,,,,,,,,,,,,,,,of pumping facilities.,of pumping facilities.,of pumping facilities.
,,Lake Prince,Nansemond River,Nansemond River,30.50,"3,613,000,000","3,613,000,000","3,613.00","20,000,000",20.00,"40,000,000",40.00,,,,,,,
,,,,,,,,,,,,,Moores Bridges,,,,,,
,City of Norfolk (Western,,,,,,,,,,,,WTP = 108 MGD,,,,,,
,,Lake Burnt Mills,Nansemond River,Nansemond River,25.30,"3,176,000,000","3,176,000,000","3,176.00",0,0.00,0,0.00,,28.00,,,,,
,Branch Reservoirs),,,,,,,,,,,,and 37th Street,,,,,,
,,,,,,,,,,,,,WTP = 28 MGD,,,,,,
,,Western Branch,,,,,,,,,,,,,,,,,
,,,Nansemond River,Nansemond River,10.40,"6,447,000,000","6,447,000,000","6,447.00","74,670,000",74.67,"112,000,000",112.00,,,,,,,
,,Reservoir,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Norfolk Naval Base purchase from,Norfolk Naval Base purchase from,Norfolk Naval Base purchase from
3710050,Norfolk Naval Base,NA,,NA,NA,,,0.00,,0.00,,0.00,,0.00,,0.00,,,
,,,,,,,,,,,,,,,,,3710100 City of Norfolk.,3710100 City of Norfolk.,3710100 City of Norfolk.
,,,,,,,,,,1,,,,,,,,,
