,Virginia Beach,Virginia Beach,,,,,,Suffolk,,,,,,,,,
,PWSID # 3810900,PWSID # 3810900,,,PWSID #3800805,,,PWSID #3800310,,,PWSID #3800880,,,Locality or,,,
,City of Virginia Beach,City of Virginia Beach,,,City of Suffolk,,,Holland,,,Whaleyville,,Locality or,Region Total,,,
,,,,,,,,,,,,,Region Total,Average,,,
,,Source (SW),,,Source GW and SW,,,Source GW,,,Source GW,,Water Use,Monthly,,,
,,,,,,,,,,,,,(MG/Mo),by Month,,,
,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,Monthly,Monthly,Average,,,,,
YEAR,,,,,,,,,,,,,,(MGD),,,
,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,Readings,Readings,Monthly,,,,,
2007,(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),(gallons),(MG),(MGD),,,,,
January,"1,065,489,348",1065.49,32.288,"194,468,000",194.47,6.273,"1,220,383",1.22,0.039,"1,093,425",1.09,0.035,"1,262.27",38.64,,,
February,"912,797,116",912.80,32.600,"188,021,000",188.02,6.715,"1,282,617",1.28,0.046,"1,013,806",1.01,0.036,"1,103.11",39.40,,,
March,"977,596,356",977.60,32.587,"174,762,000",174.76,5.637,"1,077,900",1.08,0.035,"1,121,484",1.12,0.036,"1,154.56",38.29,,,
April,"1,058,714,712",1058.71,34.152,"211,060,000",211.06,7.035,"996,700",1.00,0.033,"1,198,322",1.20,0.040,"1,271.97",41.26,,,
May,"1,160,278,152",1160.28,37.428,"227,379,000",227.38,7.335,"1,228,560",1.23,0.040,"1,142,759",1.14,0.037,"1,390.03",44.84,,,
June,"1,174,885,096",1174.89,39.163,"274,190,000",274.19,9.140,"1,432,673",1.43,0.048,"1,392,557",1.39,0.046,"1,451.90",48.40,,,
July,"1,331,200,640",1331.20,41.600,"297,067,000",297.07,9.583,"1,691,567",1.69,0.055,"2,251,981",2.25,0.073,"1,632.21",51.31,,,
August,"1,205,082,604",1205.08,38.874,"258,121,000",258.12,8.326,"1,239,700",1.24,0.040,"1,666,021",1.67,0.054,"1,466.11",47.29,,,
September,"1,103,305,984",1103.31,39.404,"258,026,000",258.03,8.601,"1,140,500",1.14,0.038,"1,157,446",1.16,0.039,"1,363.63",48.08,,,
October,"1,223,132,592",1223.13,37.065,"259,759,000",259.76,8.379,"1,095,650",1.10,0.035,"1,042,501",1.04,0.034,"1,485.03",45.51,,,
November,"1,018,639,116",1018.64,33.955,"226,307,000",226.31,7.544,"945,240",0.95,0.032,"895,555",0.90,0.030,"1,246.79",41.56,,,
December,"1,005,158,660",1005.16,32.424,"223,721,000",223.72,7.217,"951,090",0.95,0.031,"874,254",0.87,0.028,"1,230.71",39.70,,,
Total Annual,,,,,,,,,,,,,,,,,
(MG),,13236.28,,,2792.88,,,14.30,,,14.85,,16058.31,,,,
Average,,,,,,,,,,,,,,,,,
Monthly,,,,,,,,,,,,,,,,,
(MG/Mo),,1103.02,,,232.74,,,1.19,,,1.24,,1338.19,,,,
Average,,,,,,,,,,,,,,,,,
Daily,,,,,,,,,,,,,,,,,
(MGD),,36.066,,,7.652,,,0.039,,,0.041,,43.995,,,,
,,,,Source: Monthly Production Reports,Source: Monthly Production Reports,Source: Monthly Production Reports,,,,,,,,,,,
,Virginia Beach master meter readings.,Virginia Beach master meter readings.,Military,,,,,,,,,,,,,,
NOTES or,,,,(January 2007 through December 2007),(January 2007 through December 2007),(January 2007 through December 2007),Source: Monthly Chlorination Reports,Source: Monthly Chlorination Reports,Source: Monthly Chlorination Reports,Source: Monthly Chlorination Reports,Source: Monthly Chlorination Reports,Source: Monthly Chlorination Reports,,,,,
,meters served by Norfolk are not included.,meters served by Norfolk are not included.,meters served by Norfolk are not included.,,,,,,,,,,,,,,
COMMENTS:,,,,Values include water purchased from the City,Values include water purchased from the City,Values include water purchased from the City,(January 2007 through December 2007),(January 2007 through December 2007),(January 2007 through December 2007),(January 2007 through December 2007),(January 2007 through December 2007),(January 2007 through December 2007),,,,,
,UAW is included.,UAW is included.,,,,,,,,,,,,,,,
,,,,of Portsmouth,,,,,,,,,,,,,
"The monthly water use for the Birdsong, Hobson Village Waterworks, and Hobson Mt. Lebanon Waterworks is not available.","The monthly water use for the Birdsong, Hobson Village Waterworks, and Hobson Mt. Lebanon Waterworks is not available.","The monthly water use for the Birdsong, Hobson Village Waterworks, and Hobson Mt. Lebanon Waterworks is not available.","The monthly water use for the Birdsong, Hobson Village Waterworks, and Hobson Mt. Lebanon Waterworks is not available.","The monthly water use for the Birdsong, Hobson Village Waterworks, and Hobson Mt. Lebanon Waterworks is not available.","The monthly water use for the Birdsong, Hobson Village Waterworks, and Hobson Mt. Lebanon Waterworks is not available.","The monthly water use for the Birdsong, Hobson Village Waterworks, and Hobson Mt. Lebanon Waterworks is not available.","The monthly water use for the Birdsong, Hobson Village Waterworks, and Hobson Mt. Lebanon Waterworks is not available.","The monthly water use for the Birdsong, Hobson Village Waterworks, and Hobson Mt. Lebanon Waterworks is not available.","The monthly water use for the Birdsong, Hobson Village Waterworks, and Hobson Mt. Lebanon Waterworks is not available.",,,,,,,,
,,,,,,,,,,,,,2,,,,
