"If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.","If YES, designate which reservoirs and which intakes constitute a system.",Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Report the drainage area and amount of storage available for water supply from each reservoir independently.,Designed maximum daily withdrawal and the safe yield may be reported for the,Designed maximum daily withdrawal and the safe yield may be reported for the,Designed maximum daily withdrawal and the safe yield may be reported for the,Designed maximum daily withdrawal and the safe yield may be reported for the,Designed maximum daily withdrawal and the safe yield may be reported for the,Designed maximum daily withdrawal and the safe yield may be reported for the,Designed maximum daily withdrawal and the safe yield may be reported for the
entire system or subsets of the system.,entire system or subsets of the system.,entire system or subsets of the system.,,,,,,,,,,,,,,,,,
,,,,,,,,,,DESIGN CAPACITY:,DESIGN CAPACITY:,,,,,,,,
,,,,,,,,,,,,,,,,,,,Notes
,,,,Reservoir,,,,,,,,,,,,,Limitations,,
,,,,,,,,,,,,,,Reservoir,,VDH Permitted,,,or
,,,,watershed,,,On-Stream,,,,,,,,VDH Permitted,,on,,
,,,,,On-Stream Storage,On-Stream Storage,,,,,,Associated,,Safe Yield,,System,,,Comments
,,,Reservoir watershed,Drainage,,,Storage Available,Average Daily,Average Daily,Maximum Daily,Maximum Daily,,Associated Water,,System Capacity,,Withdrawal,,
PWSID #,Water System Name,Reservoir Name,,,Available for Water,Available for Water,,,,,,Water,,,,Capacity,,,
,,,Basin/ Sub-basin,Area,,,for Water Supply,Withdrawal,Withdrawal,Withdrawal,Withdrawal,,Treatment Plant,,,,Permit,,
,,,,,Supply,(gallons),,,,,,Treatment Plant,,,,,,,
,,,,,,,(MG),,,,,,,,(gpd),,,,
,,,,,,,,,,,,,,(MGD),,(MGD),,(This may include references,(This may include references
,,,,(square miles),,,,(gpd),(MGD),(gpd),(MGD),,(MGD),,,,,,
,,,,,,,,,,,,(gpd),,,,,,"to maps, data sources, data","to maps, data sources, data"
,,,,,,,,,,,,,,,,,,,"gaps, etc.)"
Portsmouth,,,,,,,,,,,,,,,,,,,
,,Speights Run,Hampton Roads,13.00,"46,100,000","46,100,000",461.00,NA,0.00,NA,0.00,NA,0.00,,,,,System safe yield is 24.7 MGD.,System safe yield is 24.7 MGD.
,,,,,,,,,,,,,,,,,,The Portsmouth System includes,The Portsmouth System includes
,,Lake Kilby,Hampton Roads,9.20,"467,000,000","467,000,000",467.00,"15,500,000",15.50,"15,500,000",15.50,"38,500,000",38.50,,,,,"reservoirs, groundwater","reservoirs, groundwater"
3740600,City of Portsmouth,,,,,,,,,,,,,19.10,"38,500,000",38.50,,withdrawals and emergency,withdrawals and emergency
,,Lake Cohoon,Hampton Roads,33.40,"1,963,000,000","1,963,000,000",1963.00,NA,0.00,NA,0.00,NA,0.00,,,,,pumpover from Norfolk's Lake,pumpover from Norfolk's Lake
,,,,,,,,,,,,,,,,,,Prince.,
,,Lake Meade,Hampton Roads,8.60,"1,192,000,000","1,192,000,000",1192.00,"32,000,000",32.00,"32,000,000",32.00,NA,0.00,,,,,,
,,,,,,,,,,,,,,,,,,Norfolk Naval Shipyard purchase,Norfolk Naval Shipyard purchase
3740500,Norfolk Naval Shipyard,NA,NA,NA,,,0.00,,0.00,,0.00,,0.00,,,0.00,,,
,,,,,,,,,,,,,,,,,,from 3740600 City of Portsmouth.,from 3740600 City of Portsmouth.
Suffolk,,,,,,,,,,,,,,,,,,,
,,Crumps Mill Pond,James River,6.70,"19,200,000","19,200,000",19.20,"735,000",0.74,"4,231,000",4.23,,,,,,None,Safe yield does not include the,Safe yield does not include the
,City of Suffolk - G. Robert,,,,,,,,,,,,,,,,,,
3800805,,,,,,,,,,,,"17,750,000",17.75,1.20,"10,734,000",10.73,,purchase of 2.54 MGD finished,purchase of 2.54 MGD finished
,House WTP,,,,,,,,,,,,,,,,,,
,,Lone Star Lakes,James River,1.05,"355,000,000","355,000,000",355.00,"1,106,000",1.11,"3,696,000",3.70,,,,,,None,water from Portmouth system.,water from Portmouth system.
Virginia Beach,Virginia Beach,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Virginia Beach,,
,,,,,,,,,,,,,,,,,does not own or,Lake Gaston water is blended with,Lake Gaston water is blended with
,,,,,,,,,,,,,,,,,manage Lake,Norfolk's source water in Lake,Norfolk's source water in Lake
,,,,,,,,,,,,,,,,,Gaston as a,Prince Reservoir (PWSID,Prince Reservoir (PWSID
,,Lake Gaston,NA,NA,NA,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,NA,0.00,reservoir. The,3710100).,Virginia Beach does
,,,,,,,,,,,,,,,,,City holds a,not operate a water treatment,not operate a water treatment
3810900,City of Virginia Beach,,,,,,,,,,,,,,,,permit to,plant. Lake Gaston water is,plant. Lake Gaston water is
,,,,,,,,,,,,,,,,,withdraw 60,treated at Norfolk's WTPs.,treated at Norfolk's WTPs.
,,,,,,,,,,,,,,,,,MGD.,,
,,,,,,,,,,,,,,,,,,Stumpy Lake water is treated by,Stumpy Lake water is treated by
,,Stumpy Lake,NA,NA,NA,NA,0.00,NA,0.00,NA,0.00,NA,0.00,NA,NA,0.00,,Norfolk's Water Treatment Plant,Norfolk's Water Treatment Plant
,,,,,,,,,,,,,,,,,,(PWSID 3710100).,(PWSID 3710100).
3810195,Dam Neck - U.S. Navy,NA,NA,NA,,,0.00,,0.00,,0.00,,0.00,,,0.00,,,
,Little Creek Amphibious,,,,,,,,,,,,,,,,,"Dam Neck, Little Creek, Oceana,","Dam Neck, Little Creek, Oceana,"
3810340,,NA,NA,NA,,,,,,,,,,,,,,,
,Base - U.S. Navy,,,,,,,,,,,,,,,,,and Fort Story purchase from,and Fort Story purchase from
3810430,NAS Oceana - US Navy,NA,NA,NA,,,,,,,,,,,,,,3710100 City of Norfolk.,3710100 City of Norfolk.
3810210,Fort Story - US Navy,NA,NA,NA,,,0.00,,0.00,,0.00,,0.00,,,0.00,,,
Existing Source Totals - for all CWS's using surface water reservoirs,Existing Source Totals - for all CWS's using surface water reservoirs,Existing Source Totals - for all CWS's using surface water reservoirs,Existing Source Totals - for all CWS's using surface water reservoirs,,,,,,,,,,,,,,,,
(MG or MGD),(MG or MGD),,,,,,"19,657.20",,182.68,,265.43,,192.25,,,185.23,,,
,,,,,,,,,2,,,,,,,,,,
