Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”,Name: “Table 1 of 1 on page 8 of 32”
"D, - 80 B10)","D, - 80 B10)",,,,,,,,,,,,,,,,,,,,,,
"* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.","* For municipal or private community water system(s) using springs, list applicable information for your spring sources below.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,EXISTING INSTREAM BENEFICIAL,EXISTING INSTREAM BENEFICIAL,EXISTING INSTREAM BENEFICIAL,,,
,,,,,,,,DESIGN CAPACITY:,DESIGN CAPACITY:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,USES:,USES:,,,
,,,,,,,,,,,,,Safe Yield,Lowest,VDH,VDH,,,,,,Notes,
,,,,Intake,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,of,Daily Flow,Permitted,Permitted,Limitations on,,,,,or,
,,"Stream, River,",Basin /,Drainage Area,Average,Average,Maximum,Maximum,Pump,Pump,Water,Water,,,,,,,,,,,
PWSID #,Water System Name,,,,,,,,,,,,Stream,of Record,Capacity,Capacity,Withdrawal,,,,,Comments,
,,,,,Daily,Daily,Daily,Daily,Station,Station,Treatment,Treatment,,,,,,,,,,,
,,or Spring Name,Sub-basin,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Within Planning,Within Planning,Outside Planning,,,
,,,,(square miles),Withdrawal,Withdrawal,Withdrawal,Withdrawal,,,Plant,Plant,,,,,Permit,,,,,,
,,,,,,,,,,,,,(MGD),(cfs),(gpd),(MGD),,Area,Area,Area,(This may include references to,(This may include references to,(This may include references to
,,,,,,,,,,,,,,,,,,,,,"maps, data sources, data gaps,","maps, data sources, data gaps,","maps, data sources, data gaps,"
,,,,,(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),(gpd),(MGD),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,etc.),
Chesapeake,Chesapeake,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,The Northwest River,The Northwest River,Adjacent to the,,,
,,,,,,,,,,,,,,,,,,Park provides many,Park provides many,south of the,Sources:,,
,,,,,,,,,,,,,,,,,,recreational,,Northwest River,(1) “Multiple Benefits,(1) “Multiple Benefits,
,,,,,,,,,,,,,,,,,,opportunities,opportunities,Park is the,Conservation Plan” (Langley and,Conservation Plan” (Langley and,Conservation Plan” (Langley and
,,,,,NA,,NA,,,,,,,,,,,including year round,including year round,Northwest River,"McDonald, July 2001)","McDonald, July 2001)",
,,,,,Withdrawal,,Withdrawal,,,,,,,,,,See U.S. Army,"boating, fishing,","boating, fishing,",Marsh Game Land,(2),“Southern Watershed Area,“Southern Watershed Area
,,,,,capacity has,,capacity has,,,,,,,,,,Corps of,"hiking, etc.",Within,in North Carolina.,"Conservation Plan” (DCR,","Conservation Plan” (DCR,",
,,,,,never been,,never been,,,,,,,,,,Engineers permit,"the last ten years,","the last ten years,",This area includes,February 2001),,
3550051,,Northwest River,,93.00,specified in,,specified in,,"10,000,000",10.00,"10,000,000",10.00,10.00,4.00,#######,10.00,"dated July 8,",the City’s important,the City’s important,valuable Tidal,(3) “Comparative Wetlands,(3) “Comparative Wetlands,
,Northwest River System,,Albemarle,,,,,,,,,,,,,,,habitat areas as well,habitat areas as well,Freshwater Marsh,,,
,,,,,terms of,,terms of,,,,,,,,,,1971.,,,,Ecology Study of the Great,Ecology Study of the Great,Ecology Study of the Great
,,,,,average and,,average and,,,,,,,,,,(Restrictions,as detailed,,communities.,"Dismal Swamp, Northwest River,","Dismal Swamp, Northwest River,","Dismal Swamp, Northwest River,"
,,,,,maximum,,maximum,,,,,,,,,,based on salinity),descriptions of its,descriptions of its,Additional details are,and North Landing River in,and North Landing River in,
,,,,,daily.,,daily.,,,,,,,,,,,plant and animal,plant and animal,available in the,,,
,,,,,,,,,,,,,,,,,,,,,"Virginia, “ (DCR, June 1998)","Virginia, “ (DCR, June 1998)","Virginia, “ (DCR, June 1998)"
,,,,,,,,,,,,,,,,,,"species, have been","species, have been","""Natural Areas of",,,
,,,,,,,,,,,,,,,,,,,,,(4),“Natural Heritage Inventory of,“Natural Heritage Inventory of
,,,,,,,,,,,,,,,,,,,,"Currituck County,",,,
,,,,,,,,,,,,,,,,,,catalogued in,catalogued in,,"the City of Chesapeake, Virginia,”","the City of Chesapeake, Virginia,”","the City of Chesapeake, Virginia,”"
,,,,,,,,,,,,,,,,,,several studies (1-,several studies (1-,"NC"" (EPA, NC-DNR,","(DCR, June 1998)","(DCR, June 1998)",
,,,,,,,,,,,,,,,,,,4).,,1990) report.,,,
Norfolk,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Fish and wildlife,Fish and wildlife,Fish and wildlife,,,
,,Blackwater,,,,,,,,,Discharges to,,,,,,,"habitat, waste","habitat, waste","habitat, waste",,,
3710100,City of Norfolk,,Chowan,617.00,"130,000,000",130.00,NA,,"24,000,000",24.00,,,Note,0.00,NA,,NA,,,,,,
,,River,,,,,,,,,Lake Prince,,,,,,,"assimilation, and","assimilation, and","assimilation, and",,,
,,,,,,,,,,,,,,,,,,,,,Safe Yield is 92.5 MGD for,Safe Yield is 92.5 MGD for,
,,,,,,,,,,,,,,,,,,recreation.,,recreation.,,,
,,,,,,,,,,,,,,,,,,,,,Norfolk System.,Raw water,Raw water
,,,,,,,,,,,,,,,,,,,,,pumped from the rivers supply the,pumped from the rivers supply the,pumped from the rivers supply the
,,,,,,,,,,,,,,,,,,Fish and wildlife,Fish and wildlife,Fish and wildlife,,,
,,,,,,,,,,,,,,,,,,,,,headwaters of Lake Prince.,headwaters of Lake Prince.,headwaters of Lake Prince.
,,,,,,,,,,,Discharges to,,,,,,,"habitat, waste","habitat, waste","habitat, waste",,,
3710100,City of Norfolk,Nottoway River,Chowan,"1,577.00","130,000,000",130.00,NA,,"24,000,000",24.00,,,Note,0.00,NA,,NA,,,,,,
,,,,,,,,,,,Lake Prince,,,,,,,"assimilation, and","assimilation, and","assimilation, and",,,
,,,,,,,,,,,,,,,,,,recreation.,,recreation.,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
,,,,,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,
Existing Source Totals - for all CWS's using stream intakes,Existing Source Totals - for all CWS's using stream intakes,Existing Source Totals - for all CWS's using stream intakes,Existing Source Totals - for all CWS's using stream intakes,Existing Source Totals - for all CWS's using stream intakes,,,,,,,,,,,,,,,,,,,
&/or springs,&/or springs,,,,,,,,,,,,,,,,,,,,,,
(MGD),,,,,,260.00,,0.00,,48.00,,0.00,,,,0.00,,,,,,,
,,,,,,,,,,,1,,,,,,,,,,,,
