Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”,Name: “Table 1 of 1 on page 24 of 32”
,,,,,,,,,,,,,,Notes or Comments,Notes or Comments
,,,,,,,,,,Screen Depth,,,,,
,,,Average,Average,Maximum,Maximum Daily,,,Casing,,Well,,,,
,,,,,,,Well Name,Well Depth,,(Top & Bottom),,,Estimated,(Include service area user falls,(Include service area user falls
,,,Daily Withdrawals,Daily Withdrawals,Daily Withdrawals,Withdrawals,,,Depth,,Diameter,Limitations on,Annual Average,within and references to any,within and references to any
,,Use,(gpd),(MGD),(gpd),(MGD),,,(feet),Water Zones,(inches),Withdrawal Permit(s),(MGD),"maps, data sources, data gaps,","maps, data sources, data gaps,"
Water User Name,Water User Name,Category,,,,,,,,,,,YEAR 2007,etc.),etc.)
Portsmouth,Portsmouth,,,,,,,,,,,,,,
,,,,,,,North,,,,,,,,
,,,,,"1,000 Gpmin",0.000,Well/WE-3,714,20,642-714,10,,,,
,,,,,,,220-00003,,,,,GW0034300 = 0.42,,,
BASF,,Man,"299,667",0.300,,,,,,,,mgd (153.30 Mgal/yr;,0.244,"active permit, expires in 2013","active permit, expires in 2013"
,,,,,,,South Well,,,636-660,,16.80 Mgal/month),,,
,,,,,"1,000 GPmin",0.000,WE-4,710,20,664-672,10,,,,
,,,,,,,220-00009,,,692-708,,,,,
,,,,,,,,,,820-865,,,,,
,,,,,,,Well A,,,895-910,,,,,
,,,,,"1,000 GPmin",0.000,,1290,150,,20,,,,
,,,,,,,220-40,,,940-965,,,,,
,,,,,,,,,,1005-1020,,,,,
,,,,,,,,,,665-685,,,,,
,,,,,,,Well B,,,,,,,,
,,,,,"5,000 Gpmin",0.000,,800,150,730-745,18,,,,
,,,,,,,220-41,,,,,,,,
,,,,,,,,,,750-775,,,,,
,,,,,,,,,,180-192,,,,,
,,,,,,,Well C,,,,,,,,
,,,,,"3,000 Gpmin",0.000,,600,150,585-605,18,,,,
,,,,,,,220-42,,,,,,,,
,,,,,,,,,,620-635,,,,,
,,,,,,,,,,,,GW0036300 = 2.6 mgd,,"active permit, expired in 2006,","active permit, expired in 2006,"
,,,,,,,,,,820-865,,,,,
Cogentrix Virginia Leasing Corporation,Cogentrix Virginia Leasing Corporation,Pf,"1,363,528",1.364,,,,,,,,(949 Mgal/yr; 124,1.659,GW00515 - current application for,GW00515 - current application for
,,,,,,,Well D,,,895-910,,,,,
,,,,,"1,000 GPmin",0.000,,1000,150,,20,Mgal/month),,same amounts,
,,,,,,,220-43,,,940-965,,,,,
,,,,,,,,,,1005-1020,,,,,
,,,,,,,,,,665-685,,,,,
,,,,,,,Well E,,,,,,,,
,,,,,500 Gpmin,0.000,,800,150,730-745,18,,,,
,,,,,,,220-44,,,,,,,,
,,,,,,,,,,775500- 777755,,,,,
,,,,,,,,,,180-192,,,,,
,,,,,,,Well F,,,,,,,,
,,,,,300 GPmin,0.000,,600,150,585-605,18,,,,
,,,,,,,220-245,,,,,,,,
,,,,,,,,,,620-635,,,,,
,,,,,,,Well EF,,,,,,,,
,,,,,NI,0.000,,NI,NI,NI,NI,,,,
,,,,,,,220-063,,,,,,,,
,,,,,,,,,,,,GW0048400 = 0.12,,,
"Tidewater Area Central Hospital Laundry,","Tidewater Area Central Hospital Laundry,",,,,,,2001 Well,,,,,,,,
,,Com,"44,373",0.044,200 Gpmin,0.000,,660,630,630-650,6,mgd (43 Mgal/yr; 5.1,0.057,"active permit, expires 2016","active permit, expires 2016"
Inc. (Shared Hospital Services),Inc. (Shared Hospital Services),,,,,,220-60,,,,,,,,
,,,,,,,,,,,,Mgal/month),,,
,Portsmouth Total,,,,,,,,,,,,2.146,,
Virginia Beach,Virginia Beach,,,,,,,,,,,,,,
,,,NI,0.000,NI,0.000,228-00439,75,NA,"65-75, 98-105",4,,,,
,,,,,,,,,,,,GW0047700 = 0.051,,,
Servitex Division of Alsco,Servitex Division of Alsco,Com,NI,0.000,NI,0.000,228-00467,NI,NA,NI,NI,mgd (18.7 Mgal/yr; 2.0,0.027,"active permit, expires 2015","active permit, expires 2015"
,,,,,,,,,,,,Mgal/month),,,
,,,NI,0.000,NI,0.000,228-00476,NI,NA,NI,NI,,,,
,,,NI,0.000,NI,0.000,228-00396,80,NA,NA,NA,GW0048100 = 0.044,,,
,,,,,,,,,,,,,,"active permit, expires 2018,","active permit, expires 2018,"
Bayville Golf Club,Bayville Golf Club,Com,,,,,,,,,,mgd (16.1 Mgal/yr;,0.041,,
,,,,,,,,,,,,,,10 year max = 103 Mgal,10 year max = 103 Mgal
,,,NI,0.000,NI,0.000,228-00403,80,NA,65-80,4,3.275 Mgal/month),,,
,,,NI,0.000,NI,0.000,228-00333,150,NA,"78-84,119-134",8,,,,
,,,NI,0.000,NI,0.000,228-00334,150,NA,94-114,8,,,,
,,,NI,0.000,NI,0.000,228-00335,150,NA,104-124,8,GW0049000 = 0.071,,"active permit, expires 2018,","active permit, expires 2018,"
Broad Bay Country Club,Broad Bay Country Club,Com,,,,,,,,,,mgd (26 Mgal/yr; 3.3,0.031,,
,,,NI,0.000,NI,0.000,228-00336,150,NA,124-144,8,Mgal/month),,10 year max = 190.1 Mgal,10 year max = 190.1 Mgal
,,,NI,0.000,NI,0.000,228-00337,150,NA,"30-90,110-140",8,,,,
,,,NI,0.000,NI,0.000,228-00338,150,NA,30-120,8,,,,
,,,,,,,2,,,,,,,,
